onset	duration	event_sample	event_value	trial_type
27.2645454545455	900	29991	13	unfamiliar_new
27.8836363636364	900	30672	0	response
30.3045454545455	900	33335	5	famous_new
30.9236363636364	900	34016	0	response
33.3454545454545	900	36680	13	unfamiliar_new
33.9136363636364	900	37305	0	response
36.6027272727273	900	40263	13	unfamiliar_new
37.1172727272727	900	40829	0	response
39.81	900	43791	17	scrambled_new
40.3754545454545	900	44413	0	response
43.0845454545455	900	47393	5	famous_new
44.0163636363636	900	48418	0	response
46.1081818181818	900	50719	6	famous_second_early
46.5763636363636	900	51234	0	response
49.2818181818182	900	54210	15	unfamiliar_second_late
49.9809090909091	900	54979	0	response
52.3218181818182	900	57554	13	unfamiliar_new
52.9481818181818	900	58243	0	response
55.63	900	61193	14	unfamiliar_second_early
56.1554545454545	900	61771	0	response
58.7372727272727	900	64611	7	famous_second_late
59.6463636363636	900	65611	0	response
61.9272727272727	900	68120	5	famous_new
62.5445454545455	900	68799	0	response
65.1018181818182	900	71612	6	famous_second_early
65.8581818181818	900	72444	0	response
68.2754545454546	900	75103	15	unfamiliar_second_late
69.1372727272727	900	76051	0	response
71.4663636363636	900	78613	13	unfamiliar_new
72.1290909090909	900	79342	0	response
74.7572727272727	900	82233	14	unfamiliar_second_early
75.2281818181818	900	82751	0	response
77.9818181818182	900	85780	15	unfamiliar_second_late
78.5518181818182	900	86407	0	response
81.14	900	89254	17	scrambled_new
81.87	900	90057	0	response
84.1954545454546	900	92615	19	scrambled_second_late
84.8281818181818	900	93311	0	response
87.42	900	96162	13	unfamiliar_new
88.0772727272727	900	96885	0	response
90.6109090909091	900	99672	14	unfamiliar_second_early
91.0681818181818	900	100175	0	response
93.7845454545455	900	103163	17	scrambled_new
94.5045454545455	900	103955	0	response
96.8245454545455	900	106507	18	scrambled_second_early
97.4818181818182	900	107230	0	response
99.9490909090909	900	109944	13	unfamiliar_new
100.671818181818	900	110739	0	response
103.24	900	113564	5	famous_new
103.861818181818	900	114248	0	response
106.413636363636	900	117055	17	scrambled_new
107.024545454545	900	117727	0	response
109.620909090909	900	120583	19	scrambled_second_late
110.475454545455	900	121523	0	response
112.895454545455	900	124185	13	unfamiliar_new
116.152727272727	900	127768	14	unfamiliar_second_early
116.635454545455	900	128299	0	response
119.293636363636	900	131223	17	scrambled_new
119.827272727273	900	131810	0	response
122.467272727273	900	134714	18	scrambled_second_early
123.018181818182	900	135320	0	response
125.724545454545	900	138297	5	famous_new
126.446363636364	900	139091	0	response
128.815454545455	900	141697	15	unfamiliar_second_late
129.158181818182	900	142074	0	response
131.972727272727	900	145170	13	unfamiliar_new
132.526363636364	900	145779	0	response
135.163636363636	900	148680	7	famous_second_late
135.775454545455	900	149353	0	response
138.420909090909	900	152263	13	unfamiliar_new
139.052727272727	900	152958	0	response
141.728181818182	900	155901	14	unfamiliar_second_early
142.128181818182	900	156341	0	response
145.053636363636	900	159559	19	scrambled_second_late
145.652727272727	900	160218	0	response
148.176363636364	900	162994	13	unfamiliar_new
148.959090909091	900	163855	0	response
151.3	900	166430	14	unfamiliar_second_early
151.745454545455	900	166920	0	response
154.608181818182	900	170069	17	scrambled_new
155.194545454545	900	170714	0	response
157.881818181818	900	173670	18	scrambled_second_early
158.322727272727	900	174155	0	response
160.905454545455	900	176996	5	famous_new
161.680909090909	900	177849	0	response
164.13	900	180543	7	famous_second_late
164.88	900	181368	0	response
167.304545454545	900	184035	17	scrambled_new
168.130909090909	900	184944	0	response
170.344545454545	900	187379	18	scrambled_second_early
170.905454545455	900	187996	0	response
173.535454545455	900	190889	15	unfamiliar_second_late
174.084545454545	900	191493	0	response
176.725454545455	900	194398	13	unfamiliar_new
177.295454545455	900	195025	0	response
179.9	900	197890	17	scrambled_new
180.542727272727	900	198597	0	response
182.906363636364	900	201197	18	scrambled_second_early
183.435454545455	900	201779	0	response
186.030909090909	900	204634	5	famous_new
186.868181818182	900	205555	0	response
189.321818181818	900	208254	6	famous_second_early
189.710909090909	900	208682	0	response
192.345454545455	900	211580	17	scrambled_new
193.126363636364	900	212439	0	response
195.352727272727	900	214888	7	famous_second_late
196.36	900	215996	0	response
198.376363636364	900	218214	13	unfamiliar_new
199.568181818182	900	219525	0	response
201.466363636364	900	221613	14	unfamiliar_second_early
201.967272727273	900	222164	0	response
204.623636363636	900	225086	17	scrambled_new
205.173636363636	900	225691	0	response
207.830909090909	900	228614	15	unfamiliar_second_late
208.485454545455	900	229334	0	response
211.021818181818	900	232124	13	unfamiliar_new
211.521818181818	900	232674	0	response
214.095454545455	900	235505	13	unfamiliar_new
214.570909090909	900	236028	0	response
217.285454545455	900	239014	14	unfamiliar_second_early
217.845454545455	900	239630	0	response
220.376363636364	900	242414	17	scrambled_new
220.9	900	242990	0	response
223.567272727273	900	245924	19	scrambled_second_late
224.069090909091	900	246476	0	response
226.724545454545	900	249397	5	famous_new
227.314545454545	900	250046	0	response
229.898181818182	900	252888	6	famous_second_early
230.649090909091	900	253714	0	response
233.021818181818	900	256324	17	scrambled_new
236.129090909091	900	259742	18	scrambled_second_early
236.763636363636	900	260440	0	response
239.303636363636	900	263234	19	scrambled_second_late
239.906363636364	900	263897	0	response
242.527272727273	900	266780	13	unfamiliar_new
243.1	900	267410	0	response
245.550909090909	900	270106	14	unfamiliar_second_early
246.079090909091	900	270687	0	response
248.658181818182	900	273524	15	unfamiliar_second_late
249.224545454545	900	274147	0	response
251.815454545455	900	276997	17	scrambled_new
252.735454545455	900	278009	0	response
254.972727272727	900	280470	18	scrambled_second_early
255.515454545455	900	281067	0	response
258.213636363636	900	284035	5	famous_new
258.742727272727	900	284617	0	response
261.320909090909	900	287453	19	scrambled_second_late
261.866363636364	900	288053	0	response
264.561818181818	900	291018	13	unfamiliar_new
265.19	900	291709	0	response
267.635454545455	900	294399	14	unfamiliar_second_early
268.523636363636	900	295376	0	response
270.96	900	298056	13	unfamiliar_new
271.417272727273	900	298559	0	response
274.133636363636	900	301547	5	famous_new
274.584545454545	900	302043	0	response
277.307272727273	900	305038	17	scrambled_new
278.469090909091	900	306316	0	response
280.514545454545	900	308566	5	famous_new
281.581818181818	900	309740	0	response
283.639090909091	900	312003	6	famous_second_early
284.103636363636	900	312514	0	response
286.88	900	315568	7	famous_second_late
287.378181818182	900	316116	0	response
290.053636363636	900	319059	13	unfamiliar_new
290.472727272727	900	319520	0	response
293.093636363636	900	322403	17	scrambled_new
293.713636363636	900	323085	0	response
296.301818181818	900	325932	18	scrambled_second_early
296.790909090909	900	326470	0	response
299.358181818182	900	329294	15	unfamiliar_second_late
299.934545454545	900	329928	0	response
302.582727272727	900	332841	17	scrambled_new
303.326363636364	900	333659	0	response
305.923636363636	900	336516	7	famous_second_late
306.629090909091	900	337292	0	response
309.030909090909	900	339934	5	famous_new
