onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.01	6.0	rocknroll	5	7	612	0	rocknroll_000.wav	rocknroll	4	0	0.006899999999859574	2014.3593
10.0	6.0	metal	5	7	617	5	metal_004.wav	metal	4	0	0.0027999999999792635	2024.3596
20.0	6.0	symphonic	5	7	622	10	symphonic_002.wav	symphonic	6	0	0.0025000000000545697	2034.3603
32.0	6.0	country	5	7	628	16	country_004.wav	country	6	0	0.0025000000000545697	2046.3597
44.0	6.0	country	5	7	634	22	country_003.wav	country	4	0	0.0024999999995998228	2058.3598
54.02	6.0	ambient	5	7	639	27	ambient_001.wav	ambient	8	1	0.017700000000331784	2068.3594
68.0	6.0	rocknroll	5	7	646	34	rocknroll_001.wav	rocknroll	6	0	0.0036999999997533455	2082.3595
80.01	6.0	country	5	7	652	40	country_001.wav	country	8	1	0.011600000000271391	2094.3601
94.01	6.0	symphonic	5	7	659	47	symphonic_004.wav	symphonic	8	1	0.010800000000017462	2108.3596
108.0	6.0	metal	5	7	666	54	metal_002.wav	metal	6	0	0.0027000000000043656	2122.3601
120.0	6.0	metal	5	7	672	60	metal_003.wav	metal	6	0	0.003200000000106229	2134.3597
132.0	6.0	rocknroll	5	7	678	66	rocknroll_003.wav	rocknroll	6	0	0.0025000000000545697	2146.3602
144.0	6.0	symphonic	5	7	684	72	symphonic_001.wav	symphonic	6	0	0.0024999999995998228	2158.3598
156.0	6.0	rocknroll	5	7	690	78	rocknroll_004.wav	rocknroll	6	0	0.003799999999955617	2170.3597
168.0	6.0	ambient	5	7	696	84	ambient_000.wav	ambient	6	0	0.0025000000000545697	2182.3595
180.0	6.0	country	5	7	702	90	country_000.wav	country	6	0	0.002599999999802094	2194.3602
192.01	6.0	metal	5	7	708	96	metal_000.wav	metal	8	1	0.010200000000168076	2206.3601
206.0	6.0	ambient	5	7	715	103	ambient_004.wav	ambient	6	0	0.002400000000307045	2220.3601
218.0	6.0	ambient	5	7	721	109	ambient_003.wav	ambient	4	0	0.0034999999998035487	2232.3595
228.0	6.0	symphonic	5	7	726	114	symphonic_000.wav	symphonic	4	0	0.0034999999998035487	2242.3595
238.0	6.0	symphonic	5	7	731	119	symphonic_003.wav	symphonic	6	0	0.0035000000002582965	2252.3596
250.0	6.0	ambient	5	7	737	125	ambient_002.wav	ambient	6	0	0.0034999999998035487	2264.3597
262.0	6.0	metal	5	7	743	131	metal_001.wav	metal	6	0	0.002600000000256841	2276.3596
274.0	6.0	country	5	7	749	137	country_002.wav	country	6	0	0.003600000000005821	2288.3597
286.01	6.0	rocknroll	5	7	755	143	rocknroll_002.wav	rocknroll	8	1	0.008700000000317232	2300.3594
