onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.01	6.0	symphonic	8	1	1071	0	symphonic_004.wav	symphonic	6	0	0.006999999999607097	3121.6078
12.0	6.0	ambient	8	1	1077	6	ambient_004.wav	ambient	6	0	0.0038999999997031405	3133.6073
24.0	6.0	symphonic	8	1	1083	12	symphonic_002.wav	symphonic	6	0	0.0034999999998035487	3145.6073
36.01	6.0	rocknroll	8	1	1089	18	rocknroll_002.wav	rocknroll	8	1	0.009700000000066213	3157.6072
50.01	6.0	symphonic	8	1	1096	25	symphonic_003.wav	symphonic	8	1	0.01139999999986685	3171.6071
64.0	6.0	metal	8	1	1103	32	metal_001.wav	metal	6	0	0.0027000000000043656	3185.607
76.01	6.0	country	8	1	1109	38	country_000.wav	country	8	1	0.013199999999869759	3197.607
90.0	6.0	rocknroll	8	1	1116	45	rocknroll_001.wav	rocknroll	6	0	0.0027000000000043656	3211.6079
102.0	6.0	country	8	1	1122	51	country_002.wav	country	6	0	0.002599999999802094	3223.6073
114.0	6.0	symphonic	8	1	1128	57	symphonic_000.wav	symphonic	6	0	0.003600000000005821	3235.607
126.0	6.0	country	8	1	1134	63	country_003.wav	country	4	0	0.0034999999998035487	3247.6073
136.01	6.0	ambient	8	1	1139	68	ambient_000.wav	ambient	8	1	0.011199999999917054	3257.6079999999997
150.0	6.0	ambient	8	1	1146	75	ambient_003.wav	ambient	6	0	0.0022999999996500264	3271.6073
162.0	6.0	country	8	1	1152	81	country_001.wav	country	6	0	0.003600000000005821	3283.6073
174.0	6.0	country	8	1	1158	87	country_004.wav	country	6	0	0.0024999999995998228	3295.6071
186.0	6.0	metal	8	1	1164	93	metal_002.wav	metal	6	0	0.003600000000005821	3307.6071
198.0	6.0	ambient	8	1	1170	99	ambient_001.wav	ambient	6	0	0.00279999999975189	3319.6078
210.0	6.0	metal	8	1	1176	105	metal_004.wav	metal	6	0	0.003999999999905413	3331.6071
222.0	6.0	rocknroll	8	1	1182	111	rocknroll_004.wav	rocknroll	6	0	0.002600000000256841	3343.6076
234.0	6.0	ambient	8	1	1188	117	ambient_002.wav	ambient	4	0	0.0025000000000545697	3355.6079
244.0	6.0	rocknroll	8	1	1193	122	rocknroll_003.wav	rocknroll	6	0	0.002599999999802094	3365.6071
256.0	6.0	rocknroll	8	1	1199	128	rocknroll_000.wav	rocknroll	4	0	0.00279999999975189	3377.6079999999997
266.0	6.0	metal	8	1	1204	133	metal_000.wav	metal	4	0	0.0034999999998035487	3387.6073
276.01	6.0	metal	8	1	1209	138	metal_003.wav	metal	8	1	0.008800000000064756	3397.6072
290.0	6.0	symphonic	8	1	1216	145	symphonic_001.wav	symphonic	4	0	0.0038999999997031405	3411.6071
