name	type	units	low_cutoff	high_cutoff	notch	status
1	ECOG	microV	200	0.15	n/a	good
2	ECOG	microV	200	0.15	n/a	good
3	ECOG	microV	200	0.15	n/a	good
4	ECOG	microV	200	0.15	n/a	good
5	ECOG	microV	200	0.15	n/a	good
6	ECOG	microV	200	0.15	n/a	good
7	ECOG	microV	200	0.15	n/a	good
8	ECOG	microV	200	0.15	n/a	good
9	ECOG	microV	200	0.15	n/a	good
10	ECOG	microV	200	0.15	n/a	good
11	ECOG	microV	200	0.15	n/a	good
12	ECOG	microV	200	0.15	n/a	good
13	ECOG	microV	200	0.15	n/a	good
14	ECOG	microV	200	0.15	n/a	good
15	ECOG	microV	200	0.15	n/a	good
16	ECOG	microV	200	0.15	n/a	good
17	ECOG	microV	200	0.15	n/a	good
18	ECOG	microV	200	0.15	n/a	good
19	ECOG	microV	200	0.15	n/a	good
20	ECOG	microV	200	0.15	n/a	good
21	ECOG	microV	200	0.15	n/a	good
22	ECOG	microV	200	0.15	n/a	good
23	ECOG	microV	200	0.15	n/a	good
24	ECOG	microV	200	0.15	n/a	good
25	ECOG	microV	200	0.15	n/a	good
26	ECOG	microV	200	0.15	n/a	good
27	ECOG	microV	200	0.15	n/a	good
28	ECOG	microV	200	0.15	n/a	good
29	ECOG	microV	200	0.15	n/a	good
30	ECOG	microV	200	0.15	n/a	good
31	ECOG	microV	200	0.15	n/a	good
32	ECOG	microV	200	0.15	n/a	good
33	ECOG	microV	200	0.15	n/a	good
34	ECOG	microV	200	0.15	n/a	good
35	ECOG	microV	200	0.15	n/a	good
36	ECOG	microV	200	0.15	n/a	good
37	ECOG	microV	200	0.15	n/a	good
38	ECOG	microV	200	0.15	n/a	good
39	ECOG	microV	200	0.15	n/a	good
40	ECOG	microV	200	0.15	n/a	good
41	ECOG	microV	200	0.15	n/a	good
42	ECOG	microV	200	0.15	n/a	good
43	ECOG	microV	200	0.15	n/a	good
44	ECOG	microV	200	0.15	n/a	good
45	ECOG	microV	200	0.15	n/a	good
46	ECOG	microV	200	0.15	n/a	good
47	ECOG	microV	200	0.15	n/a	good
48	ECOG	microV	200	0.15	n/a	good
