onset	duration	response_time	button_press	stim_file
n/a	n/a	1.547	3	meg/f133.bmp
n/a	n/a	1.726	1	meg/u102.bmp
n/a	n/a	1.752	1	meg/u040.bmp
n/a	n/a	2.842	1	meg/u104.bmp
n/a	n/a	2.108	3	meg/f145.bmp
n/a	n/a	2.918	3	meg/f065.bmp
n/a	n/a	2.814	2	meg/f126.bmp
n/a	n/a	1.003	1	meg/u061.bmp
n/a	n/a	1.596	1	meg/u021.bmp
n/a	n/a	0.996	1	meg/u132.bmp
n/a	n/a	0.741	3	meg/f034.bmp
n/a	n/a	1.201	3	meg/f066.bmp
n/a	n/a	2.698	2	meg/u018.bmp
n/a	n/a	1.107	1	meg/u113.bmp
n/a	n/a	0.768	3	meg/f044.bmp
n/a	n/a	3.298	2	meg/f019.bmp
n/a	n/a	1.106	3	meg/f089.bmp
n/a	n/a	1.782	2	meg/f100.bmp
n/a	n/a	1.935	1	meg/u014.bmp
n/a	n/a	2.513	1	meg/u150.bmp
n/a	n/a	0.946	3	meg/f081.bmp
n/a	n/a	1.637	1	meg/u030.bmp
n/a	n/a	1.22	1	meg/f030.bmp
n/a	n/a	1.276	3	meg/f055.bmp
n/a	n/a	0.705	3	meg/f131.bmp
n/a	n/a	0.711	3	meg/f026.bmp
n/a	n/a	1.676	1	meg/u023.bmp
n/a	n/a	1.928	1	meg/f043.bmp
n/a	n/a	3.353	1	meg/f120.bmp
n/a	n/a	1.015	1	meg/u147.bmp
n/a	n/a	3.568	1	meg/f140.bmp
n/a	n/a	0.989	1	meg/f084.bmp
n/a	n/a	1.102	1	meg/u093.bmp
n/a	n/a	1.275	1	meg/u119.bmp
n/a	n/a	1.241	1	meg/f095.bmp
n/a	n/a	1.464	2	meg/f024.bmp
n/a	n/a	2.749	1	meg/u056.bmp
n/a	n/a	1.389	3	meg/f096.bmp
n/a	n/a	1.181	1	meg/f132.bmp
n/a	n/a	4.614	3	meg/f075.bmp
n/a	n/a	1.398	1	meg/f099.bmp
n/a	n/a	1.575	1	meg/u106.bmp
n/a	n/a	0.775	1	meg/u143.bmp
n/a	n/a	0.938	1	meg/f143.bmp
n/a	n/a	1.173	1	meg/f087.bmp
n/a	n/a	0.639	1	meg/u055.bmp
n/a	n/a	0.647	1	meg/u066.bmp
n/a	n/a	1.983	3	meg/f001.bmp
n/a	n/a	0.975	1	meg/u059.bmp
n/a	n/a	0.825	3	meg/f123.bmp
n/a	n/a	0.697	3	meg/f046.bmp
n/a	n/a	0.975	1	meg/u074.bmp
n/a	n/a	0.704	1	meg/u148.bmp
n/a	n/a	1.766	1	meg/u107.bmp
n/a	n/a	1.911	2	meg/f069.bmp
n/a	n/a	3.969	1	meg/u027.bmp
n/a	n/a	0.909	3	meg/f058.bmp
n/a	n/a	0.794	3	meg/f127.bmp
n/a	n/a	1.132	1	meg/f144.bmp
n/a	n/a	2.912	1	meg/u138.bmp
n/a	n/a	1.408	1	meg/u080.bmp
n/a	n/a	2.632	2	meg/u022.bmp
n/a	n/a	1.684	1	meg/u129.bmp
n/a	n/a	2.159	2	meg/f146.bmp
n/a	n/a	1.864	1	meg/u034.bmp
n/a	n/a	0.828	1	meg/u047.bmp
n/a	n/a	5.229	3	meg/f009.bmp
n/a	n/a	3.211	2	meg/u090.bmp
n/a	n/a	0.911	1	meg/u135.bmp
n/a	n/a	0.756	1	meg/u126.bmp
n/a	n/a	2.471	1	meg/f011.bmp
n/a	n/a	0.674	1	meg/u069.bmp
n/a	n/a	2.857	1	meg/u133.bmp
n/a	n/a	0.876	1	meg/u062.bmp
n/a	n/a	4.122	3	meg/f008.bmp
n/a	n/a	1.119	1	meg/u019.bmp
n/a	n/a	0.867	3	meg/f038.bmp
n/a	n/a	1.122	3	meg/f102.bmp
n/a	n/a	4.598	3	meg/f098.bmp
n/a	n/a	5.055	2	meg/f005.bmp
n/a	n/a	0.765	1	meg/u076.bmp
n/a	n/a	0.68	1	meg/f104.bmp
n/a	n/a	0.911	1	meg/u100.bmp
n/a	n/a	1.004	1	meg/u114.bmp
n/a	n/a	0.973	3	meg/f074.bmp
n/a	n/a	0.862	1	meg/u075.bmp
n/a	n/a	1.021	1	meg/u001.bmp
