onset	duration	trial_type	easy_par	hard_par
16.012	1.420	easy_par	-35.833	n/a
21.256	2.696	easy_par	-93.833	n/a
31.761	1.833	easy_par	-35.833	n/a
37.005	1.226	easy_par	-93.833	n/a
42.267	1.382	hard_par	n/a	-93.833
47.511	1.345	hard_par	n/a	-74.833
52.755	1.206	easy_par	-93.833	n/a
58.016	1.719	easy_par	24.167	n/a
63.260	2.461	hard_par	n/a	269.167
68.504	1.247	hard_par	n/a	-74.833
73.765	1.042	easy_par	24.167	n/a
79.010	2.376	hard_par	n/a	-88.833
84.254	1.033	easy_par	-74.833	n/a
89.515	2.167	hard_par	n/a	269.167
94.759	1.979	easy_par	-93.833	n/a
105.264	1.048	hard_par	n/a	269.167
110.508	1.285	hard_par	n/a	-74.833
115.753	1.585	hard_par	n/a	-88.833
121.013	1.973	easy_par	-93.833	n/a
126.258	1.445	hard_par	n/a	-88.833
131.502	0.835	hard_par	n/a	-74.833
136.763	1.685	hard_par	n/a	-35.833
142.007	1.019	hard_par	n/a	-93.833
147.251	0.717	hard_par	n/a	-88.833
152.512	1.607	hard_par	n/a	24.167
157.757	0.828	hard_par	n/a	269.167
163.001	1.671	easy_par	24.167	n/a
168.262	1.298	easy_par	-88.833	n/a
178.767	0.920	easy_par	-35.833	n/a
184.011	0.900	easy_par	-35.833	n/a
189.256	0.681	hard_par	n/a	24.167
194.516	0.875	easy_par	-93.833	n/a
199.761	0.872	hard_par	n/a	24.167
205.005	0.866	hard_par	n/a	-93.833
210.266	1.494	hard_par	n/a	269.167
215.510	0.763	hard_par	n/a	-93.833
220.754	0.821	hard_par	n/a	-74.833
226.015	1.185	easy_par	-88.833	n/a
231.259	0.948	hard_par	n/a	-35.833
236.504	1.498	easy_par	269.167	n/a
241.765	2.075	hard_par	n/a	24.167
252.253	1.307	easy_par	24.167	n/a
257.514	1.319	hard_par	n/a	-88.833
262.758	0.753	hard_par	n/a	-93.833
268.002	0.917	hard_par	n/a	-88.833
273.263	0.808	hard_par	n/a	-88.833
278.508	0.604	hard_par	n/a	-93.833
283.752	1.144	hard_par	n/a	-35.833
289.013	1.618	easy_par	-88.833	n/a
294.257	1.006	easy_par	269.167	n/a
299.501	0.725	hard_par	n/a	-74.833
304.762	1.152	hard_par	n/a	269.167
310.007	0.769	hard_par	n/a	-35.833
315.251	0.544	easy_par	-88.833	n/a
325.756	0.941	easy_par	-74.833	n/a
331.017	0.569	easy_par	-74.833	n/a
336.261	0.863	hard_par	n/a	-74.833
341.505	0.943	hard_par	n/a	24.167
346.766	0.667	hard_par	n/a	-35.833
352.010	0.959	easy_par	-88.833	n/a
357.255	0.457	easy_par	24.167	n/a
362.516	0.725	easy_par	24.167	n/a
367.760	0.730	hard_par	n/a	-35.833
373.004	1.276	easy_par	269.167	n/a
378.265	0.648	easy_par	-35.833	n/a
383.509	1.098	hard_par	n/a	24.167
388.753	0.781	easy_par	-74.833	n/a
399.259	1.637	easy_par	-93.833	n/a
404.503	1.576	hard_par	n/a	269.167
409.764	0.988	hard_par	n/a	24.167
415.008	0.815	easy_par	-88.833	n/a
420.252	2.125	easy_par	269.167	n/a
425.513	1.337	easy_par	24.167	n/a
430.758	0.868	easy_par	-74.833	n/a
436.002	0.519	easy_par	-88.833	n/a
441.263	0.578	easy_par	269.167	n/a
446.507	0.917	easy_par	24.167	n/a
451.751	1.106	hard_par	n/a	24.167
457.012	0.469	easy_par	-74.833	n/a
462.256	0.759	easy_par	269.167	n/a
472.762	3.430	hard_par	n/a	-93.833
478.006	2.012	easy_par	-35.833	n/a
483.267	0.596	easy_par	-35.833	n/a
488.511	0.602	easy_par	-74.833	n/a
493.755	0.830	hard_par	n/a	-35.833
499.016	0.535	hard_par	n/a	-88.833
504.260	0.491	easy_par	-93.833	n/a
509.505	0.679	hard_par	n/a	-74.833
514.765	0.716	hard_par	n/a	-35.833
520.010	1.558	easy_par	269.167	n/a
525.254	0.883	easy_par	-74.833	n/a
530.515	0.607	hard_par	n/a	-93.833
535.759	0.424	easy_par	-35.833	n/a
546.264	0.683	easy_par	-88.833	n/a
551.509	0.708	easy_par	269.167	n/a
556.753	0.951	hard_par	n/a	269.167
