onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
108.1889090909	n/a	27047	right_press	n/a	n/a	27	n/a	4096	n/a
108.4498181818	n/a	27112	show_circle	n/a	n/a	27	n/a	0	circle.bmp
110.1498181818	n/a	27537	show_cross	n/a	n/a	28	n/a	1	cross.bmp
110.5970909091	n/a	27649	show_face	scrambled_face	delayed_repeat	28	11	19	s115.bmp
111.2870909091	n/a	27821	right_press	n/a	n/a	28	n/a	4096	n/a
111.4352727273	n/a	27858	show_circle	n/a	n/a	28	n/a	0	circle.bmp
113.1352727273	n/a	28283	show_cross	n/a	n/a	29	n/a	1	cross.bmp
113.738	n/a	28434	show_face	scrambled_face	first_show	29	n/a	17	s139.bmp
114.4461818182	n/a	28611	right_press	n/a	n/a	29	n/a	4096	n/a
114.7461818182	n/a	28686	show_circle	n/a	n/a	29	n/a	0	circle.bmp
116.4461818182	n/a	29111	show_cross	n/a	n/a	30	n/a	1	cross.bmp
117.0952727273	n/a	29273	show_face	scrambled_face	immediate_repeat	30	1	18	s139.bmp
118.0598181818	n/a	29514	show_circle	n/a	n/a	30	n/a	0	circle.bmp
119.7598181818	n/a	29939	show_cross	n/a	n/a	31	n/a	1	cross.bmp
120.2698181818	n/a	30067	show_face	unfamiliar_face	delayed_repeat	31	13	15	u123.bmp
121.1243636364	n/a	30281	show_circle	n/a	n/a	31	n/a	0	circle.bmp
122.8243636364	n/a	30706	show_cross	n/a	n/a	32	n/a	1	cross.bmp
123.3761818182	n/a	30844	show_face	scrambled_face	first_show	32	n/a	17	s076.bmp
124.1452727273	n/a	31036	right_press	n/a	n/a	32	n/a	4096	n/a
124.258	n/a	31064	show_circle	n/a	n/a	32	n/a	0	circle.bmp
125.958	n/a	31489	show_cross	n/a	n/a	33	n/a	1	cross.bmp
126.5334545455	n/a	31633	show_face	famous_face	first_show	33	n/a	5	f081.bmp
127.4098181818	n/a	31852	show_circle	n/a	n/a	33	n/a	0	circle.bmp
127.4189090909	n/a	31854	right_press	n/a	n/a	33	n/a	4096	n/a
129.1098181818	n/a	32277	show_cross	n/a	n/a	34	n/a	1	cross.bmp
129.6907272727	n/a	32422	show_face	famous_face	immediate_repeat	34	1	6	f081.bmp
130.18345454549998	n/a	32545	right_press	n/a	n/a	34	n/a	4096	n/a
130.55436363639998	n/a	32638	show_circle	n/a	n/a	34	n/a	0	circle.bmp
132.2543636364	n/a	33063	show_cross	n/a	n/a	35	n/a	1	cross.bmp
132.73163636360002	n/a	33182	show_face	famous_face	first_show	35	n/a	5	f141.bmp
133.48163636360002	n/a	33370	right_press	n/a	n/a	35	n/a	4096	n/a
133.6643636364	n/a	33416	show_circle	n/a	n/a	35	n/a	0	circle.bmp
135.3643636364	n/a	33841	show_cross	n/a	n/a	36	n/a	1	cross.bmp
136.0052727273	n/a	34001	show_face	scrambled_face	first_show	36	n/a	17	s137.bmp
136.91254545450002	n/a	34228	right_press	n/a	n/a	36	n/a	4096	n/a
136.9370909091	n/a	34234	show_circle	n/a	n/a	36	n/a	0	circle.bmp
138.6370909091	n/a	34659	show_cross	n/a	n/a	37	n/a	1	cross.bmp
139.1125454545	n/a	34778	show_face	famous_face	delayed_repeat	37	10	7	f041.bmp
139.8934545455	n/a	34973	right_press	n/a	n/a	37	n/a	4096	n/a
140.0870909091	n/a	35021	show_circle	n/a	n/a	37	n/a	0	circle.bmp
141.7870909091	n/a	35446	show_cross	n/a	n/a	38	n/a	1	cross.bmp
142.4534545455	n/a	35613	show_face	unfamiliar_face	first_show	38	n/a	13	u120.bmp
143.4307272727	n/a	35857	show_circle	n/a	n/a	38	n/a	0	circle.bmp
145.1307272727	n/a	36282	show_cross	n/a	n/a	39	n/a	1	cross.bmp
145.74436363639998	n/a	36436	show_face	unfamiliar_face	first_show	39	n/a	13	u002.bmp
146.7252727273	n/a	36681	show_circle	n/a	n/a	39	n/a	0	circle.bmp
148.42527272729998	n/a	37106	show_cross	n/a	n/a	40	n/a	1	cross.bmp
149.0352727273	n/a	37258	show_face	scrambled_face	delayed_repeat	40	8	19	s076.bmp
149.8570909091	n/a	37464	show_circle	n/a	n/a	40	n/a	0	circle.bmp
151.5570909091	n/a	37889	show_cross	n/a	n/a	41	n/a	1	cross.bmp
152.1261818182	n/a	38031	show_face	famous_face	first_show	41	n/a	5	f121.bmp
153.0743636364	n/a	38268	show_circle	n/a	n/a	41	n/a	0	circle.bmp
154.77436363639998	n/a	38693	show_cross	n/a	n/a	42	n/a	1	cross.bmp
155.4007272727	n/a	38850	show_face	famous_face	immediate_repeat	42	1	6	f121.bmp
156.3989090909	n/a	39099	show_circle	n/a	n/a	42	n/a	0	circle.bmp
158.0989090909	n/a	39524	show_cross	n/a	n/a	43	n/a	1	cross.bmp
158.7416363636	n/a	39685	show_face	unfamiliar_face	first_show	43	n/a	13	u018.bmp
159.648	n/a	39912	show_circle	n/a	n/a	43	n/a	0	circle.bmp
159.7498181818	n/a	39937	right_press	n/a	n/a	43	n/a	4096	n/a
161.348	n/a	40337	show_cross	n/a	n/a	44	n/a	1	cross.bmp
161.9661818182	n/a	40491	show_face	famous_face	delayed_repeat	44	9	7	f141.bmp
162.8325454545	n/a	40708	show_circle	n/a	n/a	44	n/a	0	circle.bmp
162.8370909091	n/a	40709	right_press	n/a	n/a	44	n/a	4096	n/a
164.5325454545	n/a	41133	show_cross	n/a	n/a	45	n/a	1	cross.bmp
165.1725454545	n/a	41293	show_face	unfamiliar_face	first_show	45	n/a	13	u014.bmp
166.1261818182	n/a	41531	show_circle	n/a	n/a	45	n/a	0	circle.bmp
167.82618181819998	n/a	41956	show_cross	n/a	n/a	46	n/a	1	cross.bmp
168.448	n/a	42112	show_face	unfamiliar_face	immediate_repeat	46	1	14	u014.bmp
169.3125454545	n/a	42328	show_circle	n/a	n/a	46	n/a	0	circle.bmp
171.0125454545	n/a	42753	show_cross	n/a	n/a	47	n/a	1	cross.bmp
171.5216363636	n/a	42880	show_face	scrambled_face	delayed_repeat	47	11	19	s137.bmp
172.218	n/a	43054	right_press	n/a	n/a	47	n/a	4096	n/a
172.5052727273	n/a	43126	show_circle	n/a	n/a	47	n/a	0	circle.bmp
174.20527272729998	n/a	43551	show_cross	n/a	n/a	48	n/a	1	cross.bmp
174.728	n/a	43682	show_face	unfamiliar_face	first_show	48	n/a	13	u023.bmp
175.5625454545	n/a	43890	show_circle	n/a	n/a	48	n/a	0	circle.bmp
177.2625454545	n/a	44315	show_cross	n/a	n/a	49	n/a	1	cross.bmp
177.8016363636	n/a	44450	show_face	unfamiliar_face	delayed_repeat	49	11	15	u120.bmp
