onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
11.9	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	15
16.483	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	5
20.733	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	22
25.667	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	8
31.617	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	24
36.383	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	23
41.65	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	10
45.567	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	1
49.983	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	20
53.033	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	3
58.483	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	11
62.567	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	29
68.517	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	25
74.117	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	32
79.9	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	33
83.633	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	27
88.733	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	18
92.65	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	16
97.067	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	4
102.683	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	17
105.917	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	12
109.65	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	35
115.433	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	26
120.867	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	31
124.267	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	30
127.667	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	2
131.233	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	21
134.467	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	19
139.4	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	28
142.467	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	14
147.567	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	7
151.633	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	6
156.917	0.5	0	132	LETTERS	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	13
161.167	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	36
164.733	0.5	0	131	FACES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	9
169.483	0.5	0	133	HOUSES	sub-som682_ses-nyu3t01_task-spatialobject_run-1.mat	34
