onset	duration	ISI	trial_type	trial_name	stim_file
11.9	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_02.png
16.667	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_01.png
20.917	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_01.png
26.35	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_02.png
30.767	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_01.png
36.217	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_02.png
39.95	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_02.png
43.017	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_01.png
47.267	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_02.png
52.867	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_02.png
57.967	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_03.png
63.233	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_02.png
67.317	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_03.png
72.417	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_02.png
77.183	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_03.png
82.967	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_03.png
86.533	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_02.png
89.933	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_01.png
93.833	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_01.png
96.9	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_03.png
102.517	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_03.png
105.733	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_03.png
111.017	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_01.png
114.583	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_01.png
118.667	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_03.png
122.067	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_02.png
125.283	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_01.png
131.067	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_01.png
134.983	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_03.png
139.567	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_02.png
145.517	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_01.png
149.933	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_03.png
153.683	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_03.png
159.633	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_03.png
164.567	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_01.png
169.483	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_02.png
