onset	duration	ISI	trial_type	trial_name	stim_file
11.9	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_05.png
16.833	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_04.png
22.267	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_04.png
27.367	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_05.png
31.783	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_04.png
37.4	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_05.png
42.833	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_04.png
47.083	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_04.png
50.833	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_05.png
54.067	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_05.png
57.467	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_05.png
61.2	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_05.png
64.433	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_06.png
67.833	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_06.png
72.083	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_06.png
75.133	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_06.png
80.067	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_04.png
85.85	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_04.png
91.8	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_04.png
95.717	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_06.png
100.467	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_04.png
104.883	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_04.png
109.983	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_06.png
115.267	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_06.png
120.867	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_05.png
125.467	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_06.png
130.733	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_06.png
134.817	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_04.png
140.583	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_05.png
144.167	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_05.png
148.917	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_05.png
151.983	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_06.png
157.933	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_06.png
162.017	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_04.png
165.917	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_05.png
169.483	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_06.png
