onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
11.9	0.5	0.35	3	VERTICAL-L-R-1	sub-som682_ses-nyu3t01_task-prf_run-1.mat	1
12.75	0.5	0.35	4	VERTICAL-L-R-2	sub-som682_ses-nyu3t01_task-prf_run-1.mat	2
13.6	0.5	0.35	5	VERTICAL-L-R-3	sub-som682_ses-nyu3t01_task-prf_run-1.mat	3
14.45	0.5	0.35	6	VERTICAL-L-R-4	sub-som682_ses-nyu3t01_task-prf_run-1.mat	4
15.3	0.5	0.35	7	VERTICAL-L-R-5	sub-som682_ses-nyu3t01_task-prf_run-1.mat	5
16.15	0.5	0.35	8	VERTICAL-L-R-6	sub-som682_ses-nyu3t01_task-prf_run-1.mat	6
17	0.5	0.35	9	VERTICAL-L-R-7	sub-som682_ses-nyu3t01_task-prf_run-1.mat	7
17.85	0.5	0.35	10	VERTICAL-L-R-8	sub-som682_ses-nyu3t01_task-prf_run-1.mat	8
18.7	0.5	0.35	11	VERTICAL-L-R-9	sub-som682_ses-nyu3t01_task-prf_run-1.mat	9
19.55	0.5	0.35	12	VERTICAL-L-R-10	sub-som682_ses-nyu3t01_task-prf_run-1.mat	10
20.4	0.5	0.35	13	VERTICAL-L-R-11	sub-som682_ses-nyu3t01_task-prf_run-1.mat	11
21.25	0.5	0.35	14	VERTICAL-L-R-12	sub-som682_ses-nyu3t01_task-prf_run-1.mat	12
22.1	0.5	0.35	15	VERTICAL-L-R-13	sub-som682_ses-nyu3t01_task-prf_run-1.mat	13
22.95	0.5	0.35	16	VERTICAL-L-R-14	sub-som682_ses-nyu3t01_task-prf_run-1.mat	14
23.8	0.5	0.35	17	VERTICAL-L-R-15	sub-som682_ses-nyu3t01_task-prf_run-1.mat	15
24.65	0.5	0.35	18	VERTICAL-L-R-16	sub-som682_ses-nyu3t01_task-prf_run-1.mat	16
25.5	0.5	0.35	19	VERTICAL-L-R-17	sub-som682_ses-nyu3t01_task-prf_run-1.mat	17
26.35	0.5	0.35	20	VERTICAL-L-R-18	sub-som682_ses-nyu3t01_task-prf_run-1.mat	18
27.2	0.5	0.35	21	VERTICAL-L-R-19	sub-som682_ses-nyu3t01_task-prf_run-1.mat	19
28.05	0.5	0.35	22	VERTICAL-L-R-20	sub-som682_ses-nyu3t01_task-prf_run-1.mat	20
28.9	0.5	0.35	23	VERTICAL-L-R-21	sub-som682_ses-nyu3t01_task-prf_run-1.mat	21
29.75	0.5	0.35	24	VERTICAL-L-R-22	sub-som682_ses-nyu3t01_task-prf_run-1.mat	22
30.6	0.5	0.35	25	VERTICAL-L-R-23	sub-som682_ses-nyu3t01_task-prf_run-1.mat	23
31.45	0.5	0.35	26	VERTICAL-L-R-24	sub-som682_ses-nyu3t01_task-prf_run-1.mat	24
32.3	0.5	0.35	27	VERTICAL-L-R-25	sub-som682_ses-nyu3t01_task-prf_run-1.mat	25
33.15	0.5	0.35	28	VERTICAL-L-R-26	sub-som682_ses-nyu3t01_task-prf_run-1.mat	26
34	0.5	0.35	29	VERTICAL-L-R-27	sub-som682_ses-nyu3t01_task-prf_run-1.mat	27
