onset	duration	response_time	button_press	stim_file
n/a	n/a	2.234	1	meg/u041.bmp
n/a	n/a	0.879	1	meg/u101.bmp
n/a	n/a	0.933	3	meg/f104.bmp
n/a	n/a	1.634	2	meg/f001.bmp
n/a	n/a	0.696	3	meg/f026.bmp
n/a	n/a	0.614	3	meg/f014.bmp
n/a	n/a	0.792	1	meg/u076.bmp
n/a	n/a	0.985	3	meg/f145.bmp
n/a	n/a	4.651	3	meg/u036.bmp
n/a	n/a	1.155	3	meg/f059.bmp
n/a	n/a	0.813	3	meg/f039.bmp
n/a	n/a	1.118	1	meg/u013.bmp
n/a	n/a	0.961	1	meg/u140.bmp
n/a	n/a	0.916	1	meg/u058.bmp
n/a	n/a	1.393	1	meg/u150.bmp
n/a	n/a	2.697	1	meg/u106.bmp
n/a	n/a	0.819	3	meg/f062.bmp
n/a	n/a	0.947	3	meg/u008.bmp
n/a	n/a	0.99	3	meg/f041.bmp
n/a	n/a	0.792	1	meg/u139.bmp
n/a	n/a	0.826	3	meg/f029.bmp
n/a	n/a	2.354	2	meg/u062.bmp
n/a	n/a	1.002	3	meg/f102.bmp
n/a	n/a	1.179	3	meg/f086.bmp
n/a	n/a	0.997	3	meg/f056.bmp
n/a	n/a	1.038	1	meg/u128.bmp
n/a	n/a	1.398	3	meg/f051.bmp
n/a	n/a	1.39	1	meg/u097.bmp
n/a	n/a	1.118	3	meg/f087.bmp
n/a	n/a	1.075	3	meg/f055.bmp
n/a	n/a	4.576	3	meg/u035.bmp
n/a	n/a	1.034	1	meg/u030.bmp
n/a	n/a	0.754	3	meg/f095.bmp
n/a	n/a	0.725	3	meg/f048.bmp
n/a	n/a	1.593	3	meg/f011.bmp
n/a	n/a	0.777	3	meg/f074.bmp
n/a	n/a	1.164	1	meg/u133.bmp
n/a	n/a	0.71	3	meg/f150.bmp
n/a	n/a	1.067	1	meg/u068.bmp
n/a	n/a	0.954	1	meg/u032.bmp
n/a	n/a	0.708	3	meg/f135.bmp
n/a	n/a	0.81	3	meg/f110.bmp
n/a	n/a	2.043	1	meg/f115.bmp
n/a	n/a	1.248	3	meg/f127.bmp
n/a	n/a	1.846	1	meg/u020.bmp
n/a	n/a	1.524	1	meg/u113.bmp
n/a	n/a	0.919	3	meg/f034.bmp
n/a	n/a	0.746	3	meg/f021.bmp
n/a	n/a	0.83	1	meg/u145.bmp
n/a	n/a	1.479	1	meg/u033.bmp
n/a	n/a	1.116	1	meg/u077.bmp
n/a	n/a	0.856	3	meg/f067.bmp
n/a	n/a	1.567	2	meg/u081.bmp
n/a	n/a	3.408	1	meg/f120.bmp
n/a	n/a	0.82	1	meg/f093.bmp
