name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
Rigid1_eul_z	ORNT	rad	89.4157783808684	PhaseSpace	Rigid1	z	Rigid1
Rigid1_eul_y	ORNT	rad	89.4157783808684	PhaseSpace	Rigid1	y	Rigid1
Rigid1_eul_x	ORNT	rad	89.4157783808684	PhaseSpace	Rigid1	x	Rigid1
Rigid1_cart_X	POS	m	89.4157783808684	PhaseSpace	Rigid1	X	Rigid1
Rigid1_cart_Y	POS	m	89.4157783808684	PhaseSpace	Rigid1	Y	Rigid1
Rigid1_cart_Z	POS	m	89.4157783808684	PhaseSpace	Rigid1	Z	Rigid1
Rigid2_eul_z	ORNT	rad	89.4157783808684	PhaseSpace	Rigid2	z	Rigid2
Rigid2_eul_y	ORNT	rad	89.4157783808684	PhaseSpace	Rigid2	y	Rigid2
Rigid2_eul_x	ORNT	rad	89.4157783808684	PhaseSpace	Rigid2	x	Rigid2
Rigid2_cart_X	POS	m	89.4157783808684	PhaseSpace	Rigid2	X	Rigid2
Rigid2_cart_Y	POS	m	89.4157783808684	PhaseSpace	Rigid2	Y	Rigid2
Rigid2_cart_Z	POS	m	89.4157783808684	PhaseSpace	Rigid2	Z	Rigid2
Rigid3_eul_z	ORNT	rad	89.4157783808684	PhaseSpace	Rigid3	z	Rigid3
Rigid3_eul_y	ORNT	rad	89.4157783808684	PhaseSpace	Rigid3	y	Rigid3
Rigid3_eul_x	ORNT	rad	89.4157783808684	PhaseSpace	Rigid3	x	Rigid3
Rigid3_cart_X	POS	m	89.4157783808684	PhaseSpace	Rigid3	X	Rigid3
Rigid3_cart_Y	POS	m	89.4157783808684	PhaseSpace	Rigid3	Y	Rigid3
Rigid3_cart_Z	POS	m	89.4157783808684	PhaseSpace	Rigid3	Z	Rigid3
Rigid4_eul_z	ORNT	rad	89.4157783808684	PhaseSpace	Rigid4	z	Rigid4
Rigid4_eul_y	ORNT	rad	89.4157783808684	PhaseSpace	Rigid4	y	Rigid4
Rigid4_eul_x	ORNT	rad	89.4157783808684	PhaseSpace	Rigid4	x	Rigid4
Rigid4_cart_X	POS	m	89.4157783808684	PhaseSpace	Rigid4	X	Rigid4
Rigid4_cart_Y	POS	m	89.4157783808684	PhaseSpace	Rigid4	Y	Rigid4
Rigid4_cart_Z	POS	m	89.4157783808684	PhaseSpace	Rigid4	Z	Rigid4
headRigid_eul_z	ORNT	rad	89.4158345396155	HTCVive	headRigid	z	head
headRigid_eul_y	ORNT	rad	89.4158345396155	HTCVive	headRigid	y	head
headRigid_eul_x	ORNT	rad	89.4158345396155	HTCVive	headRigid	x	head
headRigid_cart_X	POS	m	89.4158345396155	HTCVive	headRigid	X	head
headRigid_cart_Y	POS	m	89.4158345396155	HTCVive	headRigid	Y	head
headRigid_cart_Z	POS	m	89.4158345396155	HTCVive	headRigid	Z	head
