onset	duration	trial_type	Response	Stimulus	RT
4.709	0.2	auditory standard stimulus presentation	n/a	n/a	n/a
7.324	0.2	auditory standard stimulus presentation	n/a	n/a	n/a
9.54	0.2	auditory standard stimulus presentation	n/a	n/a	n/a
12.569	0.353	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
12.569	0.2	auditory oddball stimulus presentation	1.0	target	n/a
15.201	0.2	auditory standard stimulus presentation	0.0	standard	n/a
17.633	0.2	auditory standard stimulus presentation	0.0	standard	n/a
19.865	0.2	auditory oddball stimulus presentation	1.0	target	n/a
19.865	0.31	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
22.513	0.2	auditory standard stimulus presentation	0.0	standard	n/a
25.558	0.2	auditory standard stimulus presentation	0.0	standard	n/a
28.404	0.2	auditory standard stimulus presentation	0.0	standard	n/a
30.837	0.2	auditory standard stimulus presentation	0.0	standard	n/a
33.666	0.2	auditory standard stimulus presentation	0.0	standard	n/a
36.114	0.2	auditory standard stimulus presentation	0.0	standard	n/a
38.382	0.2	auditory standard stimulus presentation	0.0	standard	n/a
40.615	0.2	auditory standard stimulus presentation	0.0	standard	n/a
42.85	0.256	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
42.85	0.2	auditory oddball stimulus presentation	1.0	target	n/a
45.876	0.2	auditory standard stimulus presentation	0.0	standard	n/a
48.922	0.2	auditory standard stimulus presentation	0.0	standard	n/a
51.966	0.2	auditory standard stimulus presentation	0.0	standard	n/a
54.2	0.2	auditory standard stimulus presentation	0.0	standard	n/a
56.433	0.2	auditory standard stimulus presentation	0.0	standard	n/a
59.081	0.2	auditory oddball stimulus presentation	1.0	target	n/a
59.081	0.346	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
61.711	0.2	auditory oddball stimulus presentation	1.0	target	n/a
61.711	0.406	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
63.946	0.2	auditory standard stimulus presentation	0.0	standard	n/a
65.98	0.2	auditory oddball stimulus presentation	1.0	target	n/a
65.98	0.535	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
68.215	0.2	auditory standard stimulus presentation	0.0	standard	n/a
71.044	0.2	auditory standard stimulus presentation	0.0	standard	n/a
73.477	0.2	auditory oddball stimulus presentation	1.0	target	n/a
73.477	0.319	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
75.908	0.2	auditory standard stimulus presentation	0.0	standard	n/a
78.54	0.2	auditory standard stimulus presentation	0.0	standard	n/a
81.568	0.2	auditory standard stimulus presentation	0.0	standard	n/a
83.602	0.2	auditory standard stimulus presentation	0.0	standard	n/a
86.449	0.2	auditory standard stimulus presentation	0.0	standard	n/a
89.278	0.2	auditory standard stimulus presentation	0.0	standard	n/a
91.909	0.2	auditory standard stimulus presentation	0.0	standard	n/a
93.944	0.2	auditory standard stimulus presentation	0.0	standard	n/a
96.79	0.2	auditory standard stimulus presentation	0.0	standard	n/a
99.422	0.2	auditory standard stimulus presentation	0.0	standard	n/a
101.672	0.2	auditory standard stimulus presentation	0.0	standard	n/a
103.922	0.2	auditory standard stimulus presentation	0.0	standard	n/a
106.752	0.2	auditory standard stimulus presentation	0.0	standard	n/a
109.382	0.2	auditory standard stimulus presentation	0.0	standard	n/a
111.814	0.2	auditory standard stimulus presentation	0.0	standard	n/a
114.445	0.2	auditory standard stimulus presentation	0.0	standard	n/a
117.473	0.335	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
117.473	0.2	auditory oddball stimulus presentation	1.0	target	n/a
119.706	0.2	auditory standard stimulus presentation	0.0	standard	n/a
122.338	0.369	behavioral response time following auditory oddball stimulus onset	1.0	target	n/a
122.338	0.2	auditory oddball stimulus presentation	1.0	target	n/a
125.366	0.2	auditory standard stimulus presentation	0.0	standard	n/a
128.426	0.2	auditory standard stimulus presentation	0.0	standard	n/a
