onset	duration	trial_type	Response	Stimulus	response_time
5.850	0.200	visual standard stimulus presentation	n/a	n/a	n/a
7.870	0.200	visual standard stimulus presentation	n/a	n/a	n/a
9.889	0.200	visual standard stimulus presentation	n/a	n/a	n/a
12.287	0.200	visual standard stimulus presentation	0.000	standard	n/a
14.290	0.200	visual standard stimulus presentation	0.000	standard	n/a
16.491	0.200	visual standard stimulus presentation	0.000	standard	n/a
18.492	0.328	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
18.492	0.200	visual oddball stimulus presentation	1.000	target	n/a
20.494	0.343	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
20.494	0.200	visual oddball stimulus presentation	1.000	target	n/a
22.893	0.200	visual standard stimulus presentation	0.000	standard	n/a
24.895	0.200	visual standard stimulus presentation	0.000	standard	n/a
27.295	0.200	visual standard stimulus presentation	0.000	standard	n/a
29.892	0.200	visual standard stimulus presentation	0.000	standard	n/a
32.887	0.200	visual standard stimulus presentation	0.000	standard	n/a
35.089	0.200	visual standard stimulus presentation	0.000	standard	n/a
38.083	0.200	visual standard stimulus presentation	0.000	standard	n/a
40.682	0.200	visual standard stimulus presentation	0.000	standard	n/a
43.279	0.200	visual standard stimulus presentation	0.000	standard	n/a
46.274	0.200	visual standard stimulus presentation	0.000	standard	n/a
48.871	0.200	visual standard stimulus presentation	0.000	standard	n/a
51.470	0.200	visual standard stimulus presentation	0.000	standard	n/a
54.068	0.200	visual standard stimulus presentation	0.000	standard	n/a
56.863	0.357	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
56.863	0.200	visual oddball stimulus presentation	1.000	target	n/a
58.866	0.200	visual standard stimulus presentation	0.000	standard	n/a
61.464	0.200	visual oddball stimulus presentation	1.000	target	n/a
61.464	0.385	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
63.863	0.200	visual standard stimulus presentation	0.000	standard	n/a
66.063	0.335	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
66.063	0.200	visual oddball stimulus presentation	1.000	target	n/a
