onset	duration	trial_type	easy_par	hard_par
16.013	4.500	hard_par	n/a	0.417
21.257	4.500	easy_par	0.646	n/a
26.501	4.500	hard_par	n/a	0.417
37.007	4.500	easy_par	-0.354	n/a
42.251	4.500	easy_par	-0.354	n/a
47.512	4.500	hard_par	n/a	0.417
52.756	4.500	easy_par	0.646	n/a
58.017	4.500	easy_par	0.646	n/a
63.261	4.500	hard_par	n/a	0.417
68.505	4.500	easy_par	-0.354	n/a
73.766	4.500	easy_par	-0.354	n/a
79.011	4.500	easy_par	0.646	n/a
84.255	4.500	hard_par	n/a	-0.583
89.516	4.500	easy_par	0.646	n/a
94.760	4.500	hard_par	n/a	0.417
100.004	4.500	easy_par	0.646	n/a
110.509	4.500	hard_par	n/a	-0.583
115.754	4.500	hard_par	n/a	-0.583
121.014	4.500	easy_par	-0.354	n/a
126.259	4.500	easy_par	-0.354	n/a
131.503	4.500	hard_par	n/a	0.417
136.764	4.500	hard_par	n/a	0.417
142.008	4.500	easy_par	0.646	n/a
147.252	4.500	easy_par	-0.354	n/a
152.513	4.500	easy_par	-0.354	n/a
158.604	4.500	hard_par	n/a	0.417
163.135	4.500	easy_par	-0.354	n/a
168.263	4.500	easy_par	-0.354	n/a
173.507	4.500	hard_par	n/a	-0.583
184.012	4.500	hard_par	n/a	-0.583
189.256	4.500	easy_par	-0.354	n/a
194.517	4.500	easy_par	-0.354	n/a
199.762	4.500	easy_par	-0.354	n/a
205.006	4.500	hard_par	n/a	0.417
210.267	4.500	hard_par	n/a	-0.583
215.511	4.500	easy_par	0.646	n/a
220.755	4.500	hard_par	n/a	-0.583
226.016	4.500	hard_par	n/a	0.417
231.260	4.500	easy_par	-0.354	n/a
236.505	4.500	hard_par	n/a	0.417
241.766	4.500	easy_par	0.646	n/a
247.010	4.500	easy_par	-0.354	n/a
257.515	4.500	hard_par	n/a	0.417
262.759	4.500	easy_par	-0.354	n/a
268.003	4.500	easy_par	-0.354	n/a
273.264	4.500	easy_par	0.646	n/a
278.509	4.500	hard_par	n/a	0.417
283.753	4.500	easy_par	-0.354	n/a
289.014	4.500	hard_par	n/a	0.417
294.258	4.500	hard_par	n/a	0.417
299.502	4.500	hard_par	n/a	0.417
304.763	4.500	easy_par	-0.354	n/a
310.008	4.500	hard_par	n/a	0.417
315.252	4.500	easy_par	0.646	n/a
320.513	4.500	easy_par	-0.354	n/a
331.001	4.500	hard_par	n/a	-0.583
336.262	4.500	hard_par	n/a	0.417
341.506	4.500	hard_par	n/a	0.417
346.767	4.500	hard_par	n/a	0.417
352.011	4.500	hard_par	n/a	-0.583
357.256	4.500	easy_par	-0.354	n/a
362.517	4.500	easy_par	0.646	n/a
367.761	4.500	hard_par	n/a	-0.583
373.005	4.500	hard_par	n/a	-0.583
378.266	4.500	easy_par	0.646	n/a
383.510	4.500	hard_par	n/a	-0.583
388.755	4.500	easy_par	-0.354	n/a
394.015	4.500	hard_par	n/a	0.417
404.504	4.500	hard_par	n/a	-0.583
409.765	4.500	hard_par	n/a	0.417
415.009	4.500	easy_par	-0.354	n/a
420.253	4.500	easy_par	-0.354	n/a
425.514	4.500	hard_par	n/a	0.417
430.759	4.500	hard_par	n/a	-0.583
436.003	4.500	easy_par	0.646	n/a
441.264	4.500	hard_par	n/a	-0.583
446.508	4.500	easy_par	-0.354	n/a
451.752	4.500	easy_par	-0.354	n/a
457.013	4.500	easy_par	-0.354	n/a
462.257	4.500	hard_par	n/a	-0.583
467.502	4.500	hard_par	n/a	0.417
478.007	4.500	hard_par	n/a	0.417
483.251	4.500	easy_par	-0.354	n/a
488.512	4.500	hard_par	n/a	-0.583
493.756	4.500	easy_par	-0.354	n/a
499.017	4.500	easy_par	-0.354	n/a
504.261	4.500	hard_par	n/a	-0.583
509.505	4.500	hard_par	n/a	0.417
514.766	4.500	easy_par	0.646	n/a
520.011	4.500	easy_par	0.646	n/a
525.255	4.500	easy_par	0.646	n/a
530.516	4.500	hard_par	n/a	0.417
535.760	4.500	hard_par	n/a	0.417
541.004	4.500	easy_par	-0.354	n/a
551.510	4.500	hard_par	n/a	-0.583
556.754	4.500	hard_par	n/a	-0.583
