onset	duration	trial_type	cash_demean	control_pumps_demean	pumps_demean
233.709	0.772	pumps_demean	n/a	n/a	0.0
233.709	1.085	pumps_fixed_real_RT	n/a	n/a	n/a
236.069	0.772	pumps_demean	n/a	n/a	1.0
236.069	1.885	pumps_fixed_real_RT	n/a	n/a	n/a
239.841	0.772	cash_demean	0.286	n/a	n/a
239.841	0.665	cash_fixed_real_RT	n/a	n/a	n/a
252.88	1.034	pumps_fixed_real_RT	n/a	n/a	n/a
252.88	0.772	pumps_demean	n/a	n/a	-0.5
255.787	2.431	pumps_fixed_real_RT	n/a	n/a	n/a
255.787	0.772	pumps_demean	n/a	n/a	0.5
260.749	0.772	explode_demean	n/a	n/a	n/a
266.716	0.772	pumps_demean	n/a	n/a	0.0
266.716	0.598	pumps_fixed_real_RT	n/a	n/a	n/a
268.913	1.057	cash_fixed_real_RT	n/a	n/a	n/a
268.913	0.772	cash_demean	-1.714	n/a	n/a
273.963	0.872	control_pumps_fixed_real_RT	n/a	n/a	n/a
273.963	0.772	control_pumps_demean	n/a	-0.5	n/a
276.941	0.772	control_pumps_demean	n/a	0.5	n/a
276.941	0.749	control_pumps_fixed_real_RT	n/a	n/a	n/a
288.376	0.722	pumps_fixed_real_RT	n/a	n/a	n/a
288.376	0.772	pumps_demean	n/a	n/a	-1.5
291.805	0.772	pumps_demean	n/a	n/a	-0.5
291.805	1.167	pumps_fixed_real_RT	n/a	n/a	n/a
294.238	1.397	pumps_fixed_real_RT	n/a	n/a	n/a
294.238	0.772	pumps_demean	n/a	n/a	0.5
297.735	1.315	pumps_fixed_real_RT	n/a	n/a	n/a
297.735	0.772	pumps_demean	n/a	n/a	1.5
301.572	0.772	cash_demean	1.286	n/a	n/a
301.572	1.198	cash_fixed_real_RT	n/a	n/a	n/a
310.058	1.608	pumps_fixed_real_RT	n/a	n/a	n/a
310.058	0.772	pumps_demean	n/a	n/a	-2.0
314.381	1.118	pumps_fixed_real_RT	n/a	n/a	n/a
314.381	0.772	pumps_demean	n/a	n/a	-1.0
316.707	1.832	pumps_fixed_real_RT	n/a	n/a	n/a
316.707	0.772	pumps_demean	n/a	n/a	0.0
321.329	0.772	pumps_demean	n/a	n/a	1.0
321.329	1.89	pumps_fixed_real_RT	n/a	n/a	n/a
325.631	1.22	pumps_fixed_real_RT	n/a	n/a	n/a
325.631	0.772	pumps_demean	n/a	n/a	2.0
328.035	0.772	cash_demean	2.286	n/a	n/a
328.035	2.407	cash_fixed_real_RT	n/a	n/a	n/a
336.059	1.039	pumps_fixed_real_RT	n/a	n/a	n/a
336.059	0.772	pumps_demean	n/a	n/a	-2.5
338.235	0.772	pumps_demean	n/a	n/a	-1.5
338.235	1.104	pumps_fixed_real_RT	n/a	n/a	n/a
342.276	1.335	pumps_fixed_real_RT	n/a	n/a	n/a
342.276	0.772	pumps_demean	n/a	n/a	-0.5
346.499	0.772	pumps_demean	n/a	n/a	0.5
346.499	2.416	pumps_fixed_real_RT	n/a	n/a	n/a
351.784	0.772	pumps_demean	n/a	n/a	1.5
351.784	0.827	pumps_fixed_real_RT	n/a	n/a	n/a
355.41	0.772	pumps_demean	n/a	n/a	2.5
355.41	1.369	pumps_fixed_real_RT	n/a	n/a	n/a
358.236	0.772	cash_demean	3.286	n/a	n/a
358.236	3.055	cash_fixed_real_RT	n/a	n/a	n/a
366.07	0.79	control_pumps_fixed_real_RT	n/a	n/a	n/a
366.07	0.772	control_pumps_demean	n/a	-3.5	n/a
369.32	0.492	control_pumps_fixed_real_RT	n/a	n/a	n/a
369.32	0.772	control_pumps_demean	n/a	-2.5	n/a
370.91	0.398	control_pumps_fixed_real_RT	n/a	n/a	n/a
370.91	0.772	control_pumps_demean	n/a	-1.5	n/a
373.741	0.734	control_pumps_fixed_real_RT	n/a	n/a	n/a
