onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample
33.6035	0.5000	0.0000	67	PRF-DIAGONAL-RD-LU-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	37	17205
34.4551	0.5000	0.0000	68	PRF-DIAGONAL-RD-LU-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	38	17641
35.3047	0.5000	0.0000	69	PRF-DIAGONAL-RD-LU-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	39	18076
36.1543	0.5000	0.0000	70	PRF-DIAGONAL-RD-LU-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	40	18511
37.0059	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	41	18947
37.8555	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	42	19382
38.7051	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	43	19817
39.5547	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	44	20252
40.4062	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	45	20688
41.2559	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	46	21123
42.1055	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	47	21558
42.9551	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	48	21993
43.8066	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	49	22429
44.6562	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	50	22864
45.5059	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	51	23299
46.3555	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	52	23734
