onset	duration	trial_type	response_time	sample	value
100.6601562500	n/a	stimulus	n/a	25769	128
105.8046875000	n/a	response	n/a	27086	4
108.2031250000	n/a	response	n/a	27700	2
241.5664062500	n/a	stimulus	n/a	61841	128
244.7929687500	n/a	response	n/a	62667	8
278.1054687500	n/a	stimulus	n/a	71195	128
281.4140625000	n/a	response	n/a	72042	8
409.2265625000	n/a	stimulus	n/a	104762	128
412.3476562500	n/a	response	n/a	105561	8
451.8046875000	n/a	stimulus	n/a	115662	128
454.8710937500	n/a	response	n/a	116447	8
499.6171875000	n/a	stimulus	n/a	127902	128
502.2890625000	n/a	response	n/a	128586	8
554.8984375000	n/a	stimulus	n/a	142054	128
557.5273437500	n/a	response	n/a	142727	8
659.9531250000	n/a	stimulus	n/a	168948	128
663.0859375000	n/a	response	n/a	169750	8
819.6835937500	n/a	stimulus	n/a	209839	128
822.9648437500	n/a	response	n/a	210679	8
867.9921875000	n/a	stimulus	n/a	222206	128
871.5468750000	n/a	response	n/a	223116	8
930.5273437500	n/a	stimulus	n/a	238215	128
933.4570312500	n/a	response	n/a	238965	8
1012.8867187500	n/a	stimulus	n/a	259299	128
1017.9140625000	n/a	response	n/a	260586	8
1061.8125000000	n/a	stimulus	n/a	271824	128
1067.9570312500	n/a	response	n/a	273397	8
1220.2539062500	n/a	stimulus	n/a	312385	128
1223.3828125000	n/a	response	n/a	313186	4
1225.9492187500	n/a	response	n/a	313843	2
1323.4140625000	n/a	stimulus	n/a	338794	128
1328.9140625000	n/a	response	n/a	340202	4
1332.4140625000	n/a	response	n/a	341098	2
1395.3593750000	n/a	stimulus	n/a	357212	128
1400.1601562500	n/a	response	n/a	358441	4
1403.8398437500	n/a	response	n/a	359383	2
1505.2070312500	n/a	stimulus	n/a	385333	128
1508.4921875000	n/a	response	n/a	386174	4
1510.7695312500	n/a	response	n/a	386757	2
1546.9687500000	n/a	stimulus	n/a	396024	128
1549.9687500000	n/a	response	n/a	396792	8
1667.5468750000	n/a	stimulus	n/a	426892	128
1670.6953125000	n/a	response	n/a	427698	8
1728.1523437500	n/a	stimulus	n/a	442407	128
1730.7929687500	n/a	response	n/a	443083	8
1862.7460937500	n/a	stimulus	n/a	476863	128
1868.1132812500	n/a	response	n/a	478237	8
1919.7968750000	n/a	stimulus	n/a	491468	128
1923.1093750000	n/a	response	n/a	492316	4
1925.5429687500	n/a	response	n/a	492939	2
1977.2890625000	n/a	stimulus	n/a	506186	128
1980.3984375000	n/a	response	n/a	506982	4
1983.0585937500	n/a	response	n/a	507663	2
2105.4257812500	n/a	stimulus	n/a	538989	128
2108.2929687500	n/a	response	n/a	539723	8
2229.7734375000	n/a	stimulus	n/a	570822	128
2232.6835937500	n/a	response	n/a	571567	4
2234.9648437500	n/a	response	n/a	572151	2
2270.2265625000	n/a	stimulus	n/a	581178	128
2274.4296875000	n/a	response	n/a	582254	4
2276.5898437500	n/a	response	n/a	582807	2
2353.8437500000	n/a	stimulus	n/a	602584	128
2356.6601562500	n/a	response	n/a	603305	4
2358.8945312500	n/a	response	n/a	603877	2
2379.0742187500	n/a	stimulus	n/a	609043	128
2381.7695312500	n/a	response	n/a	609733	4
2383.9257812500	n/a	response	n/a	610285	2
2386.1875000000	n/a	response	n/a	610864	2
2426.1875000000	n/a	stimulus	n/a	621104	128
2432.1992187500	n/a	response	n/a	622643	4
2434.6054687500	n/a	response	n/a	623259	2
2437.1601562500	n/a	response	n/a	623913	2
2518.1640625000	n/a	stimulus	n/a	644650	128
2521.6484375000	n/a	response	n/a	645542	4
2524.0898437500	n/a	response	n/a	646167	2
2526.3593750000	n/a	response	n/a	646748	2
2551.3632812500	n/a	stimulus	n/a	653149	128
2554.6171875000	n/a	response	n/a	653982	2
2556.8828125000	n/a	response	n/a	654562	4
2559.0703125000	n/a	response	n/a	655122	2
2670.0781250000	n/a	stimulus	n/a	683540	128
2673.4960937500	n/a	response	n/a	684415	4
2676.0625000000	n/a	response	n/a	685072	2
2678.6992187500	n/a	response	n/a	685747	2
