onset	trial_type	eventcode
26936	scrambled_new	17
28097	response	0
30299	scrambled_second_early	18
31347	response	0
33754	unfamiliar_new	13
34902	response	0
37392	famous_new	5
38261	response	0
41049	famous_second_early	6
42008	response	0
44467	unfamiliar_new	13
45818	response	0
47848	scrambled_new	17
48692	response	0
51156	scrambled_second_early	18
51862	response	0
54665	famous_new	5
55484	response	0
58175	famous_new	5
59164	response	0
61575	famous_second_early	6
62296	response	0
65250	unfamiliar_second_late	15
66180	response	0
68741	unfamiliar_new	13
69614	response	0
72104	famous_new	5
73053	response	0
75650	famous_second_early	6
76395	response	0
79050	unfamiliar_second_late	15
79950	response	0
82560	scrambled_new	17
83480	response	0
85996	famous_new	5
86764	response	0
89506	famous_second_early	6
90061	response	0
93015	famous_second_late	7
93832	response	0
96507	unfamiliar_new	13
97419	response	0
100017	unfamiliar_new	13
100958	response	0
103490	unfamiliar_second_early	14
104121	response	0
107073	unfamiliar_second_late	15
107713	response	0
110564	famous_new	5
111580	response	0
113909	famous_second_early	6
114562	response	0
117529	unfamiliar_new	13
118479	response	0
121002	unfamiliar_second_early	14
121736	response	0
124493	scrambled_second_late	19
125147	response	0
128040	unfamiliar_new	13
129398	response	0
131623	unfamiliar_second_early	14
132490	response	0
135151	scrambled_new	17
136113	response	0
138477	scrambled_second_early	18
139033	response	0
141987	unfamiliar_second_late	15
142803	response	0
145588	unfamiliar_new	13
146866	response	0
149117	unfamiliar_new	13
150093	response	0
152590	unfamiliar_new	13
153610	response	0
156081	unfamiliar_new	13
156893	response	0
159646	famous_new	5
160534	response	0
163045	scrambled_new	17
163814	response	0
166518	unfamiliar_second_late	15
167890	response	0
169881	famous_new	5
170880	response	0
173354	famous_second_early	6
173996	response	0
176937	unfamiliar_second_late	15
177827	response	0
180392	unfamiliar_new	13
181244	response	0
183866	unfamiliar_second_late	15
184557	response	0
187265	scrambled_new	17
187979	response	0
190885	scrambled_second_early	18
191471	response	0
194266	unfamiliar_second_late	15
195005	response	0
197739	scrambled_new	17
198345	response	0
201230	scrambled_second_early	18
201855	response	0
204740	famous_second_late	7
205897	response	0
208213	unfamiliar_new	13
208988	response	0
211686	unfamiliar_second_early	14
212528	response	0
215214	scrambled_second_late	19
215904	response	0
218724	scrambled_new	17
