name	type	units	sampling_frequency	tracked_point	component
lToe_POS_x	POS	m	199.900398406375	lToe	x
lToe_POS_y	POS	m	199.900398406375	lToe	y
lToe_POS_z	POS	m	199.900398406375	lToe	z
lHeel_POS_x	POS	m	199.900398406375	lHeel	x
lHeel_POS_y	POS	m	199.900398406375	lHeel	y
lHeel_POS_z	POS	m	199.900398406375	lHeel	z
lAnk_POS_x	POS	m	199.900398406375	lAnk	x
lAnk_POS_y	POS	m	199.900398406375	lAnk	y
lAnk_POS_z	POS	m	199.900398406375	lAnk	z
lSk1_POS_x	POS	m	199.900398406375	lSk1	x
lSk1_POS_y	POS	m	199.900398406375	lSk1	y
lSk1_POS_z	POS	m	199.900398406375	lSk1	z
lSk2_POS_x	POS	m	199.900398406375	lSk2	x
lSk2_POS_y	POS	m	199.900398406375	lSk2	y
lSk2_POS_z	POS	m	199.900398406375	lSk2	z
lSk3_POS_x	POS	m	199.900398406375	lSk3	x
lSk3_POS_y	POS	m	199.900398406375	lSk3	y
lSk3_POS_z	POS	m	199.900398406375	lSk3	z
lSk4_POS_x	POS	m	199.900398406375	lSk4	x
lSk4_POS_y	POS	m	199.900398406375	lSk4	y
lSk4_POS_z	POS	m	199.900398406375	lSk4	z
lTh1_POS_x	POS	m	199.900398406375	lTh1	x
lTh1_POS_y	POS	m	199.900398406375	lTh1	y
lTh1_POS_z	POS	m	199.900398406375	lTh1	z
lTh2_POS_x	POS	m	199.900398406375	lTh2	x
lTh2_POS_y	POS	m	199.900398406375	lTh2	y
lTh2_POS_z	POS	m	199.900398406375	lTh2	z
lTh3_POS_x	POS	m	199.900398406375	lTh3	x
lTh3_POS_y	POS	m	199.900398406375	lTh3	y
lTh3_POS_z	POS	m	199.900398406375	lTh3	z
lTh4_POS_x	POS	m	199.900398406375	lTh4	x
lTh4_POS_y	POS	m	199.900398406375	lTh4	y
lTh4_POS_z	POS	m	199.900398406375	lTh4	z
rToe_POS_x	POS	m	199.900398406375	rToe	x
rToe_POS_y	POS	m	199.900398406375	rToe	y
rToe_POS_z	POS	m	199.900398406375	rToe	z
rHeel_POS_x	POS	m	199.900398406375	rHeel	x
rHeel_POS_y	POS	m	199.900398406375	rHeel	y
rHeel_POS_z	POS	m	199.900398406375	rHeel	z
rAnk_POS_x	POS	m	199.900398406375	rAnk	x
rAnk_POS_y	POS	m	199.900398406375	rAnk	y
rAnk_POS_z	POS	m	199.900398406375	rAnk	z
rSk1_POS_x	POS	m	199.900398406375	rSk1	x
rSk1_POS_y	POS	m	199.900398406375	rSk1	y
rSk1_POS_z	POS	m	199.900398406375	rSk1	z
rSk2_POS_x	POS	m	199.900398406375	rSk2	x
rSk2_POS_y	POS	m	199.900398406375	rSk2	y
rSk2_POS_z	POS	m	199.900398406375	rSk2	z
rSk3_POS_x	POS	m	199.900398406375	rSk3	x
rSk3_POS_y	POS	m	199.900398406375	rSk3	y
rSk3_POS_z	POS	m	199.900398406375	rSk3	z
rSk4_POS_x	POS	m	199.900398406375	rSk4	x
rSk4_POS_y	POS	m	199.900398406375	rSk4	y
rSk4_POS_z	POS	m	199.900398406375	rSk4	z
rTh1_POS_x	POS	m	199.900398406375	rTh1	x
rTh1_POS_y	POS	m	199.900398406375	rTh1	y
rTh1_POS_z	POS	m	199.900398406375	rTh1	z
rTh2_POS_x	POS	m	199.900398406375	rTh2	x
rTh2_POS_y	POS	m	199.900398406375	rTh2	y
rTh2_POS_z	POS	m	199.900398406375	rTh2	z
rTh3_POS_x	POS	m	199.900398406375	rTh3	x
rTh3_POS_y	POS	m	199.900398406375	rTh3	y
rTh3_POS_z	POS	m	199.900398406375	rTh3	z
rTh4_POS_x	POS	m	199.900398406375	rTh4	x
rTh4_POS_y	POS	m	199.900398406375	rTh4	y
rTh4_POS_z	POS	m	199.900398406375	rTh4	z
lAsis_POS_x	POS	m	199.900398406375	lAsis	x
lAsis_POS_y	POS	m	199.900398406375	lAsis	y
lAsis_POS_z	POS	m	199.900398406375	lAsis	z
rAsis_POS_x	POS	m	199.900398406375	rAsis	x
rAsis_POS_y	POS	m	199.900398406375	rAsis	y
rAsis_POS_z	POS	m	199.900398406375	rAsis	z
lPsis_POS_x	POS	m	199.900398406375	lPsis	x
lPsis_POS_y	POS	m	199.900398406375	lPsis	y
lPsis_POS_z	POS	m	199.900398406375	lPsis	z
rPsis_POS_x	POS	m	199.900398406375	rPsis	x
rPsis_POS_y	POS	m	199.900398406375	rPsis	y
rPsis_POS_z	POS	m	199.900398406375	rPsis	z
mSter1_POS_x	POS	m	199.900398406375	mSter1	x
mSter1_POS_y	POS	m	199.900398406375	mSter1	y
mSter1_POS_z	POS	m	199.900398406375	mSter1	z
mSter2_POS_x	POS	m	199.900398406375	mSter2	x
mSter2_POS_y	POS	m	199.900398406375	mSter2	y
mSter2_POS_z	POS	m	199.900398406375	mSter2	z
mSter3_POS_x	POS	m	199.900398406375	mSter3	x
mSter3_POS_y	POS	m	199.900398406375	mSter3	y
mSter3_POS_z	POS	m	199.900398406375	mSter3	z
lSho_POS_x	POS	m	199.900398406375	lSho	x
lSho_POS_y	POS	m	199.900398406375	lSho	y
lSho_POS_z	POS	m	199.900398406375	lSho	z
