name	type	units	sampling_frequency	tracked_point	component	orientation_component
lWru_POS_y	POS	m	199.889012208657	lWru	y	y
lWru_POS_z	POS	m	199.889012208657	lWru	z	z
lHand_POS_x	POS	m	199.889012208657	lHand	x	x
lHand_POS_y	POS	m	199.889012208657	lHand	y	y
lHand_POS_z	POS	m	199.889012208657	lHand	z	z
rSho_POS_x	POS	m	199.889012208657	rSho	x	x
rSho_POS_y	POS	m	199.889012208657	rSho	y	y
rSho_POS_z	POS	m	199.889012208657	rSho	z	z
rUa_POS_x	POS	m	199.889012208657	rUa	x	x
rUa_POS_y	POS	m	199.889012208657	rUa	y	y
rUa_POS_z	POS	m	199.889012208657	rUa	z	z
rElbl_POS_x	POS	m	199.889012208657	rElbl	x	x
rElbl_POS_y	POS	m	199.889012208657	rElbl	y	y
rElbl_POS_z	POS	m	199.889012208657	rElbl	z	z
rFrm_POS_x	POS	m	199.889012208657	rFrm	x	x
rFrm_POS_y	POS	m	199.889012208657	rFrm	y	y
rFrm_POS_z	POS	m	199.889012208657	rFrm	z	z
rWrr_POS_x	POS	m	199.889012208657	rWrr	x	x
rWrr_POS_y	POS	m	199.889012208657	rWrr	y	y
rWrr_POS_z	POS	m	199.889012208657	rWrr	z	z
rWru_POS_x	POS	m	199.889012208657	rWru	x	x
rWru_POS_y	POS	m	199.889012208657	rWru	y	y
rWru_POS_z	POS	m	199.889012208657	rWru	z	z
rHand_POS_x	POS	m	199.889012208657	rHand	x	x
rHand_POS_y	POS	m	199.889012208657	rHand	y	y
rHand_POS_z	POS	m	199.889012208657	rHand	z	z
lfHd_POS_x	POS	m	199.889012208657	lfHd	x	x
lfHd_POS_y	POS	m	199.889012208657	lfHd	y	y
lfHd_POS_z	POS	m	199.889012208657	lfHd	z	z
rfHd_POS_x	POS	m	199.889012208657	rfHd	x	x
rfHd_POS_y	POS	m	199.889012208657	rfHd	y	y
rfHd_POS_z	POS	m	199.889012208657	rfHd	z	z
lbHd_POS_x	POS	m	199.889012208657	lbHd	x	x
lbHd_POS_y	POS	m	199.889012208657	lbHd	y	y
lbHd_POS_z	POS	m	199.889012208657	lbHd	z	z
rbHd_POS_x	POS	m	199.889012208657	rbHd	x	x
rbHd_POS_y	POS	m	199.889012208657	rbHd	y	y
rbHd_POS_z	POS	m	199.889012208657	rbHd	z	z
obst1_POS_x	POS	m	199.889012208657	obst1	x	x
obst1_POS_y	POS	m	199.889012208657	obst1	y	y
obst1_POS_z	POS	m	199.889012208657	obst1	z	z
obst2_POS_x	POS	m	199.889012208657	obst2	x	x
obst2_POS_y	POS	m	199.889012208657	obst2	y	y
obst2_POS_z	POS	m	199.889012208657	obst2	z	z
start1_POS_x	POS	m	199.889012208657	start1	x	x
start1_POS_y	POS	m	199.889012208657	start1	y	y
start1_POS_z	POS	m	199.889012208657	start1	z	z
start2_POS_x	POS	m	199.889012208657	start2	x	x
start2_POS_y	POS	m	199.889012208657	start2	y	y
start2_POS_z	POS	m	199.889012208657	start2	z	z
end1_POS_x	POS	m	199.889012208657	end1	x	x
end1_POS_y	POS	m	199.889012208657	end1	y	y
end1_POS_z	POS	m	199.889012208657	end1	z	z
end2_POS_x	POS	m	199.889012208657	end2	x	x
end2_POS_y	POS	m	199.889012208657	end2	y	y
end2_POS_z	POS	m	199.889012208657	end2	z	z
