name	type	units	sampling_frequency	tracked_point	component
head_ACC_x	ACC	m/s^2	199.890350877193	head	x
head_ACC_y	ACC	m/s^2	199.890350877193	head	y
head_ACC_z	ACC	m/s^2	199.890350877193	head	z
sternum_ACC_x	ACC	m/s^2	199.890350877193	sternum	x
sternum_ACC_y	ACC	m/s^2	199.890350877193	sternum	y
sternum_ACC_z	ACC	m/s^2	199.890350877193	sternum	z
leftUpperArm_ACC_x	ACC	m/s^2	199.890350877193	leftUpperArm	x
leftUpperArm_ACC_y	ACC	m/s^2	199.890350877193	leftUpperArm	y
leftUpperArm_ACC_z	ACC	m/s^2	199.890350877193	leftUpperArm	z
leftForeArm_ACC_x	ACC	m/s^2	199.890350877193	leftForeArm	x
leftForeArm_ACC_y	ACC	m/s^2	199.890350877193	leftForeArm	y
leftForeArm_ACC_z	ACC	m/s^2	199.890350877193	leftForeArm	z
rightUpperArm_ACC_x	ACC	m/s^2	199.890350877193	rightUpperArm	x
rightUpperArm_ACC_y	ACC	m/s^2	199.890350877193	rightUpperArm	y
rightUpperArm_ACC_z	ACC	m/s^2	199.890350877193	rightUpperArm	z
rightForeArm_ACC_x	ACC	m/s^2	199.890350877193	rightForeArm	x
rightForeArm_ACC_y	ACC	m/s^2	199.890350877193	rightForeArm	y
rightForeArm_ACC_z	ACC	m/s^2	199.890350877193	rightForeArm	z
pelvis_ACC_x	ACC	m/s^2	199.890350877193	pelvis	x
pelvis_ACC_y	ACC	m/s^2	199.890350877193	pelvis	y
pelvis_ACC_z	ACC	m/s^2	199.890350877193	pelvis	z
leftThigh_ACC_x	ACC	m/s^2	199.890350877193	leftThigh	x
leftThigh_ACC_y	ACC	m/s^2	199.890350877193	leftThigh	y
leftThigh_ACC_z	ACC	m/s^2	199.890350877193	leftThigh	z
leftShank_ACC_x	ACC	m/s^2	199.890350877193	leftShank	x
leftShank_ACC_y	ACC	m/s^2	199.890350877193	leftShank	y
leftShank_ACC_z	ACC	m/s^2	199.890350877193	leftShank	z
leftFoot_ACC_x	ACC	m/s^2	199.890350877193	leftFoot	x
leftFoot_ACC_y	ACC	m/s^2	199.890350877193	leftFoot	y
leftFoot_ACC_z	ACC	m/s^2	199.890350877193	leftFoot	z
rightThigh_ACC_x	ACC	m/s^2	199.890350877193	rightThigh	x
rightThigh_ACC_y	ACC	m/s^2	199.890350877193	rightThigh	y
rightThigh_ACC_z	ACC	m/s^2	199.890350877193	rightThigh	z
rightShank_ACC_x	ACC	m/s^2	199.890350877193	rightShank	x
