onset	duration	trial_type	trial_description
5.241	1.999	11	tong_cue
9.521	1.999	11	tong_cue
13.761	1.999	11	tong_cue
18.121	1.999	11	tong_cue
22.481	1.999	11	tong_cue
36.761	1.999	11	tong_cue
41.081	1.999	11	tong_cue
45.361	1.999	11	tong_cue
49.681	1.999	11	tong_cue
54.041	1.999	11	tong_cue
68.401	1.999	11	tong_cue
72.801	1.999	11	tong_cue
77.121	1.999	11	tong_cue
81.361	1.999	11	tong_cue
85.721	1.999	11	tong_cue
100.121	1.999	11	tong_cue
104.441	1.999	11	tong_cue
108.841	1.999	11	tong_cue
113.201	1.999	11	tong_cue
117.601	1.999	11	tong_cue
131.961	1.999	11	tong_cue
136.241	1.999	11	tong_cue
140.601	1.999	11	tong_cue
144.961	1.999	11	tong_cue
149.281	1.999	11	tong_cue
163.561	1.999	11	tong_cue
167.841	1.999	11	tong_cue
172.161	1.999	11	tong_cue
176.521	1.999	11	tong_cue
180.841	1.999	11	tong_cue
195.241	1.999	12	hand_cue
199.601	1.999	12	hand_cue
203.841	1.999	12	hand_cue
208.161	1.999	12	hand_cue
212.521	1.999	12	hand_cue
226.921	1.999	12	hand_cue
231.241	1.999	12	hand_cue
235.521	1.999	12	hand_cue
239.841	1.999	12	hand_cue
244.241	1.999	12	hand_cue
258.561	1.999	12	hand_cue
262.881	1.999	12	hand_cue
267.201	1.999	12	hand_cue
271.561	1.999	12	hand_cue
275.921	1.999	12	hand_cue
290.281	1.999	12	hand_cue
298.561	1.999	12	hand_cue
302.801	1.999	12	hand_cue
307.121	1.999	12	hand_cue
311.361	1.999	12	hand_cue
315.681	1.999	12	hand_cue
330.001	1.999	12	hand_cue
334.361	1.999	12	hand_cue
338.641	1.999	12	hand_cue
342.921	1.999	12	hand_cue
347.201	1.999	12	hand_cue
361.601	1.999	12	hand_cue
365.921	1.999	12	hand_cue
370.201	1.999	12	hand_cue
374.561	1.999	12	hand_cue
378.881	1.999	12	hand_cue
393.201	1.999	12	hand_cue
397.481	1.999	12	hand_cue
401.721	1.999	12	hand_cue
406.121	1.999	12	hand_cue
410.481	1.999	12	hand_cue
