onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.120	2.000	classification-probabilistic	1.000	1.000	10.000	R	2.066	0.000
5.900	2.000	classification-deterministic	3.000	2.000	5.000	R	2.324	1.000
13.199	2.000	classification-deterministic	5.000	2.000	13.000	R	1.546	0.000
18.399	2.000	classification-deterministic	7.000	2.000	10.000	L	2.266	1.000
25.619	2.000	classification-probabilistic	9.000	1.000	6.000	R	2.138	0.000
32.480	2.000	classification-probabilistic	11.000	1.000	1.000	L	1.764	0.000
35.721	2.000	classification-probabilistic	13.000	1.000	8.000	R	2.075	1.000
40.924	2.000	classification-deterministic	15.000	2.000	3.000	L	1.583	0.000
44.186	2.000	classification-deterministic	17.000	2.000	12.000	L	2.143	0.000
48.593	2.000	classification-probabilistic	19.000	1.000	14.000	R	1.961	1.000
51.584	2.000	classification-probabilistic	21.000	1.000	1.000	L	1.145	0.000
56.611	2.000	classification-probabilistic	23.000	1.000	8.000	L	1.444	0.000
60.113	2.000	classification-probabilistic	25.000	1.000	5.000	L	1.589	0.000
65.505	2.000	classification-probabilistic	27.000	1.000	10.000	R	1.869	0.000
71.203	2.000	classification-deterministic	29.000	2.000	12.000	R	1.821	1.000
75.977	2.000	classification-deterministic	31.000	2.000	2.000	L	1.264	0.000
80.620	2.000	classification-deterministic	33.000	2.000	5.000	L	1.107	0.000
84.492	2.000	classification-probabilistic	35.000	1.000	10.000	L	1.199	1.000
91.204	2.000	classification-deterministic	37.000	2.000	4.000	R	1.875	0.000
97.204	2.000	classification-deterministic	39.000	2.000	4.000	R	1.016	0.000
101.183	2.000	classification-deterministic	41.000	2.000	12.000	R	1.199	1.000
105.913	2.000	classification-probabilistic	43.000	1.000	14.000	R	1.885	1.000
113.204	2.000	classification-deterministic	45.000	2.000	4.000	R	1.566	0.000
116.495	2.000	classification-probabilistic	47.000	1.000	6.000	R	1.775	0.000
119.701	2.000	classification-probabilistic	49.000	1.000	2.000	L	0.848	0.000
124.476	2.000	classification-probabilistic	51.000	1.000	4.000	L	0.963	1.000
131.820	2.000	classification-deterministic	53.000	2.000	1.000	R	1.967	0.000
139.425	2.000	classification-probabilistic	55.000	1.000	13.000	L	1.556	1.000
142.809	2.000	classification-probabilistic	57.000	1.000	1.000	R	1.324	1.000
146.306	2.000	classification-probabilistic	59.000	1.000	4.000	L	1.065	1.000
150.298	2.000	classification-probabilistic	61.000	1.000	11.000	R	2.210	1.000
156.520	2.000	classification-deterministic	63.000	2.000	11.000	L	1.155	0.000
159.977	2.000	classification-probabilistic	65.000	1.000	1.000	R	1.125	1.000
163.084	2.000	classification-deterministic	67.000	2.000	4.000	R	1.043	0.000
167.384	2.000	classification-deterministic	69.000	2.000	7.000	L	1.639	1.000
170.382	2.000	classification-deterministic	71.000	2.000	7.000	L	2.050	1.000
174.284	2.000	classification-deterministic	73.000	2.000	9.000	L	1.571	0.000
180.394	2.000	classification-probabilistic	75.000	1.000	10.000	L	1.197	1.000
185.592	2.000	classification-probabilistic	77.000	1.000	11.000	L	1.448	0.000
190.481	2.000	classification-deterministic	79.000	2.000	4.000	R	1.059	0.000
194.923	2.000	classification-deterministic	81.000	2.000	3.000	L	1.118	0.000
199.186	2.000	classification-deterministic	83.000	2.000	13.000	R	0.892	0.000
202.185	2.000	classification-deterministic	85.000	2.000	12.000	R	1.511	1.000
208.788	2.000	classification-probabilistic	87.000	1.000	5.000	R	1.361	1.000
213.391	2.000	classification-probabilistic	89.000	1.000	6.000	L	1.932	1.000
219.901	2.000	classification-deterministic	91.000	2.000	5.000	R	1.618	1.000
223.186	2.000	classification-deterministic	93.000	2.000	11.000	L	1.974	0.000
226.724	2.000	classification-deterministic	95.000	2.000	8.000	L	0.966	0.000
229.899	2.000	classification-deterministic	97.000	2.000	8.000	L	0.834	0.000
235.785	2.000	classification-probabilistic	99.000	1.000	6.000	R	1.081	0.000
240.817	2.000	classification-probabilistic	101.000	1.000	11.000	R	1.401	1.000
244.106	2.000	classification-deterministic	103.000	2.000	5.000	L	1.996	0.000
247.975	2.000	classification-probabilistic	105.000	1.000	2.000	L	0.989	0.000
252.481	2.000	classification-probabilistic	107.000	1.000	13.000	L	2.156	1.000
258.008	2.000	classification-probabilistic	109.000	1.000	6.000	R	0.931	0.000
261.582	2.000	classification-probabilistic	111.000	1.000	3.000	L	2.168	1.000
265.724	2.000	classification-deterministic	113.000	2.000	5.000	R	1.488	1.000
