onset	duration	trial_type	response_time	sample	value
31.0146484375	0.0000000000	STATUS	n/a	15879	face-upright-f4
31.0820312500	0.0000000000	STATUS	n/a	15914	face-upright-f5
31.1484375000	0.0000000000	STATUS	n/a	15948	face-upright-f6
31.6142578125	0.0000000000	STATUS	n/a	16186	house-upright-f1
31.6806640625	0.0000000000	STATUS	n/a	16220	house-upright-f2
31.7470703125	0.0000000000	STATUS	n/a	16254	house-upright-f3
31.8144531250	0.0000000000	STATUS	n/a	16289	house-upright-f4
31.8808593750	0.0000000000	STATUS	n/a	16323	house-upright-f5
31.9472656250	0.0000000000	STATUS	n/a	16357	house-upright-f6
32.4638671875	0.0000000000	STATUS	n/a	16621	face-inverted-f1
32.5468750000	0.0000000000	STATUS	n/a	16664	face-inverted-f2
32.6132812500	0.0000000000	STATUS	n/a	16698	face-inverted-f3
32.6962890625	0.0000000000	STATUS	n/a	16740	face-inverted-f4
32.7792968750	0.0000000000	STATUS	n/a	16783	face-inverted-f5
32.8466796875	0.0000000000	STATUS	n/a	16817	face-inverted-f6
33.3955078125	0.0000000000	STATUS	n/a	17098	face-upright-f1
33.4619140625	0.0000000000	STATUS	n/a	17132	face-upright-f2
33.5292968750	0.0000000000	STATUS	n/a	17167	face-upright-f3
33.5957031250	0.0000000000	STATUS	n/a	17201	face-upright-f4
33.6621093750	0.0000000000	STATUS	n/a	17235	face-upright-f5
33.7285156250	0.0000000000	STATUS	n/a	17269	face-upright-f6
34.1953125000	0.0000000000	STATUS	n/a	17508	house-upright-f1
34.2617187500	0.0000000000	STATUS	n/a	17542	house-upright-f2
34.3281250000	0.0000000000	STATUS	n/a	17576	house-upright-f3
34.3945312500	0.0000000000	STATUS	n/a	17610	house-upright-f4
34.4609375000	0.0000000000	STATUS	n/a	17644	house-upright-f5
34.5283203125	0.0000000000	STATUS	n/a	17678	house-upright-f6
34.9941406250	0.0000000000	STATUS	n/a	17917	checker-f1
35.0771484375	0.0000000000	STATUS	n/a	17959	checker-f2
35.1601562500	0.0000000000	STATUS	n/a	18002	checker-f3
35.2441406250	0.0000000000	STATUS	n/a	18045	checker-f4
35.3271484375	0.0000000000	STATUS	n/a	18087	checker-f5
35.4101562500	0.0000000000	STATUS	n/a	18130	checker-f6
35.9931640625	0.0000000000	STATUS	n/a	18428	house-inverted-f1
36.0761718750	0.0000000000	STATUS	n/a	18471	house-inverted-f2
36.1591796875	0.0000000000	STATUS	n/a	18513	house-inverted-f3
36.2421875000	0.0000000000	STATUS	n/a	18556	house-inverted-f4
36.3261718750	0.0000000000	STATUS	n/a	18599	house-inverted-f5
36.4091796875	0.0000000000	STATUS	n/a	18641	house-inverted-f6
36.9921875000	0.0000000000	STATUS	n/a	18940	face-inverted-f1
37.0751953125	0.0000000000	STATUS	n/a	18982	face-inverted-f2
37.1582031250	0.0000000000	STATUS	n/a	19025	face-inverted-f3
37.2412109375	0.0000000000	STATUS	n/a	19067	face-inverted-f4
37.3251953125	0.0000000000	STATUS	n/a	19110	face-inverted-f5
37.4082031250	0.0000000000	STATUS	n/a	19153	face-inverted-f6
37.9912109375	0.0000000000	STATUS	n/a	19451	face-upright-f1
38.0410156250	0.0000000000	STATUS	n/a	19477	face-upright-f2
38.0908203125	0.0000000000	STATUS	n/a	19502	face-upright-f3
38.1406250000	0.0000000000	STATUS	n/a	19528	face-upright-f4
38.1904296875	0.0000000000	STATUS	n/a	19553	face-upright-f5
38.2402343750	0.0000000000	STATUS	n/a	19579	face-upright-f6
38.6064453125	0.0000000000	STATUS	n/a	19766	checker-f1
38.6904296875	0.0000000000	STATUS	n/a	19809	checker-f2
38.7734375000	0.0000000000	STATUS	n/a	19852	checker-f3
38.8564453125	0.0000000000	STATUS	n/a	19894	checker-f4
38.9394531250	0.0000000000	STATUS	n/a	19937	checker-f5
39.0224609375	0.0000000000	STATUS	n/a	19979	checker-f6
39.6054687500	0.0000000000	STATUS	n/a	20278	house-upright-f1
39.6718750000	0.0000000000	STATUS	n/a	20312	house-upright-f2
39.7392578125	0.0000000000	STATUS	n/a	20346	house-upright-f3
39.8056640625	0.0000000000	STATUS	n/a	20380	house-upright-f4
39.8720703125	0.0000000000	STATUS	n/a	20414	house-upright-f5
39.9384765625	0.0000000000	STATUS	n/a	20448	house-upright-f6
40.4550781250	0.0000000000	STATUS	n/a	20713	house-inverted-f1
40.5214843750	0.0000000000	STATUS	n/a	20747	house-inverted-f2
40.5878906250	0.0000000000	STATUS	n/a	20781	house-inverted-f3
40.6542968750	0.0000000000	STATUS	n/a	20815	house-inverted-f4
40.7207031250	0.0000000000	STATUS	n/a	20849	house-inverted-f5
40.7880859375	0.0000000000	STATUS	n/a	20883	house-inverted-f6
41.2539062500	0.0000000000	STATUS	n/a	21122	house-upright-f1
41.3369140625	0.0000000000	STATUS	n/a	21164	house-upright-f2
41.4199218750	0.0000000000	STATUS	n/a	21207	house-upright-f3
41.5039062500	0.0000000000	STATUS	n/a	21250	house-upright-f4
41.5869140625	0.0000000000	STATUS	n/a	21292	house-upright-f5
41.6699218750	0.0000000000	STATUS	n/a	21335	house-upright-f6
42.2695312500	0.0000000000	STATUS	n/a	21642	house-inverted-f1
42.3359375000	0.0000000000	STATUS	n/a	21676	house-inverted-f2
42.4023437500	0.0000000000	STATUS	n/a	21710	house-inverted-f3
42.4687500000	0.0000000000	STATUS	n/a	21744	house-inverted-f4
42.5361328125	0.0000000000	STATUS	n/a	21778	house-inverted-f5
42.6025390625	0.0000000000	STATUS	n/a	21812	house-inverted-f6
43.1015625000	0.0000000000	STATUS	n/a	22068	face-inverted-f1
43.1679687500	0.0000000000	STATUS	n/a	22102	face-inverted-f2
43.2353515625	0.0000000000	STATUS	n/a	22136	face-inverted-f3
43.3017578125	0.0000000000	STATUS	n/a	22170	face-inverted-f4
43.3681640625	0.0000000000	STATUS	n/a	22204	face-inverted-f5
43.4345703125	0.0000000000	STATUS	n/a	22238	face-inverted-f6
43.9013671875	0.0000000000	STATUS	n/a	22477	face-upright-f1
43.9677734375	0.0000000000	STATUS	n/a	22511	face-upright-f2
44.0341796875	0.0000000000	STATUS	n/a	22545	face-upright-f3
44.1005859375	0.0000000000	STATUS	n/a	22579	face-upright-f4
44.1669921875	0.0000000000	STATUS	n/a	22613	face-upright-f5
44.2343750000	0.0000000000	STATUS	n/a	22648	face-upright-f6
44.7001953125	0.0000000000	STATUS	n/a	22886	checker-f1
44.7666015625	0.0000000000	STATUS	n/a	22920	checker-f2
44.8330078125	0.0000000000	STATUS	n/a	22954	checker-f3
44.8994140625	0.0000000000	STATUS	n/a	22988	checker-f4
44.9667968750	0.0000000000	STATUS	n/a	23023	checker-f5
45.0332031250	0.0000000000	STATUS	n/a	23057	checker-f6
45.5322265625	0.0000000000	STATUS	n/a	23312	face-upright-f1
45.5986328125	0.0000000000	STATUS	n/a	23346	face-upright-f2
45.6660156250	0.0000000000	STATUS	n/a	23381	face-upright-f3
45.7324218750	0.0000000000	STATUS	n/a	23415	face-upright-f4
45.7988281250	0.0000000000	STATUS	n/a	23449	face-upright-f5
45.8652343750	0.0000000000	STATUS	n/a	23483	face-upright-f6
46.3320312500	0.0000000000	STATUS	n/a	23722	checker-f1
46.4150390625	0.0000000000	STATUS	n/a	23764	checker-f2
46.4980468750	0.0000000000	STATUS	n/a	23807	checker-f3
46.5810546875	0.0000000000	STATUS	n/a	23849	checker-f4
46.6650390625	0.0000000000	STATUS	n/a	23892	checker-f5
46.7480468750	0.0000000000	STATUS	n/a	23935	checker-f6
47.3808593750	0.0000000000	STATUS	n/a	24259	face-inverted-f1
47.4638671875	0.0000000000	STATUS	n/a	24301	face-inverted-f2
47.5302734375	0.0000000000	STATUS	n/a	24335	face-inverted-f3
47.6132812500	0.0000000000	STATUS	n/a	24378	face-inverted-f4
47.6796875000	0.0000000000	STATUS	n/a	24412	face-inverted-f5
47.7636718750	0.0000000000	STATUS	n/a	24455	face-inverted-f6
48.3457031250	0.0000000000	STATUS	n/a	24753	house-upright-f1
48.4296875000	0.0000000000	STATUS	n/a	24796	house-upright-f2
48.5126953125	0.0000000000	STATUS	n/a	24838	house-upright-f3
48.5957031250	0.0000000000	STATUS	n/a	24881	house-upright-f4
48.6787109375	0.0000000000	STATUS	n/a	24923	house-upright-f5
48.7626953125	0.0000000000	STATUS	n/a	24966	house-upright-f6
49.3447265625	0.0000000000	STATUS	n/a	25264	house-inverted-f1
49.4111328125	0.0000000000	STATUS	n/a	25298	house-inverted-f2
49.4785156250	0.0000000000	STATUS	n/a	25333	house-inverted-f3
49.5449218750	0.0000000000	STATUS	n/a	25367	house-inverted-f4
49.6113281250	0.0000000000	STATUS	n/a	25401	house-inverted-f5
49.6777343750	0.0000000000	STATUS	n/a	25435	house-inverted-f6
50.1445312500	0.0000000000	STATUS	n/a	25674	checker-f1
50.2275390625	0.0000000000	STATUS	n/a	25716	checker-f2
50.3105468750	0.0000000000	STATUS	n/a	25759	checker-f3
50.3935546875	0.0000000000	STATUS	n/a	25801	checker-f4
50.4775390625	0.0000000000	STATUS	n/a	25844	checker-f5
50.5605468750	0.0000000000	STATUS	n/a	25887	checker-f6
51.1425781250	0.0000000000	STATUS	n/a	26185	face-inverted-f1
51.2099609375	0.0000000000	STATUS	n/a	26219	face-inverted-f2
51.2763671875	0.0000000000	STATUS	n/a	26253	face-inverted-f3
51.3427734375	0.0000000000	STATUS	n/a	26287	face-inverted-f4
51.4091796875	0.0000000000	STATUS	n/a	26321	face-inverted-f5
51.4755859375	0.0000000000	STATUS	n/a	26355	face-inverted-f6
51.9423828125	0.0000000000	STATUS	n/a	26594	house-inverted-f1
52.0087890625	0.0000000000	STATUS	n/a	26628	house-inverted-f2
52.0751953125	0.0000000000	STATUS	n/a	26662	house-inverted-f3
52.1416015625	0.0000000000	STATUS	n/a	26696	house-inverted-f4
52.2089843750	0.0000000000	STATUS	n/a	26731	house-inverted-f5
52.2753906250	0.0000000000	STATUS	n/a	26765	house-inverted-f6
52.7578125000	0.0000000000	STATUS	n/a	27012	face-upright-f1
52.8408203125	0.0000000000	STATUS	n/a	27054	face-upright-f2
52.9248046875	0.0000000000	STATUS	n/a	27097	face-upright-f3
53.0078125000	0.0000000000	STATUS	n/a	27140	face-upright-f4
