name	x	y	z
A1	-0.005005	0.000684	0.120470
A2	-0.026495	0.000753	0.116430
A3	-0.028968	0.026032	0.110200
A4	-0.049416	0.017532	0.101420
A5	-0.064237	0.024447	0.084753
A6	-0.076089	0.024058	0.067879
A7	-0.082200	0.023958	0.048742
A8	-0.083279	0.021821	0.029479
A9	-0.080247	0.021284	0.010511
A10	-0.077363	0.018879	-0.007347
A11	-0.081574	-0.000400	-0.005453
A12	-0.084058	0.000153	0.011289
A13	-0.087337	0.000063	0.030005
A14	-0.087205	0.000258	0.047021
A15	-0.082616	0.000363	0.064374
A16	-0.073474	0.000516	0.080500
A17	-0.060221	0.000358	0.095589
A18	-0.044963	0.000663	0.107740
A19	-0.027437	-0.025121	0.111930
A20	-0.050311	-0.016642	0.101640
A21	-0.064947	-0.023258	0.085653
A22	-0.076816	-0.023168	0.068605
A23	-0.082700	-0.022847	0.050200
A24	-0.083447	-0.022411	0.028742
A25	-0.081216	-0.020195	0.010100
A26	-0.078279	-0.020274	-0.007458
A27	-0.064895	-0.038342	-0.009379
A28	-0.069511	-0.039784	0.008379
A29	-0.070911	-0.042142	0.028811
A30	-0.069674	-0.042042	0.048821
A31	-0.063579	-0.042368	0.067089
A32	-0.051779	-0.043389	0.084226
B1	-0.050474	-0.053200	0.062232
B2	-0.053695	-0.055426	0.041968
B3	-0.052505	-0.056789	0.021868
B4	-0.048853	-0.054263	0.004400
B5	-0.045274	-0.051379	-0.013963
B6	-0.026211	-0.065216	0.020884
B7	-0.025979	-0.064053	0.042011
B8	-0.029421	-0.061268	0.061095
B9	-0.032558	-0.055837	0.078947
B10	-0.035168	-0.045284	0.095274
B11	-0.014026	-0.046789	0.101360
B12	-0.007142	-0.058242	0.085832
B13	-0.003463	-0.064195	0.068279
B14	-0.000089	-0.066863	0.049863
B15	0.005832	-0.066879	0.031937
B16	0.010347	-0.063532	0.013795
B17	0.012358	-0.061247	-0.003232
B18	0.038921	-0.059905	0.009926
B19	0.036647	-0.062047	0.028353
B20	0.032005	-0.063495	0.047147
B21	0.028468	-0.061884	0.065932
B22	0.022642	-0.055979	0.084074
B23	0.007290	-0.045195	0.102550
B24	0.029479	-0.042837	0.098268
B25	0.048400	-0.054037	0.072147
B26	0.058579	-0.055779	0.054221
B27	0.062979	-0.055274	0.036016
B28	0.064426	-0.053532	0.017832
B29	0.086237	-0.042495	0.043689
B30	0.079932	-0.041795	0.061589
B31	0.066205	-0.042858	0.076895
B32	0.050500	-0.041889	0.089753
C1	0.088516	-0.041005	0.026542
C2	0.102980	-0.022263	0.031558
C3	0.101310	-0.023679	0.050453
C4	0.092426	-0.023505	0.070316
C5	0.077321	-0.024068	0.085989
C6	0.059763	-0.022674	0.098579
C7	0.038284	-0.023579	0.108070
C8	0.015721	-0.024958	0.114380
C9	-0.006337	-0.025558	0.116150
C10	0.016174	-0.000632	0.119710
C11	0.036342	-0.000674	0.114190
C12	0.056126	0.000289	0.105930
C13	0.074268	0.000226	0.095479
C14	0.089042	0.000489	0.083421
C15	0.100610	0.000526	0.068442
C16	0.107250	0.001047	0.050200
C17	0.106820	0.000995	0.032221
C18	0.102490	0.022516	0.032837
C19	0.100570	0.023126	0.052663
C20	0.091684	0.023053	0.071363
C21	0.076895	0.022563	0.087105
C22	0.058579	0.022653	0.099605
C23	0.038263	0.022474	0.108540
C24	0.015968	0.024253	0.114220
C25	-0.007658	0.024784	0.115850
C26	0.007705	0.045111	0.101840
C27	0.030321	0.042911	0.097821
C28	0.050153	0.042116	0.089600
C29	0.066742	0.041621	0.078089
C30	0.079800	0.041932	0.062442
C31	0.087211	0.042121	0.044584
C32	0.088884	0.042095	0.027595
D1	0.065174	0.053426	0.019889
D2	0.062747	0.055321	0.037605
D3	0.058963	0.054489	0.055742
D4	0.049000	0.053242	0.073321
D5	0.023411	0.055663	0.084158
D6	0.028705	0.061558	0.066226
D7	0.032963	0.063063	0.046826
D8	0.036416	0.062005	0.028205
D9	0.038832	0.060174	0.010495
D10	0.012300	0.061437	-0.005274
D11	0.010353	0.064416	0.013316
D12	0.005568	0.066811	0.032042
D13	-0.000237	0.066626	0.050426
D14	-0.002963	0.063700	0.068584
D15	-0.006174	0.057626	0.085726
D16	-0.013926	0.046411	0.100480
D17	-0.035263	0.046047	0.093179
D18	-0.032068	0.056442	0.077426
D19	-0.029042	0.061805	0.059384
D20	-0.026542	0.064163	0.041121
D21	-0.026100	0.064116	0.022211
D22	-0.044953	0.051247	-0.013000
D23	-0.048916	0.054268	0.004426
D24	-0.051495	0.055879	0.023379
D25	-0.053011	0.054416	0.041837
D26	-0.049495	0.053168	0.061979
D27	-0.051532	0.044026	0.081732
D28	-0.063337	0.042368	0.065716
D29	-0.069084	0.041374	0.047074
D30	-0.070432	0.040295	0.027689
D31	-0.069311	0.038247	0.008695
D32	-0.065042	0.035721	-0.008463
