onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
4.001	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.58794	UT	UT	UT	UT
8.001	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.58794	UT	UT	UT	UT
10.041	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.53217	UT	UT	UT	UT
14.041	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.53217	UT	UT	UT	UT
16.080	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.56482	LC-MISS	0.75754	UT	UT
20.080	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.56482	LC-MISS	0.75754	UT	UT
26.121	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.58289	LC-MISS	0.49849	UT	UT
32.121	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.58289	LC-MISS	0.49849	UT	UT
34.166	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.71284	HC-HIT	 1.1084	1	1.4298
36.166	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.71284	HC-HIT	 1.1084	1	1.4298
38.204	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	0	0.53719	LC-MISS	0.34189	UT	UT
42.204	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	0	0.53719	LC-MISS	0.34189	UT	UT
46.243	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.39643	UT	UT	UT	UT
50.243	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.39643	UT	UT	UT	UT
52.285	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.55416	HC-HIT	 1.4894	1	0.20745
54.285	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.55416	HC-HIT	 1.4894	1	0.20745
56.322	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.52946	HC-HIT	 1.1478	1	0.23905
62.322	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.52946	HC-HIT	 1.1478	1	0.23905
64.364	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.55482	LC-MISS	 1.0022	UT	UT
66.364	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.55482	LC-MISS	 1.0022	UT	UT
72.402	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.54335	LC-MISS	0.80173	UT	UT
76.402	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.54335	LC-MISS	0.80173	UT	UT
78.446	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.58235	LC-HIT	 1.4017	0	0.15704
84.446	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.58235	LC-HIT	 1.4017	0	0.15704
86.487	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	0	      0	UT	UT	UT	UT
92.487	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	0	      0	UT	UT	UT	UT
94.529	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.62098	LC-MISS	0.90452	UT	UT
98.529	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.62098	LC-MISS	0.90452	UT	UT
100.569	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.62006	LC-MISS	0.91048	UT	UT
104.569	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.62006	LC-MISS	0.91048	UT	UT
106.609	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	0.68685	LC-MISS	0.95289	UT	UT
108.609	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	0.68685	LC-MISS	0.95289	UT	UT
112.647	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.78294	LC-MISS	 1.1846	UT	UT
114.647	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.78294	LC-MISS	 1.1846	UT	UT
116.686	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.68981	UT	UT	UT	UT
118.686	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.68981	UT	UT	UT	UT
120.723	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.55384	LC-MISS	0.65158	UT	UT
124.723	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.55384	LC-MISS	0.65158	UT	UT
126.763	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.53762	UT	UT	UT	UT
132.763	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.53762	UT	UT	UT	UT
136.805	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	 1.1857	HC-HIT	 1.1515	1	0.7295
138.805	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	 1.1857	HC-HIT	 1.1515	1	0.7295
140.844	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.51875	HC-HIT	 1.1624	0	0.055751
146.844	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.51875	HC-HIT	 1.1624	0	0.055751
150.886	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.62273	LC-MISS	0.62696	UT	UT
152.886	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.62273	LC-MISS	0.62696	UT	UT
154.926	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.56605	UT	UT	UT	UT
160.926	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.56605	UT	UT	UT	UT
