name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	status
iEEG43	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG44	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG45	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG46	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG47	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG48	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG49	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG50	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG51	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG52	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG53	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG54	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG55	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG56	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG57	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG58	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG59	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG60	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG61	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG62	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG63	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG64	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG65	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG66	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG67	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG68	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG69	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG70	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG71	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG72	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG73	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG74	ECoG	uV	300	0.5	iEEG1	1525.9	bad
