name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	status
iEEG1	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG2	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG3	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG4	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG5	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG6	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG7	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG8	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG9	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG10	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG11	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG12	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG13	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG14	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG15	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG16	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG17	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG18	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG19	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG20	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG21	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG22	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG23	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG24	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG25	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG26	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG27	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG28	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG29	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG30	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG31	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG32	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG33	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG34	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG35	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG36	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG37	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG38	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG39	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG40	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG41	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG42	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG43	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG44	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG45	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG46	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG47	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG48	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG49	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG50	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG51	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG52	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG53	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG54	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG55	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG56	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG57	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG58	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG59	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG60	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG61	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG62	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG63	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG64	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG65	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG66	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG67	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG68	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG69	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG70	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG71	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG72	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG73	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG74	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG75	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG76	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG77	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG78	ECOG	µV	300	0.5	iEEG1	1525.9	bad
iEEG79	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG80	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG81	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG82	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG83	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG84	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG85	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG86	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG87	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG88	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG89	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG90	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG91	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG92	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG93	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG94	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG95	ECOG	µV	300	0.5	iEEG1	1525.9	good
iEEG96	ECOG	µV	300	0.5	iEEG1	1525.9	good
