onset	duration	trial_type	stim_file
13.46918	0.5	5	stim_129.png
14.09243	0.5	8	stim_211.png
14.59525	0.5	2	stim_36.png
15.10107	0.5	8	stim_211.png
15.60393	0.5	7	stim_181.png
16.10983	0.5	8	stim_211.png
16.61265	0.5	5	stim_145.png
17.11843	0.5	8	stim_211.png
17.62133	0.5	2	stim_53.png
18.12727	0.5	8	stim_211.png
18.63005	0.5	4	stim_104.png
19.13591	0.5	8	stim_211.png
19.63877	0.5	2	stim_32.png
20.14463	0.5	8	stim_211.png
20.64745	0.5	1	stim_5.png
21.15335	0.5	8	stim_211.png
21.65617	0.5	2	stim_37.png
22.16207	0.5	8	stim_211.png
22.66485	0.5	1	stim_23.png
23.17079	0.5	8	stim_211.png
23.67357	0.5	3	stim_64.png
24.17951	0.5	8	stim_211.png
24.68229	0.5	4	stim_93.png
25.18811	0.5	8	stim_211.png
25.69097	0.5	6	stim_163.png
26.19687	0.5	8	stim_211.png
26.69969	0.5	3	stim_82.png
27.20559	0.5	8	stim_211.png
27.70837	0.5	3	stim_77.png
28.21423	0.5	8	stim_211.png
28.71709	0.5	4	stim_112.png
29.22303	0.5	8	stim_211.png
29.72581	0.5	5	stim_121.png
30.23163	0.5	8	stim_211.png
30.73449	0.5	6	stim_165.png
31.24035	0.5	8	stim_211.png
31.74321	0.5	6	stim_161.png
32.24907	0.5	8	stim_211.png
32.75189	0.5	4	stim_114.png
33.25779	0.5	8	stim_211.png
33.76061	0.5	7	stim_195.png
34.26647	0.5	8	stim_211.png
34.76933	0.5	2	stim_47.png
35.27523	0.5	8	stim_211.png
35.77802	0.5	7	stim_208.png
36.28395	0.5	8	stim_211.png
36.78674	0.5	5	stim_123.png
37.29259	0.5	8	stim_211.png
37.79541	0.5	1	stim_8.png
38.30135	0.5	8	stim_211.png
38.80413	0.5	6	stim_155.png
39.31003	0.5	8	stim_211.png
39.81281	0.5	3	stim_81.png
40.31875	0.5	8	stim_211.png
40.82149	0.5	5	stim_146.png
41.32739	0.5	8	stim_211.png
41.83021	0.5	5	stim_131.png
42.33611	0.5	8	stim_211.png
42.83893	0.5	2	stim_50.png
43.34475	0.5	8	stim_211.png
43.84761	0.5	3	stim_65.png
44.35351	0.5	8	stim_211.png
44.85633	0.5	5	stim_136.png
45.36219	0.5	8	stim_211.png
45.86506	0.5	7	stim_189.png
46.37091	0.5	8	stim_211.png
46.87378	0.5	1	stim_27.png
47.37967	0.5	8	stim_211.png
47.88245	0.5	6	stim_177.png
48.38835	0.5	8	stim_211.png
48.89113	0.5	1	stim_21.png
49.39703	0.5	8	stim_211.png
49.89985	0.5	5	stim_137.png
50.40559	0.5	8	stim_211.png
50.90853	0.5	1	stim_30.png
51.41443	0.5	8	stim_211.png
51.91729	0.5	6	stim_171.png
52.42319	0.5	8	stim_211.png
52.92597	0.5	6	stim_151.png
53.43183	0.5	8	stim_211.png
53.93465	0.5	6	stim_169.png
