onset	duration	run_number	trial_number	image_blank_size	image_blank_num
1408.109079	32.0180885	2	10	2	11
1440.280565	31.9952405	2	11	2	30
1472.441607	31.996178	2	12	2	57
1504.570701	31.996153	2	13	2	51
1536.742574	31.9990014	2	14	1	66
1568.895319	31.9957	2	15	1	37
1601.040615	31.9969542	2	16	2	47
1633.178104	31.9984042	2	17	2	83
1665.306875	29.9962589	2	18	1	75
