onset	duration	value	HED
12.764648	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
12.832031	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
12.898438	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
12.964844	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
13.03125	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
13.097656	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
13.564453	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
13.630859	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
13.697266	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
13.763672	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
13.830078	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
13.897461	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
14.363281	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
14.446289	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
14.529297	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
14.613281	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
14.696289	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
14.779297	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
15.362305	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
15.428711	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
15.495117	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
15.561523	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
15.628906	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
15.695313	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
16.161133	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
16.244141	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
16.328125	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
16.411133	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
16.494141	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
16.577148	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
17.193359	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
17.276367	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
17.360352	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
17.443359	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
17.526367	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
17.609375	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
18.225586	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
18.291992	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
18.358398	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
18.425781	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
18.492188	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
18.558594	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
19.024414	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.091797	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.158203	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.224609	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.291016	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.357422	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
19.824219	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
19.890625	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
19.957031	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
20.023438	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
20.089844	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
20.157227	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
20.623047	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
20.672852	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
20.722656	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
20.772461	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
20.823242	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
20.873047	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
21.272461	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
21.355469	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
21.438477	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
21.522461	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
21.605469	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
