name	type	units
A1	eeg	microV
A2	eeg	microV
A3	eeg	microV
A4	eeg	microV
A5	eeg	microV
A6	eeg	microV
A7	eeg	microV
A8	eeg	microV
A9	eeg	microV
A10	eeg	microV
A11	eeg	microV
A12	eeg	microV
A13	eeg	microV
A14	eeg	microV
A15	eeg	microV
A16	eeg	microV
A17	eeg	microV
A18	eeg	microV
A19	eeg	microV
A20	eeg	microV
A21	eeg	microV
A22	eeg	microV
A23	eeg	microV
A24	eeg	microV
A25	eeg	microV
A26	eeg	microV
A27	eeg	microV
A28	eeg	microV
A29	eeg	microV
A30	eeg	microV
A31	eeg	microV
A32	eeg	microV
B1	eeg	microV
B2	eeg	microV
B3	eeg	microV
B4	eeg	microV
B5	eeg	microV
B6	eeg	microV
B7	eeg	microV
B8	eeg	microV
B9	eeg	microV
B10	eeg	microV
B11	eeg	microV
B12	eeg	microV
B13	eeg	microV
B14	eeg	microV
B15	eeg	microV
B16	eeg	microV
B17	eeg	microV
B18	eeg	microV
B19	eeg	microV
B20	eeg	microV
B21	eeg	microV
B22	eeg	microV
B23	eeg	microV
B24	eeg	microV
B25	eeg	microV
B26	eeg	microV
B27	eeg	microV
B28	eeg	microV
B29	eeg	microV
B30	eeg	microV
B31	eeg	microV
B32	eeg	microV
C1	eeg	microV
C2	eeg	microV
C3	eeg	microV
C4	eeg	microV
C5	eeg	microV
C6	eeg	microV
C7	eeg	microV
C8	eeg	microV
C9	eeg	microV
C10	eeg	microV
C11	eeg	microV
C12	eeg	microV
C13	eeg	microV
C14	eeg	microV
C15	eeg	microV
C16	eeg	microV
C17	eeg	microV
C18	eeg	microV
C19	eeg	microV
C20	eeg	microV
C21	eeg	microV
C22	eeg	microV
C23	eeg	microV
C24	eeg	microV
C25	eeg	microV
C26	eeg	microV
C27	eeg	microV
C28	eeg	microV
C29	eeg	microV
C30	eeg	microV
C31	eeg	microV
C32	eeg	microV
D1	eeg	microV
D2	eeg	microV
D3	eeg	microV
D4	eeg	microV
D5	eeg	microV
D6	eeg	microV
D7	eeg	microV
D8	eeg	microV
D9	eeg	microV
D10	eeg	microV
D11	eeg	microV
D12	eeg	microV
D13	eeg	microV
D14	eeg	microV
D15	eeg	microV
D16	eeg	microV
D17	eeg	microV
D18	eeg	microV
D19	eeg	microV
D20	eeg	microV
D21	eeg	microV
D22	eeg	microV
D23	eeg	microV
D24	eeg	microV
D25	eeg	microV
D26	eeg	microV
D27	eeg	microV
D28	eeg	microV
D29	eeg	microV
D30	eeg	microV
D31	eeg	microV
D32	eeg	microV
