onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.941	.492	FAMOUS	5	4	.832	func/f054.bmp
7.257	.857	.546	FAMOUS	6	4	.674	func/f054.bmp
10.581	.972	.568	UNFAMILIAR	13	4	.737	func/u063.bmp
13.805	.933	.473	UNFAMILIAR	14	4	.641	func/u063.bmp
17.012	.864	.498	SCRAMBLED	17	7	.825	func/s058.bmp
20.069	.921	.426	SCRAMBLED	17	4	1.178	func/s059.bmp
23.209	.995	.438	UNFAMILIAR	13	4	.770	func/u056.bmp
26.450	.868	.469	UNFAMILIAR	14	4	.628	func/u056.bmp
29.490	.842	.409	FAMOUS	5	4	.713	func/f055.bmp
32.079	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
52.541	.868	.405	SCRAMBLED	17	4	1.120	func/s051.bmp
55.731	.817	.559	SCRAMBLED	18	4	.852	func/s051.bmp
58.888	.940	.578	SCRAMBLED	17	4	.877	func/s050.bmp
62.162	.964	.563	SCRAMBLED	18	4	.749	func/s050.bmp
65.419	.905	.531	SCRAMBLED	19	4	.726	func/s058.bmp
68.676	.932	.570	SCRAMBLED	17	4	.694	func/s064.bmp
71.783	.987	.404	SCRAMBLED	18	4	.695	func/s064.bmp
75.041	.885	.486	SCRAMBLED	19	4	.722	func/s059.bmp
78.231	.945	.541	FAMOUS	5	7	.912	func/f057.bmp
81.572	.850	.587	UNFAMILIAR	13	4	.691	func/u062.bmp
84.762	.977	.580	FAMOUS	7	4	.857	func/f055.bmp
87.919	.897	.406	FAMOUS	5	4	.767	func/f062.bmp
91.076	.898	.494	FAMOUS	6	4	.707	func/f062.bmp
94.317	.868	.581	FAMOUS	5	7	.984	func/f063.bmp
97.540	.816	.591	SCRAMBLED	17	4	.852	func/s055.bmp
100.714	.958	.588	SCRAMBLED	18	4	.744	func/s055.bmp
103.904	.857	.466	FAMOUS	5	4	1.098	func/f061.bmp
107.061	.828	.520	FAMOUS	7	7	.826	func/f057.bmp
110.235	.983	.582	UNFAMILIAR	13	4	.764	func/u050.bmp
113.426	.974	.444	UNFAMILIAR	15	4	.790	func/u062.bmp
116.148	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
136.761	.988	.583	FAMOUS	5	4	.814	func/f056.bmp
140.085	.989	.562	FAMOUS	6	4	.788	func/f056.bmp
143.375	.965	.529	UNFAMILIAR	13	4	.759	func/u055.bmp
146.599	.949	.485	FAMOUS	7	7	1.062	func/f063.bmp
149.723	.949	.416	SCRAMBLED	17	4	1.229	func/s060.bmp
152.880	.878	.419	UNFAMILIAR	13	4	.825	func/u057.bmp
155.953	.996	.421	UNFAMILIAR	14	4	.778	func/u057.bmp
159.294	.834	.572	FAMOUS	7	4	.964	func/f061.bmp
162.317	.866	.410	UNFAMILIAR	13	4	.630	func/u054.bmp
165.491	.909	.538	UNFAMILIAR	15	4	.785	func/u050.bmp
168.681	.918	.504	SCRAMBLED	17	4	.913	func/s054.bmp
171.888	.832	.522	FAMOUS	5	4	1.097	func/f058.bmp
174.962	.921	.470	FAMOUS	6	4	.740	func/f058.bmp
178.070	.921	.418	UNFAMILIAR	15	4	.693	func/u055.bmp
181.259	.886	.476	SCRAMBLED	17	4	1.051	func/s057.bmp
184.500	.876	.592	SCRAMBLED	18	4	.902	func/s057.bmp
187.607	.864	.466	SCRAMBLED	19	4	.732	func/s060.bmp
190.814	.953	.573	FAMOUS	5	4	1.009	func/f049.bmp
193.503	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
214.132	.816	.572	UNFAMILIAR	13	4	.746	func/u061.bmp
217.206	.935	.494	UNFAMILIAR	14	4	.738	func/u061.bmp
220.379	.851	.481	UNFAMILIAR	15	4	.660	func/u054.bmp
223.570	.901	.579	UNFAMILIAR	13	7	.833	func/u064.bmp
226.793	.834	.555	UNFAMILIAR	14	7	.884	func/u064.bmp
229.850	.853	.455	SCRAMBLED	19	4	.870	func/s054.bmp
233.057	.848	.578	SCRAMBLED	17	4	.811	func/s063.bmp
236.181	.984	.441	SCRAMBLED	18	7	.906	func/s063.bmp
239.438	.924	.503	SCRAMBLED	17	4	1.090	func/s062.bmp
242.645	.807	.483	SCRAMBLED	17	4	.835	func/s056.bmp
245.669	.900	.443	FAMOUS	7	4	1.133	func/f049.bmp
248.876	.825	.515	FAMOUS	5	7	.937	func/f053.bmp
251.899	.946	.420	FAMOUS	6	7	.828	func/f053.bmp
255.089	.921	.477	FAMOUS	5	4	1.001	func/f060.bmp
258.363	.832	.571	UNFAMILIAR	13	4	.937	func/u052.bmp
261.370	.884	.415	UNFAMILIAR	13	4	.773	func/u059.bmp
264.527	.994	.517	UNFAMILIAR	14	4	.727	func/u059.bmp
267.801	.976	.503	SCRAMBLED	19	4	.818	func/s062.bmp
271.142	.883	.585	UNFAMILIAR	13	4	.997	func/u049.bmp
274.249	.835	.452	SCRAMBLED	19	4	1.338	func/s056.bmp
276.821	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
297.433	.902	.579	UNFAMILIAR	13	4	.888	func/u060.bmp
300.690	.963	.591	SCRAMBLED	17	4	.833	func/s052.bmp
303.981	.951	.559	SCRAMBLED	18	4	.766	func/s052.bmp
307.171	.988	.470	FAMOUS	7	4	.891	func/f060.bmp
310.429	.947	.486	UNFAMILIAR	13	7	.866	func/u053.bmp
313.669	.904	.522	UNFAMILIAR	15	4	.732	func/u052.bmp
316.926	.821	.559	FAMOUS	5	7	.944	func/f052.bmp
319.950	.983	.431	FAMOUS	6	7	.932	func/f052.bmp
323.174	.913	.458	FAMOUS	5	4	.870	func/f050.bmp
326.280	.888	.420	UNFAMILIAR	15	4	.710	func/u049.bmp
329.387	.857	.429	FAMOUS	5	4	.865	func/f051.bmp
332.594	.899	.574	UNFAMILIAR	15	4	.757	func/u060.bmp
335.852	.877	.593	SCRAMBLED	17	4	1.034	func/s053.bmp
338.908	.925	.402	SCRAMBLED	18	4	.969	func/s053.bmp
342.099	.996	.500	UNFAMILIAR	13	4	.741	func/u051.bmp
345.323	.893	.455	UNFAMILIAR	14	4	.690	func/u051.bmp
348.413	.924	.418	UNFAMILIAR	15	7	.801	func/u053.bmp
351.604	.897	.501	SCRAMBLED	17	4	.805	func/s061.bmp
354.677	.957	.416	SCRAMBLED	18	4	.777	func/s061.bmp
357.383	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
377.978	.983	.553	UNFAMILIAR	13	4	.771	func/u058.bmp
381.252	.814	.518	UNFAMILIAR	14	n/a	0	func/u058.bmp
384.376	.878	.535	FAMOUS	7	4	.668	func/f050.bmp
387.483	.941	.467	FAMOUS	5	4	1.023	func/f059.bmp
390.790	.866	.594	FAMOUS	6	n/a	0	func/f059.bmp
393.930	.952	.510	FAMOUS	7	4	.857	func/f051.bmp
397.204	.989	.547	FAMOUS	5	4	.848	func/f064.bmp
400.445	.999	.472	SCRAMBLED	17	4	.790	func/s049.bmp
403.218	.012	0	n/a	999	0	0	func/Circle.bmp
