onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
412.000	3.000	parametric gain	0.181	n/a	n/a	32	7	20.230	1	1	0.950
422.000	3.000	parametric gain	0.381	n/a	n/a	40	16	13.110	1	1	0.962
426.000	3.000	parametric gain	0.131	n/a	n/a	30	17	1.420	2	1	1.255
432.000	3.000	parametric gain	-0.019	n/a	n/a	24	5	15.600	1	1	1.943
436.000	3.000	parametric gain	-0.219	n/a	n/a	16	7	4.230	2	1	1.919
440.000	3.000	parametric gain	-0.069	n/a	n/a	22	18	-8.260	4	0	1.103
444.000	3.000	parametric gain	0.031	n/a	n/a	26	19	-5.940	4	0	1.154
448.000	3.000	parametric gain	-0.019	n/a	n/a	24	20	-9.620	4	0	0.998
452.000	3.000	parametric gain	0.231	n/a	n/a	34	6	23.910	1	1	1.015
460.000	3.000	parametric gain	-0.019	n/a	n/a	24	16	-2.890	3	0	1.514
468.000	3.000	parametric gain	-0.069	n/a	n/a	22	6	11.910	1	1	1.006
474.000	3.000	parametric gain	-0.319	n/a	n/a	12	7	0.230	3	0	1.130
