onset	duration	trial_type	response_time	sample	value
12.3515625000	n/a	STATUS	n/a	3162	254
33.3867187500	n/a	stimulus	n/a	8547	128
38.2929687500	n/a	response	n/a	9803	2
42.0664062500	n/a	response	n/a	10769	8
44.7031250000	n/a	response	n/a	11444	4
173.7148437500	n/a	stimulus	n/a	44471	128
178.5585937500	n/a	response	n/a	45711	4
185.0976562500	n/a	response	n/a	47385	8
187.3828125000	n/a	response	n/a	47970	4
228.3750000000	n/a	stimulus	n/a	58464	128
231.8828125000	n/a	response	n/a	59362	4
234.3125000000	n/a	response	n/a	59984	4
236.7148437500	n/a	response	n/a	60599	4
258.7187500000	n/a	stimulus	n/a	66232	128
261.4257812500	n/a	response	n/a	66925	4
266.8242187500	n/a	response	n/a	68307	4
269.2968750000	n/a	response	n/a	68940	4
332.3007812500	n/a	stimulus	n/a	85069	128
335.2382812500	n/a	response	n/a	85821	4
340.6406250000	n/a	response	n/a	87204	2
342.9179687500	n/a	response	n/a	87787	4
414.9257812500	n/a	stimulus	n/a	106221	128
419.1015625000	n/a	response	n/a	107290	4
421.9843750000	n/a	response	n/a	108028	2
424.9179687500	n/a	response	n/a	108779	4
512.9140625000	n/a	stimulus	n/a	131306	128
515.6796875000	n/a	response	n/a	132014	2
536.3281250000	n/a	response	n/a	137300	8
541.0585937500	n/a	response	n/a	138511	8
669.0703125000	n/a	stimulus	n/a	171282	128
676.9414062500	n/a	response	n/a	173297	4
679.8789062500	n/a	response	n/a	174049	4
683.8828125000	n/a	response	n/a	175074	8
722.8867187500	n/a	stimulus	n/a	185059	128
726.3164062500	n/a	response	n/a	185937	4
730.4726562500	n/a	response	n/a	187001	2
734.6484375000	n/a	response	n/a	188070	8
800.6523437500	n/a	stimulus	n/a	204967	128
806.6562500000	n/a	response	n/a	206504	8
809.8789062500	n/a	response	n/a	207329	4
813.3125000000	n/a	response	n/a	208208	4
866.3164062500	n/a	stimulus	n/a	221777	128
870.1718750000	n/a	response	n/a	222764	2
873.4960937500	n/a	response	n/a	223615	4
876.5625000000	n/a	response	n/a	224400	4
1035.5429687500	n/a	stimulus	n/a	265099	128
1040.8007812500	n/a	response	n/a	266445	4
1044.2382812500	n/a	response	n/a	267325	8
1046.4453125000	n/a	response	n/a	267890	4
1100.4492187500	n/a	stimulus	n/a	281715	128
1105.6289062500	n/a	response	n/a	283041	4
1109.3320312500	n/a	response	n/a	283989	4
1126.0078125000	n/a	response	n/a	288258	4
1178.0117187500	n/a	stimulus	n/a	301571	128
1184.2343750000	n/a	response	n/a	303164	4
1188.6210937500	n/a	response	n/a	304287	4
1191.8046875000	n/a	response	n/a	305102	4
1244.8007812500	n/a	stimulus	n/a	318669	128
1249.4765625000	n/a	response	n/a	319866	8
1254.1171875000	n/a	response	n/a	321054	4
1257.7890625000	n/a	response	n/a	321994	4
1397.8007812500	n/a	stimulus	n/a	357837	128
1401.5468750000	n/a	response	n/a	358796	8
1403.7109375000	n/a	response	n/a	359350	4
1406.0585937500	n/a	response	n/a	359951	4
1464.0664062500	n/a	stimulus	n/a	374801	128
1467.6015625000	n/a	response	n/a	375706	8
1469.8007812500	n/a	response	n/a	376269	4
1472.0742187500	n/a	response	n/a	376851	4
1572.0820312500	n/a	stimulus	n/a	402453	128
1575.8125000000	n/a	response	n/a	403408	4
1582.0117187500	n/a	response	n/a	404995	8
1584.4375000000	n/a	response	n/a	405616	4
1716.4375000000	n/a	stimulus	n/a	439408	128
1720.8046875000	n/a	response	n/a	440526	8
1740.5468750000	n/a	response	n/a	445580	4
1744.6796875000	n/a	response	n/a	446638	4
1829.6835937500	n/a	stimulus	n/a	468399	128
1832.3320312500	n/a	response	n/a	469077	4
1834.4492187500	n/a	response	n/a	469619	4
1849.0429687500	n/a	response	n/a	473355	4
1983.0546875000	n/a	stimulus	n/a	507662	128
1985.8789062500	n/a	response	n/a	508385	8
1989.9101562500	n/a	response	n/a	509417	4
1993.5351562500	n/a	response	n/a	510345	4
2098.5351562500	n/a	stimulus	n/a	537225	128
2101.1679687500	n/a	response	n/a	537899	4
2122.8984375000	n/a	response	n/a	543462	4
2126.8867187500	n/a	response	n/a	544483	4
2253.8984375000	n/a	stimulus	n/a	576998	128
2256.6835937500	n/a	response	n/a	577711	4
2264.1718750000	n/a	response	n/a	579628	4
2266.9960937500	n/a	response	n/a	580351	4
2418.9804687500	n/a	stimulus	n/a	619259	128
2422.4140625000	n/a	response	n/a	620138	8
2425.4062500000	n/a	response	n/a	620904	4
2427.7460937500	n/a	response	n/a	621503	4
2591.7421875000	n/a	stimulus	n/a	663486	128
2595.9375000000	n/a	response	n/a	664560	4
2598.8515625000	n/a	response	n/a	665306	4
2603.1328125000	n/a	response	n/a	666402	4
2762.1445312500	n/a	stimulus	n/a	707109	128
2765.6132812500	n/a	response	n/a	707997	4
2769.7773437500	n/a	response	n/a	709063	4
2771.9882812500	n/a	response	n/a	709629	8
2917.0000000000	n/a	stimulus	n/a	746752	128
2919.8046875000	n/a	response	n/a	747470	2
2923.5195312500	n/a	response	n/a	748421	8
2925.7812500000	n/a	response	n/a	749000	8
3060.7851562500	n/a	stimulus	n/a	783561	128
3063.7656250000	n/a	response	n/a	784324	2
3066.7031250000	n/a	response	n/a	785076	8
3071.1914062500	n/a	response	n/a	786225	8
