response_time	button_press	stim_file
1.586	1	meg/u079.bmp
0.722	1	meg/f051.bmp
1.135	3	meg/f116.bmp
2.651	1	meg/u038.bmp
2.237	2	meg/f148.bmp
1.69	1	meg/f016.bmp
1.646	3	meg/f110.bmp
1.996	2	meg/f108.bmp
1.435	1	meg/f150.bmp
1.554	1	meg/u120.bmp
2.124	2	meg/f043.bmp
2.125	2	meg/u065.bmp
2.11	2	meg/u109.bmp
1.625	1	meg/u114.bmp
1.719	1	meg/u053.bmp
1.234	3	meg/f101.bmp
3.778	1	meg/u025.bmp
1.485	3	meg/f120.bmp
1.042	3	meg/f056.bmp
2.584	2	meg/u063.bmp
1.247	3	meg/f026.bmp
2.438	1	meg/u001.bmp
1.314	3	meg/f009.bmp
1.686	1	meg/u136.bmp
1.147	3	meg/f084.bmp
1.062	3	meg/f088.bmp
1.332	2	meg/u085.bmp
2.847	2	meg/f115.bmp
0.963	1	meg/u137.bmp
1.381	3	meg/u143.bmp
1.27	1	meg/u099.bmp
1.316	2	meg/f085.bmp
1.552	1	meg/u121.bmp
2.602	2	meg/u024.bmp
2.592	3	meg/f131.bmp
0.988	2	meg/u021.bmp
0.966	1	meg/f095.bmp
1.944	1	meg/u050.bmp
1.193	2	meg/u134.bmp
1.018	2	meg/u116.bmp
1.339	2	meg/u008.bmp
1.037	2	meg/u069.bmp
1.085	3	meg/f098.bmp
1.098	3	meg/f078.bmp
1.12	3	meg/f109.bmp
1.748	3	meg/u062.bmp
1.03	1	meg/f136.bmp
1.005	2	meg/u033.bmp
1.198	3	meg/u089.bmp
1.047	3	meg/f100.bmp
0.846	1	meg/u126.bmp
0.83	3	meg/f074.bmp
1.822	2	meg/u101.bmp
1.964	3	meg/f147.bmp
1.26	1	meg/f099.bmp
1.13	3	meg/f018.bmp
1.213	1	meg/u019.bmp
1.126	3	meg/f065.bmp
1.177	2	meg/f105.bmp
0.971	1	meg/u118.bmp
1.445	2	meg/f037.bmp
1.619	1	meg/u086.bmp
1.754	3	meg/f079.bmp
5.147	2	meg/f135.bmp
1.141	1	meg/u081.bmp
0.928	3	meg/u090.bmp
1.692	3	meg/f142.bmp
0.856	1	meg/u051.bmp
1.279	2	meg/u127.bmp
0.932	1	meg/f092.bmp
1.033	1	meg/u015.bmp
1.255	1	meg/u084.bmp
0.589	1	meg/u056.bmp
1.144	1	meg/u103.bmp
1.019	2	meg/u004.bmp
0.739	1	meg/u070.bmp
1.407	1	meg/f102.bmp
0.671	1	meg/f023.bmp
0.813	1	meg/u146.bmp
0.734	1	meg/u150.bmp
0.803	3	meg/f029.bmp
8.1	2	meg/u023.bmp
1.578	1	meg/u060.bmp
0.795	1	meg/u057.bmp
0.949	1	meg/u036.bmp
1.216	2	meg/u100.bmp
4.232	2	meg/u002.bmp
1.152	3	meg/f075.bmp
1.451	1	meg/f103.bmp
1.193	1	meg/f091.bmp
0.986	1	meg/u017.bmp
0.963	3	meg/f067.bmp
1.142	1	meg/u093.bmp
0.961	3	meg/f021.bmp
1.3	3	meg/f129.bmp
0.76	1	meg/u148.bmp
1.052	2	meg/u104.bmp
1.963	3	meg/f040.bmp
0.963	3	meg/f041.bmp
0.862	3	meg/f090.bmp
3.021	1	meg/f024.bmp
1.105	2	meg/u139.bmp
0.917	1	meg/f097.bmp
1.082	2	meg/u076.bmp
1.16	3	meg/f071.bmp
2.178	2	meg/f049.bmp
0.913	1	meg/u071.bmp
3.005	2	meg/f107.bmp
0.81	1	meg/f132.bmp
