index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
50	LH_SalVentAttn_FrOperIns_4	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_4	43.0	17Networks_LH_SalVentAttnA_FrOper_2	SalVentAttnA	Schaefer200
51	LH_SalVentAttn_PFCl_1	SalVentAttn	7Networks_LH_SalVentAttn_PFCl_1	48.0	17Networks_LH_SalVentAttnB_PFCl_1	SalVentAttnB	Schaefer200
52	LH_SalVentAttn_Med_1	SalVentAttn	7Networks_LH_SalVentAttn_Med_1	45.0	17Networks_LH_SalVentAttnA_FrMed_1	SalVentAttnA	Schaefer200
53	LH_SalVentAttn_Med_2	SalVentAttn	7Networks_LH_SalVentAttn_Med_2	44.0	17Networks_LH_SalVentAttnA_ParMed_1	SalVentAttnA	Schaefer200
54	LH_SalVentAttn_Med_3	SalVentAttn	7Networks_LH_SalVentAttn_Med_3	46.0	17Networks_LH_SalVentAttnA_FrMed_2	SalVentAttnA	Schaefer200
55	LH_Limbic_OFC_1	Limbic	7Networks_LH_Limbic_OFC_1	51.0	17Networks_LH_LimbicB_OFC_1	LimbicB	Schaefer200
56	LH_Limbic_OFC_2	Limbic	7Networks_LH_Limbic_OFC_2	52.0	17Networks_LH_LimbicB_OFC_2	LimbicB	Schaefer200
57	LH_Limbic_TempPole_1	Limbic	7Networks_LH_Limbic_TempPole_1	53.0	17Networks_LH_LimbicA_TempPole_1	LimbicA	Schaefer200
58	LH_Limbic_TempPole_2	Limbic	7Networks_LH_Limbic_TempPole_2	54.0	17Networks_LH_LimbicA_TempPole_2	LimbicA	Schaefer200
59	LH_Limbic_TempPole_3	Limbic	7Networks_LH_Limbic_TempPole_3	55.0	17Networks_LH_LimbicA_TempPole_3	LimbicA	Schaefer200
60	LH_Limbic_TempPole_4	Limbic	7Networks_LH_Limbic_TempPole_4	56.0	17Networks_LH_LimbicA_TempPole_4	LimbicA	Schaefer200
61	LH_Cont_Par_1	Cont	7Networks_LH_Cont_Par_1	68.0	17Networks_LH_ContB_IPL_1	ContB	Schaefer200
62	LH_Cont_Par_2	Cont	7Networks_LH_Cont_Par_2	58.0	17Networks_LH_ContA_IPS_1	ContA	Schaefer200
63	LH_Cont_Par_3	Cont	7Networks_LH_Cont_Par_3	59.0	17Networks_LH_ContA_IPS_2	ContA	Schaefer200
64	LH_Cont_Temp_1	Cont	7Networks_LH_Cont_Temp_1	67.0	17Networks_LH_ContB_Temp_1	ContB	Schaefer200
65	LH_Cont_OFC_1	Cont	7Networks_LH_Cont_OFC_1	93.0	17Networks_LH_DefaultB_PFCv_2	DefaultB	Schaefer200
66	LH_Cont_PFCl_1	Cont	7Networks_LH_Cont_PFCl_1	70.0	17Networks_LH_ContB_PFClv_1	ContB	Schaefer200
67	LH_Cont_PFCl_2	Cont	7Networks_LH_Cont_PFCl_2	71.0	17Networks_LH_ContB_PFClv_2	ContB	Schaefer200
68	LH_Cont_PFCl_3	Cont	7Networks_LH_Cont_PFCl_3	62.0	17Networks_LH_ContA_PFClv_1	ContA	Schaefer200
69	LH_Cont_PFCl_4	Cont	7Networks_LH_Cont_PFCl_4	63.0	17Networks_LH_ContA_PFCl_1	ContA	Schaefer200
70	LH_Cont_PFCl_5	Cont	7Networks_LH_Cont_PFCl_5	65.0	17Networks_LH_ContA_PFCl_3	ContA	Schaefer200
71	LH_Cont_pCun_1	Cont	7Networks_LH_Cont_pCun_1	72.0	17Networks_LH_ContC_pCun_1	ContC	Schaefer200
72	LH_Cont_Cing_1	Cont	7Networks_LH_Cont_Cing_1	74.0	17Networks_LH_ContC_Cingp_1	ContC	Schaefer200
73	LH_Cont_Cing_2	Cont	7Networks_LH_Cont_Cing_2	66.0	17Networks_LH_ContA_Cingm_1	ContA	Schaefer200
74	LH_Default_Temp_1	Default	7Networks_LH_Default_Temp_1	83.0	17Networks_LH_DefaultB_Temp_1	DefaultB	Schaefer200
75	LH_Default_Temp_2	Default	7Networks_LH_Default_Temp_2	84.0	17Networks_LH_DefaultB_Temp_2	DefaultB	Schaefer200
76	LH_Default_Temp_3	Default	7Networks_LH_Default_Temp_3	85.0	17Networks_LH_DefaultB_Temp_3	DefaultB	Schaefer200
77	LH_Default_Temp_4	Default	7Networks_LH_Default_Temp_4	86.0	17Networks_LH_DefaultB_Temp_4	DefaultB	Schaefer200
78	LH_Default_Temp_5	Default	7Networks_LH_Default_Temp_5	99.0	17Networks_LH_TempPar_1	TempPar	Schaefer200
79	LH_Default_Par_1	Default	7Networks_LH_Default_Par_1	100.0	17Networks_LH_TempPar_2	TempPar	Schaefer200
80	LH_Default_Par_2	Default	7Networks_LH_Default_Par_2	96.0	17Networks_LH_DefaultC_IPL_1	DefaultC	Schaefer200
81	LH_Default_Par_3	Default	7Networks_LH_Default_Par_3	87.0	17Networks_LH_DefaultB_IPL_1	DefaultB	Schaefer200
82	LH_Default_Par_4	Default	7Networks_LH_Default_Par_4	75.0	17Networks_LH_DefaultA_IPL_1	DefaultA	Schaefer200
83	LH_Default_PFC_1	Default	7Networks_LH_Default_PFC_1	92.0	17Networks_LH_DefaultB_PFCv_1	DefaultB	Schaefer200
84	LH_Default_PFC_2	Default	7Networks_LH_Default_PFC_2	80.0	17Networks_LH_DefaultA_PFCm_1	DefaultA	Schaefer200
85	LH_Default_PFC_3	Default	7Networks_LH_Default_PFC_3	94.0	17Networks_LH_DefaultB_PFCv_3	DefaultB	Schaefer200
86	LH_Default_PFC_4	Default	7Networks_LH_Default_PFC_4	81.0	17Networks_LH_DefaultA_PFCm_2	DefaultA	Schaefer200
87	LH_Default_PFC_5	Default	7Networks_LH_Default_PFC_5	95.0	17Networks_LH_DefaultB_PFCv_4	DefaultB	Schaefer200
88	LH_Default_PFC_6	Default	7Networks_LH_Default_PFC_6	82.0	17Networks_LH_DefaultA_PFCm_3	DefaultA	Schaefer200
89	LH_Default_PFC_7	Default	7Networks_LH_Default_PFC_7	88.0	17Networks_LH_DefaultB_PFCd_1	DefaultB	Schaefer200
