index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
184	RH_Default_Par_3	Default	7Networks_RH_Default_Par_3	173.0	17Networks_RH_ContB_IPL_1	ContB	Schaefer200
185	RH_Default_Temp_1	Default	7Networks_RH_Default_Temp_1	191.0	17Networks_RH_DefaultB_AntTemp_1	DefaultB	Schaefer200
186	RH_Default_Temp_2	Default	7Networks_RH_Default_Temp_2	171.0	17Networks_RH_ContB_Temp_1	ContB	Schaefer200
187	RH_Default_Temp_3	Default	7Networks_RH_Default_Temp_3	197.0	17Networks_RH_TempPar_1	TempPar	Schaefer200
188	RH_Default_Temp_4	Default	7Networks_RH_Default_Temp_4	190.0	17Networks_RH_DefaultB_Temp_1	DefaultB	Schaefer200
189	RH_Default_Temp_5	Default	7Networks_RH_Default_Temp_5	198.0	17Networks_RH_TempPar_2	TempPar	Schaefer200
190	RH_Default_PFCv_1	Default	7Networks_RH_Default_PFCv_1	193.0	17Networks_RH_DefaultB_PFCv_1	DefaultB	Schaefer200
191	RH_Default_PFCdPFCm_1	Default	7Networks_RH_Default_PFCdPFCm_1	159.0	17Networks_RH_LimbicB_OFC_3	LimbicB	Schaefer200
192	RH_Default_PFCdPFCm_2	Default	7Networks_RH_Default_PFCdPFCm_2	187.0	17Networks_RH_DefaultA_PFCm_1	DefaultA	Schaefer200
193	RH_Default_PFCdPFCm_3	Default	7Networks_RH_Default_PFCdPFCm_3	188.0	17Networks_RH_DefaultA_PFCm_2	DefaultA	Schaefer200
194	RH_Default_PFCdPFCm_4	Default	7Networks_RH_Default_PFCdPFCm_4	189.0	17Networks_RH_DefaultA_PFCm_3	DefaultA	Schaefer200
195	RH_Default_PFCdPFCm_5	Default	7Networks_RH_Default_PFCdPFCm_5	192.0	17Networks_RH_DefaultB_PFCd_1	DefaultB	Schaefer200
196	RH_Default_PFCdPFCm_6	Default	7Networks_RH_Default_PFCdPFCm_6	185.0	17Networks_RH_DefaultA_PFCd_1	DefaultA	Schaefer200
197	RH_Default_PFCdPFCm_7	Default	7Networks_RH_Default_PFCdPFCm_7	180.0	17Networks_RH_ContB_PFCld_3	ContB	Schaefer200
198	RH_Default_pCunPCC_1	Default	7Networks_RH_Default_pCunPCC_1	195.0	17Networks_RH_DefaultC_Rsp_1	DefaultC	Schaefer200
199	RH_Default_pCunPCC_2	Default	7Networks_RH_Default_pCunPCC_2	186.0	17Networks_RH_DefaultA_pCunPCC_1	DefaultA	Schaefer200
200	RH_Default_pCunPCC_3	Default	7Networks_RH_Default_pCunPCC_3	182.0	17Networks_RH_ContC_pCun_2	ContC	Schaefer200
201	LH-Pu	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
202	LH-Ca	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
203	LH-NAC	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
204	LH-EXA	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
205	LH-GPe	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
206	LH-GPi	n/a	n/a	n/a	n/a	n/a	CIT168Subcortical
