index	name	color
1	Network_1	#b52bd4
2	Network_2	#ff0000
3	Network_3	#a1e1ff
4	Network_4	#6cffc2
5	Network_5	#4ac33b
6	Network_6	#1f911b
7	Network_7	#ff77ff
8	Networks_8	#ffacd2
9	Networks_9	#f4ffc4
10	Network_10	#9ebc46
11	Network_11	#99acc6
12	Network_12	#f9a41e
13	Network_13	#cd466a
14	Network_14	#aeb8ff
15	Network_15	#3334ff
16	Network_16	#ffff00
17	Network_17	#ff7d82
