index	name	color
1	Left_I_IV	#ccff00
2	Right_I_IV	#b8e600
3	Left_V	#00e65c
4	Right_V	#00ff66
5	Left_VI	#0066ff
6	Vermis_VI	#0052cc
7	Right_VI	#0066ff
8	Left_CrusI	#cc00ff
9	Vermis_CrusI	#a200cc
10	Right_CrusI	#cc00ff
11	Left_CrusII	#ff0000
12	Vermis_CrusII	#cc0000
13	Right_CrusII	#ff0000
14	Left_VIIb	#ff9900
15	Vermis_VIIb	#cc7900
16	Right_VIIb	#ff9900
17	Left_VIIIa	#33ff00
18	Vermis_VIIIa	#29cc00
19	Right_VIIIa	#33ff00
20	Left_VIIIb	#00ffff
21	Vermis_VIIIb	#00cccc
22	Right_VIIIb	#00ffff
23	Left_IX	#3300ff
24	Vermis_IX	#2900cc
25	Right_IX	#3300ff
26	Left_X	#ff0099
27	Vermis_X	#cc0079
28	Right_X	#ff0099
29	Left_Dentate	#4c4c4c
30	Right_Dentate	#4c4c4c
31	Left_Interposed	#7f7f7f
32	Right_Interposed	#7f7f7f
33	Left_Fastigial	#b2b2b2
34	Right_Fastigial	#b2b2b2
