onset	duration	trial_type	response_time	sample	value
81.0273437500	n/a	stimulus	n/a	20743.0000000000	128
84.6835937500	n/a	response	n/a	21679.0000000000	2
87.4375000000	n/a	response	n/a	22384.0000000000	2
235.7539062500	n/a	stimulus	n/a	60353.0000000000	128
239.8710937500	n/a	response	n/a	61407.0000000000	2
242.3203125000	n/a	response	n/a	62034.0000000000	4
337.5117187500	n/a	stimulus	n/a	86403.0000000000	128
340.6054687500	n/a	response	n/a	87195.0000000000	2
342.9335937500	n/a	response	n/a	87791.0000000000	2
385.2382812500	n/a	stimulus	n/a	98621.0000000000	128
387.9648437500	n/a	response	n/a	99319.0000000000	4
390.1640625000	n/a	response	n/a	99882.0000000000	2
427.7304687500	n/a	stimulus	n/a	109499.0000000000	128
430.7851562500	n/a	response	n/a	110281.0000000000	2
433.1093750000	n/a	response	n/a	110876.0000000000	2
579.4570312500	n/a	stimulus	n/a	148341.0000000000	128
582.6640625000	n/a	response	n/a	149162.0000000000	2
585.5195312500	n/a	response	n/a	149893.0000000000	2
740.1289062500	n/a	stimulus	n/a	189473.0000000000	128
742.7890625000	n/a	response	n/a	190154.0000000000	2
745.2070312500	n/a	response	n/a	190773.0000000000	4
813.7382812500	n/a	stimulus	n/a	208317.0000000000	128
816.6875000000	n/a	response	n/a	209072.0000000000	4
818.8867187500	n/a	response	n/a	209635.0000000000	2
933.3359375000	n/a	stimulus	n/a	238934.0000000000	128
936.6757812500	n/a	response	n/a	239789.0000000000	4
939.4687500000	n/a	response	n/a	240504.0000000000	2
994.8906250000	n/a	stimulus	n/a	254692.0000000000	128
999.1914062500	n/a	response	n/a	255793.0000000000	4
1001.4453125000	n/a	response	n/a	256370.0000000000	2
1048.8164062500	n/a	stimulus	n/a	268497.0000000000	128
1051.6796875000	n/a	response	n/a	269230.0000000000	2
1053.9687500000	n/a	response	n/a	269816.0000000000	2
1171.1679687500	n/a	stimulus	n/a	299819.0000000000	128
1174.0742187500	n/a	response	n/a	300563.0000000000	2
1176.6601562500	n/a	response	n/a	301225.0000000000	4
1252.9179687500	n/a	stimulus	n/a	320747.0000000000	128
1256.3398437500	n/a	response	n/a	321623.0000000000	2
1258.7500000000	n/a	response	n/a	322240.0000000000	2
1302.5507812500	n/a	stimulus	n/a	333453.0000000000	128
1306.6796875000	n/a	response	n/a	334510.0000000000	2
1309.1835937500	n/a	response	n/a	335151.0000000000	4
1375.3984375000	n/a	stimulus	n/a	352102.0000000000	128
1380.5781250000	n/a	response	n/a	353428.0000000000	2
1383.8320312500	n/a	response	n/a	354261.0000000000	4
1524.0585937500	n/a	stimulus	n/a	390159.0000000000	128
1528.2343750000	n/a	response	n/a	391228.0000000000	2
1530.9687500000	n/a	response	n/a	391928.0000000000	2
1577.3398437500	n/a	stimulus	n/a	403799.0000000000	128
1580.4140625000	n/a	response	n/a	404586.0000000000	2
1582.9179687500	n/a	response	n/a	405227.0000000000	2
1698.1171875000	n/a	stimulus	n/a	434718.0000000000	128
1701.2812500000	n/a	response	n/a	435528.0000000000	4
1704.2070312500	n/a	response	n/a	436277.0000000000	2
1829.2343750000	n/a	stimulus	n/a	468284.0000000000	128
1833.8164062500	n/a	response	n/a	469457.0000000000	4
1836.0976562500	n/a	response	n/a	470041.0000000000	2
1893.2851562500	n/a	stimulus	n/a	484681.0000000000	128
1896.6406250000	n/a	response	n/a	485540.0000000000	4
1901.1562500000	n/a	response	n/a	486696.0000000000	2
2020.4375000000	n/a	stimulus	n/a	517232.0000000000	128
2024.5546875000	n/a	response	n/a	518286.0000000000	2
2027.0195312500	n/a	response	n/a	518917.0000000000	2
2125.2656250000	n/a	stimulus	n/a	544068.0000000000	128
2128.1484375000	n/a	response	n/a	544806.0000000000	4
2130.6210937500	n/a	response	n/a	545439.0000000000	2
2224.9218750000	n/a	stimulus	n/a	569580.0000000000	128
2229.3359375000	n/a	response	n/a	570710.0000000000	2
2231.5468750000	n/a	response	n/a	571276.0000000000	4
2242.7382812500	n/a	stimulus	n/a	574141.0000000000	128
2246.2812500000	n/a	response	n/a	575048.0000000000	4
2248.6015625000	n/a	response	n/a	575642.0000000000	2
2362.8007812500	n/a	stimulus	n/a	604877.0000000000	128
2366.0195312500	n/a	response	n/a	605701.0000000000	4
2368.3203125000	n/a	response	n/a	606290.0000000000	2
2477.5625000000	n/a	stimulus	n/a	634256.0000000000	128
2480.7695312500	n/a	response	n/a	635077.0000000000	4
2484.3867187500	n/a	response	n/a	636003.0000000000	2
2506.7343750000	n/a	stimulus	n/a	641724.0000000000	128
2511.2070312500	n/a	response	n/a	642869.0000000000	2
2513.9687500000	n/a	response	n/a	643576.0000000000	2
2543.2460937500	n/a	stimulus	n/a	651071.0000000000	128
2546.3632812500	n/a	response	n/a	651869.0000000000	2
2548.8437500000	n/a	response	n/a	652504.0000000000	2
2653.0820312500	n/a	stimulus	n/a	679189.0000000000	128
2656.0195312500	n/a	response	n/a	679941.0000000000	2
2658.1914062500	n/a	response	n/a	680497.0000000000	4
