onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
18.1556	0	1	right	2	90778	15.038933333332999	18.038933333333	116.666666667	18.223933333333335	left_hand.png	raised-right/match-true	1	right	-4.2	2
22.9922	0	2	right	2	114961	19.8922	22.8922	100.0	23.060533333333336	right_hand.png	raised-right/match-false	1	left	-2.4	2
27.5638	0	3	left	1	137819	24.5304666666667	27.5304666666667	33.3333333333	27.632133333333336	right_hand.png	raised-left/match-true	1	left	-17.2	2
35.652	0	4	right	2	178260	32.6353333333333	35.6353333333333	16.6666666667	35.72033333333333	right_hand.png	raised-right/match-false	1	left	9.8	3
40.2594	0	5	right	2	201297	37.1927333333333	40.1927333333333	66.6666666667	40.32773333333333	left_hand.png	raised-right/match-true	1	right	-15.2	3
49.0162	0	6	left	1	245081	45.916199999999996	48.916199999999996	100.0	49.084533333333326	left_hand.png	raised-left/match-false	1	right	-16.8	5
57.8232	0	7	right	2	289116	54.7898666666667	57.7898666666667	33.3333333333	57.89153333333333	left_hand.png	raised-right/match-true	1	right	-43.0	7
62.3728	0	8	right	2	311864	59.3561333333333	62.3561333333333	16.6666666667	62.441133333333326	left_hand.png	raised-right/match-true	1	right	-10.2	7
67.5938	0	9	left	1	337969	64.57713333333331	67.57713333333331	16.6666666667	67.66213333333334	left_hand.png	raised-left/match-false	1	right	-8.8	8
80.1024	0	10	right	2	400512	77.08573333333331	80.08573333333331	16.6666666667	80.17073333333335	right_hand.png	raised-right/match-false	1	left	1.0	9
84.6728	0	11	left	1	423364	81.63946666666669	84.63946666666669	33.3333333333	84.74113333333334	right_hand.png	raised-left/match-true	1	left	-38.2	9
89.3138	0	12	left	1	446569	86.2138	89.2138	100.0	89.38213333333334	left_hand.png	raised-left/match-false	1	right	-20.0	9
93.9134	0	13	right	2	469567	90.84673333333329	93.84673333333329	66.6666666667	93.98173333333334	right_hand.png	raised-right/match-false	1	left	-11.6	9
98.5542	0	14	left	1	492771	95.4542	98.4542	100.0	98.62253333333334	right_hand.png	raised-left/match-true	1	left	-18.8	9
106.5892	0	15	right	2	532946	103.53920000000001	106.53920000000001	50.0	106.65753333333335	left_hand.png	raised-right/match-true	1	right	2.0	10
111.1428	0	16	right	2	555714	108.1261333333333	111.1261333333333	16.6666666667	111.21113333333334	right_hand.png	raised-right/match-false	1	left	-13.4	10
115.7636	0	17	right	2	578818	112.6802666666667	115.6802666666667	83.3333333333	115.83193333333334	right_hand.png	raised-right/match-false	1	left	0.6	10
120.3664	0	18	right	2	601832	117.2997333333333	120.2997333333333	66.6666666667	120.43473333333334	right_hand.png	raised-right/match-false	1	left	-19.8	10
125.0368	0	19	right	2	625184	121.903466666667	124.903466666667	133.33333333299998	125.10513333333334	left_hand.png	raised-right/match-true	1	right	-12.4	10
129.657	0	20	left	1	648285	126.57366666666672	129.57366666666672	83.3333333333	129.72533333333334	right_hand.png	raised-left/match-true	1	left	-17.6	10
134.2314	0	21	left	1	671157	131.1980666666667	134.1980666666667	33.3333333333	134.29973333333334	right_hand.png	raised-left/match-true	1	left	-35.2	10
142.4378	0	22	left	1	712189	139.2878	142.2878	150.0	142.50613333333334	left_hand.png	raised-left/match-false	1	right	-1.2	11
147.0368	0	23	right	2	735184	143.9701333333333	146.9701333333333	66.6666666667	147.10513333333333	left_hand.png	raised-right/match-true	1	right	-16.8	11
151.6906	0	24	right	2	758453	148.573933333333	151.573933333333	116.666666667	151.75893333333332	left_hand.png	raised-right/match-true	1	right	-9.6	11
156.2608	0	25	left	1	781304	153.2274666666667	156.2274666666667	33.3333333333	156.32913333333332	right_hand.png	raised-left/match-true	1	left	2.6	11
