onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	.853	.491	UNFAMILIAR	13	4	.922	func/u116.bmp
3.04	.929	.413	UNFAMILIAR	13	4	.658	func/u125.bmp
6.414	.806	.574	SCRAMBLED	17	4	.633	func/s129.bmp
9.571	.902	.579	SCRAMBLED	18	4	.730	func/s129.bmp
12.695	.999	.465	UNFAMILIAR	13	4	.775	func/u118.bmp
15.952	.864	.492	SCRAMBLED	17	4	.614	func/s128.bmp
19.126	.895	.544	SCRAMBLED	17	4	1.121	func/s125.bmp
22.316	.980	.519	UNFAMILIAR	15	4	.811	func/u116.bmp
25.557	.899	.496	UNFAMILIAR	13	4	.620	func/u128.bmp
28.764	.850	.537	UNFAMILIAR	14	4	.536	func/u128.bmp
31.837	.912	.464	UNFAMILIAR	15	4	.636	func/u125.bmp
34.493	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
55.105	.809	.576	SCRAMBLED	17	4	1.139	func/s123.bmp
58.246	.805	.558	SCRAMBLED	18	4	.582	func/s123.bmp
61.403	.813	.583	UNFAMILIAR	13	4	.852	func/u130.bmp
64.493	.918	.503	UNFAMILIAR	15	4	.735	func/u118.bmp
67.717	.948	.544	FAMOUS	5	4	.820	func/f130.bmp
70.991	.818	.565	FAMOUS	6	4	.599	func/f130.bmp
74.098	.805	.529	SCRAMBLED	19	4	.851	func/s128.bmp
77.271	.891	.587	SCRAMBLED	17	4	.666	func/s115.bmp
80.361	.808	.422	SCRAMBLED	18	7	.732	func/s115.bmp
83.385	.905	.435	SCRAMBLED	19	4	.885	func/s125.bmp
86.525	.881	.462	SCRAMBLED	17	4	.790	func/s118.bmp
89.682	.861	.515	SCRAMBLED	17	4	.808	func/s116.bmp
92.806	.901	.491	SCRAMBLED	18	4	.750	func/s116.bmp
95.913	.991	.450	SCRAMBLED	17	7	.910	func/s114.bmp
99.254	.929	.584	SCRAMBLED	18	7	1.924	func/s114.bmp
102.527	.814	.570	UNFAMILIAR	15	4	.775	func/u130.bmp
105.668	.952	.565	SCRAMBLED	17	4	.716	func/s124.bmp
108.357	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
