onset	duration	event_sample	trial_type	event_value	stim_file
23.04	0	25344	Famous	5	f015.bmp
26.28	0	28908	Scrambled	17	s114.bmp
29.4209	0	32363	Unfamiliar	13	u054.bmp
32.4445	0	35689	Scrambled	17	s143.bmp
35.6018	0	39162	Famous	5	f097.bmp
38.7755	0	42653	Famous	6	f097.bmp
41.9664	0	46163	Famous	5	f040.bmp
45.2745	0	49802	Famous	7	f015.bmp
48.4827	0	53331	Famous	5	f061.bmp
51.6555	0	56821	Famous	6	f061.bmp
54.9127	0	60404	Scrambled	19	s114.bmp
58.12	0	63932	Unfamiliar	13	u055.bmp
61.3782	0	67516	Unfamiliar	15	u054.bmp
64.6191	0	71081	Famous	5	f100.bmp
67.7764	0	74554	Famous	6	f100.bmp
71.05	0	78155	Scrambled	19	s143.bmp
74.2909	0	81720	Scrambled	17	s044.bmp
77.4145	0	85156	Scrambled	17	s053.bmp
80.6555	0	88721	Famous	7	f040.bmp
83.7964	0	92176	Famous	5	f143.bmp
87.0545	0	95760	Scrambled	17	s122.bmp
90.3109	0	99342	Scrambled	18	s122.bmp
93.3182	0	102650	Unfamiliar	15	u055.bmp
96.4255	0	106068	Unfamiliar	13	u050.bmp
99.4327	0	109376	Unfamiliar	14	u050.bmp
102.573	0	112830	Scrambled	17	s084.bmp
105.764	0	116340	Scrambled	19	s044.bmp
108.905	0	119795	Unfamiliar	13	u074.bmp
112.045	0	123249	Unfamiliar	14	u074.bmp
115.219	0	126741	Scrambled	19	s053.bmp
118.325	0	130158	Famous	5	f104.bmp
121.516	0	133668	Famous	7	f143.bmp
124.807	0	137288	Unfamiliar	13	u100.bmp
127.998	0	140798	Unfamiliar	14	u100.bmp
131.055	0	144161	Scrambled	17	s129.bmp
134.229	0	147652	Scrambled	18	s129.bmp
137.303	0	151033	Scrambled	17	s126.bmp
140.561	0	154617	Scrambled	18	s126.bmp
143.751	0	158126	Scrambled	19	s084.bmp
146.792	0	161471	Scrambled	17	s095.bmp
149.949	0	164944	Scrambled	18	s095.bmp
153.123	0	168435	Famous	5	f005.bmp
156.113	0	171724	Famous	6	f005.bmp
159.421	0	175363	Famous	7	f104.bmp
162.578	0	178836	Unfamiliar	13	u009.bmp
165.618	0	182180	Unfamiliar	14	u009.bmp
168.775	0	185653	Scrambled	17	s047.bmp
171.833	0	189016	Famous	5	f093.bmp
175.124	0	192636	Unfamiliar	13	u070.bmp
178.397	0	196237	Unfamiliar	14	u070.bmp
181.522	0	199674	Unfamiliar	13	u066.bmp
184.78	0	203258	Unfamiliar	13	u103.bmp
187.936	0	206730	Unfamiliar	14	u103.bmp
190.944	0	210038	Famous	5	f074.bmp
194.101	0	213511	Scrambled	19	s047.bmp
197.325	0	217058	Unfamiliar	13	u042.bmp
200.582	0	220640	Unfamiliar	14	u042.bmp
203.589	0	223948	Famous	7	f093.bmp
206.88	0	227568	Scrambled	17	s081.bmp
210.105	0	231115	Scrambled	18	s081.bmp
213.262	0	234588	Famous	5	f118.bmp
216.419	0	238061	Unfamiliar	15	u066.bmp
219.693	0	241662	Scrambled	17	s136.bmp
222.95	0	245245	Famous	5	f063.bmp
226.041	0	248645	Famous	7	f074.bmp
229.115	0	252027	Scrambled	17	s139.bmp
232.339	0	255573	Scrambled	18	s139.bmp
235.445	0	258990	Unfamiliar	13	u026.bmp
238.553	0	262408	Unfamiliar	14	u026.bmp
241.76	0	265936	Famous	5	f010.bmp
244.817	0	269299	Famous	7	f118.bmp
247.992	0	272791	Unfamiliar	13	u060.bmp
251.082	0	276190	Scrambled	19	s136.bmp
254.189	0	279608	Unfamiliar	13	u141.bmp
257.43	0	283173	Unfamiliar	14	u141.bmp
260.721	0	286793	Famous	7	f063.bmp
263.912	0	290303	Scrambled	17	s024.bmp
267.152	0	293867	Unfamiliar	13	u002.bmp
270.41	0	297451	Unfamiliar	14	u002.bmp
273.484	0	300832	Scrambled	17	s037.bmp
276.574	0	304231	Famous	7	f010.bmp
279.898	0	307888	Famous	5	f109.bmp
283.239	0	311563	Unfamiliar	15	u060.bmp
286.446	0	315091	Unfamiliar	13	u130.bmp
289.655	0	318620	Unfamiliar	14	u130.bmp
292.695	0	321965	Scrambled	17	s119.bmp
295.952	0	325547	Scrambled	19	s024.bmp
299.159	0	329075	Scrambled	17	s096.bmp
302.3	0	332530	Scrambled	18	s096.bmp
305.507	0	336058	Scrambled	17	s072.bmp
308.815	0	339696	Scrambled	18	s072.bmp
312.039	0	343243	Scrambled	19	s037.bmp
315.029	0	346532	Unfamiliar	13	u098.bmp
318.204	0	350024	Famous	7	f109.bmp
321.477	0	353625	Unfamiliar	13	u085.bmp
324.585	0	357044	Famous	5	f045.bmp
327.775	0	360553	Famous	6	f045.bmp
330.933	0	364026	Scrambled	19	s119.bmp
334.106	0	367517	Scrambled	17	s060.bmp
337.397	0	371137	Famous	5	f014.bmp
340.672	0	374739	Famous	6	f014.bmp
343.896	0	378286	Famous	5	f131.bmp
347.237	0	381961	Famous	6	f131.bmp
350.294	0	385323	Unfamiliar	15	u098.bmp
353.418	0	388760	Famous	5	f013.bmp
356.558	0	392214	Unfamiliar	15	u085.bmp
359.665	0	395632	Unfamiliar	13	u091.bmp
362.957	0	399253	Unfamiliar	14	u091.bmp
366.014	0	402615	Unfamiliar	13	u001.bmp
369.237	0	406161	Scrambled	19	s060.bmp
372.462	0	409708	Unfamiliar	13	u057.bmp
375.786	0	413365	Unfamiliar	14	u057.bmp
378.844	0	416728	Famous	5	f071.bmp
382.084	0	420292	Scrambled	17	s093.bmp
385.207	0	423728	Scrambled	18	s093.bmp
388.398	0	427238	Famous	7	f013.bmp
391.573	0	430730	Scrambled	17	s004.bmp
394.763	0	434239	Scrambled	17	s108.bmp
397.87	0	437657	Scrambled	18	s108.bmp
400.977	0	441075	Unfamiliar	15	u001.bmp
404.135	0	444548	Famous	5	f124.bmp
407.309	0	448040	Scrambled	17	s020.bmp
410.516	0	451568	Scrambled	18	s020.bmp
413.656	0	455022	Famous	7	f071.bmp
416.881	0	458569	Scrambled	17	s092.bmp
420.038	0	462042	Scrambled	18	s092.bmp
423.095	0	465405	Unfamiliar	13	u064.bmp
426.235	0	468859	Unfamiliar	14	u064.bmp
429.359	0	472295	Scrambled	19	s004.bmp
432.584	0	475842	Famous	5	f136.bmp
435.741	0	479315	Famous	5	f060.bmp
438.898	0	482788	Famous	7	f124.bmp
441.938	0	486132	Famous	5	f106.bmp
445.145	0	489660	Unfamiliar	13	u082.bmp
448.404	0	493244	Scrambled	17	s041.bmp
451.561	0	496717	Famous	5	f058.bmp
454.785	0	500263	Famous	6	f058.bmp
457.975	0	503773	Famous	7	f136.bmp
461.233	0	507356	Unfamiliar	13	u105.bmp
464.34	0	510774	Unfamiliar	14	u105.bmp
467.548	0	514303	Famous	7	f060.bmp
470.638	0	517702	Famous	5	f075.bmp
473.762	0	521138	Famous	7	f106.bmp
476.935	0	524629	Unfamiliar	13	u008.bmp
480.06	0	528066	Unfamiliar	15	u082.bmp
483.15	0	531465	Unfamiliar	13	u023.bmp
486.375	0	535012	Unfamiliar	14	u023.bmp
489.465	0	538411	Scrambled	19	s041.bmp
