onset	duration	trial_type	rating_par
1.017	5.000	att_neg	n/a
8.004	1.968	rating_par	0.172
13.016	5.000	att_neut	n/a
19.007	2.826	rating_par	-0.828
29.014	5.000	att_neg	n/a
37.013	1.066	rating_par	0.172
43.004	5.000	suppr_neg	n/a
49.012	0.812	rating_par	1.172
53.012	5.000	suppr_neg	n/a
60.015	0.848	rating_par	0.172
65.010	5.000	suppr_neg	n/a
71.002	1.185	rating_par	-0.828
77.009	5.000	suppr_neg	n/a
84.013	0.540	rating_par	0.172
89.008	5.000	att_neut	n/a
95.016	1.139	rating_par	-0.828
99.015	5.000	att_neg	n/a
105.006	2.851	rating_par	1.172
111.014	5.000	att_neg	n/a
119.013	0.499	rating_par	2.172
127.012	5.000	suppr_neg	n/a
134.016	2.521	rating_par	0.172
141.009	5.000	att_neut	n/a
147.010	0.416	rating_par	-0.828
151.010	5.000	att_neg	n/a
159.009	1.279	rating_par	2.172
170.012	5.000	att_neut	n/a
177.016	0.681	rating_par	-0.828
183.007	5.000	att_neg	n/a
190.010	1.104	rating_par	1.172
194.010	5.000	att_neut	n/a
201.013	0.843	rating_par	-0.828
205.013	5.000	att_neut	n/a
212.016	0.674	rating_par	-0.828
217.011	5.000	suppr_neg	n/a
223.003	1.349	rating_par	0.172
233.010	5.000	att_neut	n/a
241.009	0.591	rating_par	-0.828
248.012	5.000	att_neg	n/a
254.003	0.749	rating_par	0.172
259.015	5.000	suppr_neg	n/a
266.002	1.903	rating_par	0.172
272.010	5.000	att_neut	n/a
280.009	0.422	rating_par	-0.828
285.004	5.000	att_neut	n/a
292.008	0.393	rating_par	-0.828
297.003	5.000	suppr_neg	n/a
305.002	1.198	rating_par	0.172
309.002	5.000	att_neg	n/a
316.005	2.731	rating_par	0.172
320.005	5.000	suppr_neg	n/a
326.013	0.564	rating_par	-0.828
339.007	5.000	suppr_neg	n/a
347.010	3.000	junk_rating	n/a
353.014	5.000	att_neg	n/a
362.009	0.527	rating_par	-0.828
367.004	5.000	att_neg	n/a
375.003	0.445	rating_par	1.172
380.015	5.000	att_neut	n/a
386.006	0.523	rating_par	-0.828
