onset	duration	trial_type	easy_par	hard_par
16.007	4.500	easy_par	-0.062	n/a
21.251	4.500	hard_par	n/a	-2.062
26.512	4.500	easy_par	-0.062	n/a
37.017	4.500	hard_par	n/a	-2.062
42.261	4.500	easy_par	-0.062	n/a
47.506	4.500	hard_par	n/a	-2.062
52.767	4.500	hard_par	n/a	-2.062
58.011	4.500	hard_par	n/a	-2.062
63.255	4.500	hard_par	n/a	-2.062
68.516	4.500	easy_par	-0.062	n/a
73.760	4.500	easy_par	-0.062	n/a
79.004	4.500	hard_par	n/a	-2.062
84.265	4.500	hard_par	n/a	-2.062
89.510	4.500	hard_par	n/a	-2.062
94.754	4.500	easy_par	-0.062	n/a
100.015	4.500	hard_par	n/a	-2.062
110.503	4.500	hard_par	n/a	-2.062
115.764	4.500	hard_par	n/a	-2.062
121.008	4.500	easy_par	-0.062	n/a
126.253	4.500	hard_par	n/a	-2.062
131.513	4.500	hard_par	n/a	-2.062
136.758	4.500	hard_par	n/a	-2.062
142.002	4.500	hard_par	n/a	-2.062
147.263	4.500	hard_par	n/a	-2.062
152.507	4.500	easy_par	-0.062	n/a
157.752	4.500	hard_par	n/a	-2.062
163.012	4.500	hard_par	n/a	-2.062
168.257	4.500	hard_par	n/a	-2.062
173.501	4.500	easy_par	-0.062	n/a
184.006	4.500	hard_par	n/a	-2.062
189.267	4.500	hard_par	n/a	-2.062
194.511	4.500	easy_par	-0.062	n/a
199.756	4.500	hard_par	n/a	-2.062
205.016	4.500	easy_par	-0.062	n/a
210.261	4.500	easy_par	-0.062	n/a
215.505	4.500	hard_par	n/a	-2.062
220.766	4.500	easy_par	-0.062	n/a
226.010	4.500	hard_par	n/a	-2.062
231.254	4.500	hard_par	n/a	-2.062
236.515	4.500	hard_par	n/a	-2.062
241.760	4.500	easy_par	-0.062	n/a
247.004	4.500	easy_par	-0.062	n/a
257.509	4.500	hard_par	n/a	-2.062
262.753	4.500	hard_par	n/a	-2.062
268.014	4.500	easy_par	-0.062	n/a
273.258	4.500	hard_par	n/a	-2.062
278.502	4.500	hard_par	n/a	-2.062
283.763	4.500	easy_par	-0.062	n/a
289.008	4.500	easy_par	-0.062	n/a
294.252	4.500	easy_par	-0.062	n/a
299.513	4.500	hard_par	n/a	-2.062
304.757	4.500	hard_par	n/a	-2.062
310.002	4.500	easy_par	-0.062	n/a
315.262	4.500	easy_par	-0.062	n/a
320.507	4.500	hard_par	n/a	-2.062
331.012	4.500	easy_par	-0.062	n/a
336.256	4.500	easy_par	-0.062	n/a
341.517	4.500	hard_par	n/a	-2.062
346.761	4.500	hard_par	n/a	-2.062
352.005	4.500	easy_par	-0.062	n/a
357.266	4.500	easy_par	-0.062	n/a
362.510	4.500	easy_par	0.938	n/a
367.755	4.500	easy_par	-0.062	n/a
373.016	4.500	hard_par	n/a	-2.062
378.260	4.500	hard_par	n/a	-2.062
383.504	4.500	easy_par	-0.062	n/a
388.765	4.500	easy_par	-0.062	n/a
394.009	4.500	easy_par	-0.062	n/a
404.514	4.500	hard_par	n/a	-2.062
409.759	4.500	easy_par	-0.062	n/a
415.003	4.500	hard_par	n/a	-2.062
420.264	4.500	easy_par	-0.062	n/a
425.508	4.500	easy_par	-0.062	n/a
430.752	4.500	hard_par	n/a	-2.062
436.013	4.500	easy_par	-0.062	n/a
441.258	4.500	easy_par	-0.062	n/a
446.502	4.500	hard_par	n/a	-2.062
451.763	4.500	hard_par	n/a	-2.062
457.007	4.500	easy_par	-0.062	n/a
462.251	4.500	easy_par	-0.062	n/a
467.512	4.500	easy_par	0.938	n/a
478.017	4.500	hard_par	n/a	-2.062
483.262	4.500	easy_par	-0.062	n/a
488.506	4.500	easy_par	-0.062	n/a
493.767	4.500	easy_par	-0.062	n/a
499.011	4.500	easy_par	-0.062	n/a
504.255	4.500	easy_par	-0.062	n/a
509.516	4.500	easy_par	0.938	n/a
514.760	4.500	easy_par	-0.062	n/a
520.006	4.500	hard_par	n/a	-2.062
525.265	4.500	easy_par	-0.062	n/a
530.510	4.500	hard_par	n/a	-2.062
535.754	4.500	hard_par	n/a	96.938
541.015	4.500	easy_par	-0.062	n/a
551.504	4.500	easy_par	-0.062	n/a
556.764	4.500	hard_par	n/a	-2.062
