name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
headRigid_quat_w	ORNT	n/a	59.8930793415263	VIRPos	headRigid	w	headRigid
headRigid_quat_x	ORNT	n/a	59.8930793415263	VIRPos	headRigid	x	headRigid
headRigid_quat_y	ORNT	n/a	59.8930793415263	VIRPos	headRigid	y	headRigid
headRigid_quat_z	ORNT	n/a	59.8930793415263	VIRPos	headRigid	z	headRigid
headRigid_cart_x	POS	vm	59.8930793415263	VIRPos	headRigid	x	headRigid
headRigid_cart_y	POS	vm	59.8930793415263	VIRPos	headRigid	y	headRigid
headRigid_cart_z	POS	vm	59.8930793415263	VIRPos	headRigid	z	headRigid
VIRPos_latency	LATENCY	seconds	59.8930793415263	VIRPos	n/a	latency	n/a
