onset	duration	trial_type	response_time	sample	value
46.0000000000	n/a	stimulus	n/a	11776	128
50.9687500000	n/a	response	n/a	13048	2
78.1445312500	n/a	STATUS	n/a	20005	254
183.1953125000	n/a	stimulus	n/a	46898	128
200.4648437500	n/a	response	n/a	51319	2
279.2890625000	n/a	response	n/a	71498	8
347.2812500000	n/a	stimulus	n/a	88904	128
349.9531250000	n/a	response	n/a	89588	2
352.2656250000	n/a	response	n/a	90180	2
426.2773437500	n/a	stimulus	n/a	109127	128
429.2968750000	n/a	response	n/a	109900	4
431.9101562500	n/a	response	n/a	110569	2
455.6718750000	n/a	stimulus	n/a	116652	128
458.3203125000	n/a	response	n/a	117330	2
461.0546875000	n/a	response	n/a	118030	2
519.5742187500	n/a	stimulus	n/a	133011	128
522.6914062500	n/a	response	n/a	133809	4
525.0507812500	n/a	response	n/a	134413	2
643.3906250000	n/a	stimulus	n/a	164708	128
648.3593750000	n/a	response	n/a	165980	2
650.7773437500	n/a	response	n/a	166599	2
799.4101562500	n/a	stimulus	n/a	204649	128
803.8125000000	n/a	response	n/a	205776	4
806.0859375000	n/a	response	n/a	206358	2
918.2500000000	n/a	stimulus	n/a	235072	128
922.1250000000	n/a	response	n/a	236064	4
924.3320312500	n/a	response	n/a	236629	2
1036.8007812500	n/a	stimulus	n/a	265421	128
1040.2812500000	n/a	response	n/a	266312	2
1043.2148437500	n/a	response	n/a	267063	2
1076.4609375000	n/a	stimulus	n/a	275574	128
1081.0195312500	n/a	response	n/a	276741	2
1083.4453125000	n/a	response	n/a	277362	2
1190.7500000000	n/a	stimulus	n/a	304832	128
1194.2929687500	n/a	response	n/a	305739	4
1196.7304687500	n/a	response	n/a	306363	2
1351.1015625000	n/a	stimulus	n/a	345882	128
1355.5781250000	n/a	response	n/a	347028	2
1358.5195312500	n/a	response	n/a	347781	4
1422.1679687500	n/a	stimulus	n/a	364075	128
1427.2617187500	n/a	response	n/a	365379	2
1429.4335937500	n/a	response	n/a	365935	4
1454.8710937500	n/a	stimulus	n/a	372447	128
1457.8046875000	n/a	response	n/a	373198	2
1460.5859375000	n/a	response	n/a	373910	2
1554.9804687500	n/a	stimulus	n/a	398075	128
1557.8046875000	n/a	response	n/a	398798	4
1560.0117187500	n/a	response	n/a	399363	2
1607.2773437500	n/a	stimulus	n/a	411463	128
1610.9726562500	n/a	response	n/a	412409	4
1613.3320312500	n/a	response	n/a	413013	2
1672.8046875000	n/a	stimulus	n/a	428238	128
1675.7734375000	n/a	response	n/a	428998	4
1678.2070312500	n/a	response	n/a	429621	2
