onset	duration	trial_type	response_time	sample	value
29.0781250000	n/a	stimulus	n/a	7444	128
33.0937500000	n/a	response	n/a	8472	2
35.5703125000	n/a	response	n/a	9106	4
186.9101562500	n/a	stimulus	n/a	47849	128
190.1367187500	n/a	response	n/a	48675	2
192.2773437500	n/a	response	n/a	49223	4
220.4921875000	n/a	stimulus	n/a	56446	128
223.8125000000	n/a	response	n/a	57296	8
225.9453125000	n/a	response	n/a	57842	8
356.5859375000	n/a	stimulus	n/a	91286	128
361.4101562500	n/a	response	n/a	92521	4
363.6054687500	n/a	response	n/a	93083	4
365.9804687500	n/a	response	n/a	93691	2
398.9804687500	n/a	stimulus	n/a	102139	128
402.1289062500	n/a	response	n/a	102945	2
404.2656250000	n/a	response	n/a	103492	4
407.0234375000	n/a	response	n/a	104198	2
534.0312500000	n/a	stimulus	n/a	136712	128
536.6367187500	n/a	response	n/a	137379	4
538.9726562500	n/a	response	n/a	137977	2
666.7968750000	n/a	stimulus	n/a	170700	128
669.6171875000	n/a	response	n/a	171422	2
671.7460937500	n/a	response	n/a	171967	8
744.8242187500	n/a	stimulus	n/a	190675	128
748.2890625000	n/a	response	n/a	191562	4
750.4765625000	n/a	response	n/a	192122	4
752.7382812500	n/a	response	n/a	192701	2
885.7460937500	n/a	stimulus	n/a	226751	128
890.8398437500	n/a	response	n/a	228055	8
893.0546875000	n/a	response	n/a	228622	4
1024.0625000000	n/a	stimulus	n/a	262160	128
1026.7226562500	n/a	response	n/a	262841	2
1028.9140625000	n/a	response	n/a	263402	4
1031.0898437500	n/a	response	n/a	263959	4
1080.0937500000	n/a	stimulus	n/a	276504	128
1086.3632812500	n/a	response	n/a	278109	8
1088.6367187500	n/a	response	n/a	278691	4
