name	type	x	y	z	template_x	template_y	template_z
Rx2	detector	43.74310826	38.11793693	113.9384878	n/a	n/a	n/a
Rx1	detector	26.09230917	57.74090791	104.3065799	n/a	n/a	n/a
Rx4	detector	20.69928742	11.45149204	138.2354892	n/a	n/a	n/a
Rx3	detector	-13.01629636	49.05316889	131.3181713	n/a	n/a	n/a
Rx6	detector	-44.66386933	76.27592848	80.20523737	n/a	n/a	n/a
Rx5	detector	66.97220676	59.82105739	43.78832116	n/a	n/a	n/a
Rx8	detector	-65.93474826	50.60435414	106.9181835	n/a	n/a	n/a
Rx7	detector	40.32752563	66.52773191	70.01135001	n/a	n/a	n/a
Rx9	detector	57.36216812	-66.38039317	40.11606807	n/a	n/a	n/a
Rx11	detector	34.39164842	-71.25463741	69.02886817	n/a	n/a	n/a
Rx10	detector	-51.93232587	-77.06922668	77.58918572	n/a	n/a	n/a
Rx12	detector	-68.63212901	-50.54599419	103.3062161	n/a	n/a	n/a
Tx1a	source	51.52145075	37.7298377	110.525542	n/a	n/a	n/a
Tx4	source	47.87402733	11.51733699	125.941305	n/a	n/a	n/a
Tx1b	source	34.66936941	57.741063	100.846159	n/a	n/a	n/a
Tx3	source	18.20633075	43.65095838	124.3859282	n/a	n/a	n/a
Tx1c	source	22.03867807	4.048880182	137.882168	n/a	n/a	n/a
Tx2	source	-3.187444101	68.6475714	107.8856539	n/a	n/a	n/a
Tx5	source	-12.02443549	9.245101796	144.0830716	n/a	n/a	n/a
Tx1d	source	-22.72987133	48.11946286	132.270299	n/a	n/a	n/a
Tx6a	source	-37.05759717	78.98162356	75.85628159	n/a	n/a	n/a
Tx9	source	-73.14015039	63.06812096	77.61804211	n/a	n/a	n/a
Tx6b	source	70.6416262	55.89505351	36.50436926	n/a	n/a	n/a
Tx8	source	37.01660106	74.70346058	41.15124399	n/a	n/a	n/a
Tx6c	source	-68.02841227	42.74244591	111.6903344	n/a	n/a	n/a
Tx7	source	69.38179349	52.33436347	69.3025818	n/a	n/a	n/a
Tx10	source	-37.84509491	68.84204758	109.0834547	n/a	n/a	n/a
Tx6d	source	36.3185379	67.11551208	77.66929691	n/a	n/a	n/a
Tx12	source	31.30713268	-78.03411716	36.73396553	n/a	n/a	n/a
Tx13	source	63.82766017	-61.39616813	68.99414827	n/a	n/a	n/a
Tx14	source	-78.87657516	-58.02730272	74.77626854	n/a	n/a	n/a
Tx15	source	-41.86421156	-70.01917863	105.5283104	n/a	n/a	n/a
Tx11a	source	65.80967044	-62.01032232	37.82022778	n/a	n/a	n/a
Tx11b	source	-45.08079575	-78.86240835	69.40411862	n/a	n/a	n/a
Tx11c	source	27.23339912	-71.52152105	74.9490901	n/a	n/a	n/a
Tx11d	source	-73.46952207	-41.87412076	108.8333998	n/a	n/a	n/a
