onset	duration	trial_type	Response	Stimulus	response_time
5.154	0.200	visual standard stimulus presentation	n/a	n/a	n/a
7.966	0.200	visual standard stimulus presentation	n/a	n/a	n/a
9.985	0.200	visual standard stimulus presentation	n/a	n/a	n/a
12.980	0.200	visual standard stimulus presentation	0.000	standard	n/a
15.577	0.200	visual standard stimulus presentation	0.000	standard	n/a
17.779	0.200	visual standard stimulus presentation	0.000	standard	n/a
20.377	0.200	visual standard stimulus presentation	0.000	standard	n/a
22.578	0.200	visual standard stimulus presentation	0.000	standard	n/a
25.571	0.200	visual standard stimulus presentation	0.000	standard	n/a
28.369	0.362	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
28.369	0.200	visual oddball stimulus presentation	1.000	target	n/a
30.967	0.200	visual oddball stimulus presentation	1.000	target	n/a
30.967	0.429	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
32.968	0.200	visual standard stimulus presentation	0.000	standard	n/a
35.963	0.200	visual standard stimulus presentation	0.000	standard	n/a
38.560	0.200	visual standard stimulus presentation	0.000	standard	n/a
41.555	0.200	visual standard stimulus presentation	0.000	standard	n/a
43.756	0.200	visual standard stimulus presentation	0.000	standard	n/a
46.156	0.200	visual standard stimulus presentation	0.000	standard	n/a
48.158	0.200	visual standard stimulus presentation	0.000	standard	n/a
50.359	0.200	visual standard stimulus presentation	0.000	standard	n/a
52.758	0.200	visual oddball stimulus presentation	1.000	target	n/a
52.758	0.338	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
55.554	0.200	visual standard stimulus presentation	0.000	standard	n/a
57.755	0.200	visual standard stimulus presentation	0.000	standard	n/a
60.154	0.200	visual standard stimulus presentation	0.000	standard	n/a
62.157	0.200	visual standard stimulus presentation	0.000	standard	n/a
65.150	0.200	visual standard stimulus presentation	0.000	standard	n/a
67.351	0.200	visual standard stimulus presentation	0.000	standard	n/a
70.346	0.400	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
70.346	0.200	visual oddball stimulus presentation	1.000	target	n/a
72.745	0.200	visual standard stimulus presentation	0.000	standard	n/a
75.543	0.200	visual standard stimulus presentation	0.000	standard	n/a
78.537	0.200	visual oddball stimulus presentation	1.000	target	n/a
78.537	0.402	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
81.334	0.200	visual standard stimulus presentation	0.000	standard	n/a
83.336	n/a	n/a	1.000	target	n/a
85.735	0.200	visual standard stimulus presentation	0.000	standard	n/a
87.936	0.200	visual standard stimulus presentation	0.000	standard	n/a
90.931	0.200	visual standard stimulus presentation	0.000	standard	n/a
93.926	0.200	visual standard stimulus presentation	0.000	standard	n/a
96.125	0.200	visual standard stimulus presentation	0.000	standard	n/a
98.526	0.200	visual standard stimulus presentation	0.000	standard	n/a
101.123	0.398	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
101.123	0.200	visual oddball stimulus presentation	1.000	target	n/a
