name	x	y	z	coordinate_system	group
E1	0	0	0	grid1	Grid1
E2	0	8	0	grid1	Grid1
E3	0	16	0	grid1	Grid1
E4	0	24	0	grid1	Grid1
E5	0	32	0	grid1	Grid1
E6	0	40	0	grid1	Grid1
E7	0	48	0	grid1	Grid1
E8	0	56	0	grid1	Grid1
E9	8	56	0	grid1	Grid1
E10	8	48	0	grid1	Grid1
E11	8	40	0	grid1	Grid1
E12	8	32	0	grid1	Grid1
E13	8	24	0	grid1	Grid1
E14	8	16	0	grid1	Grid1
E15	8	8	0	grid1	Grid1
E16	8	0	0	grid1	Grid1
E17	16	0	0	grid1	Grid1
E18	16	8	0	grid1	Grid1
E19	16	16	0	grid1	Grid1
E20	16	24	0	grid1	Grid1
E21	16	32	0	grid1	Grid1
E22	16	40	0	grid1	Grid1
E23	16	48	0	grid1	Grid1
E24	16	56	0	grid1	Grid1
E25	24	56	0	grid1	Grid1
E26	24	48	0	grid1	Grid1
E27	24	40	0	grid1	Grid1
E28	24	32	0	grid1	Grid1
E29	24	24	0	grid1	Grid1
E30	24	16	0	grid1	Grid1
E31	24	8	0	grid1	Grid1
E32	24	0	0	grid1	Grid1
E33	32	0	0	grid1	Grid1
E34	32	8	0	grid1	Grid1
E35	32	16	0	grid1	Grid1
E36	32	24	0	grid1	Grid1
E37	32	32	0	grid1	Grid1
E38	32	40	0	grid1	Grid1
E39	32	48	0	grid1	Grid1
E40	32	56	0	grid1	Grid1
E41	40	56	0	grid1	Grid1
E42	40	48	0	grid1	Grid1
E43	40	40	0	grid1	Grid1
E44	40	32	0	grid1	Grid1
E45	40	24	0	grid1	Grid1
E46	40	16	0	grid1	Grid1
E47	40	8	0	grid1	Grid1
E48	40	0	0	grid1	Grid1
E49	48	0	0	grid1	Grid1
E50	48	8	0	grid1	Grid1
E51	48	16	0	grid1	Grid1
E52	48	24	0	grid1	Grid1
E53	48	32	0	grid1	Grid1
E54	48	40	0	grid1	Grid1
E55	48	48	0	grid1	Grid1
E56	48	56	0	grid1	Grid1
E57	56	56	0	grid1	Grid1
E58	56	48	0	grid1	Grid1
E59	56	40	0	grid1	Grid1
E60	56	32	0	grid1	Grid1
E61	56	24	0	grid1	Grid1
E62	56	16	0	grid1	Grid1
E63	56	8	0	grid1	Grid1
E64	56	0	0	grid1	Grid1
E1	0	0	0	grid2	Grid2
E2	0	8	0	grid2	Grid2
E3	0	16	0	grid2	Grid2
E4	0	24	0	grid2	Grid2
E5	0	32	0	grid2	Grid2
E6	0	40	0	grid2	Grid2
E7	0	48	0	grid2	Grid2
E8	0	56	0	grid2	Grid2
E9	8	56	0	grid2	Grid2
E10	8	48	0	grid2	Grid2
E11	8	40	0	grid2	Grid2
E12	8	32	0	grid2	Grid2
E13	8	24	0	grid2	Grid2
E14	8	16	0	grid2	Grid2
E15	8	8	0	grid2	Grid2
E16	8	0	0	grid2	Grid2
E17	16	0	0	grid2	Grid2
E18	16	8	0	grid2	Grid2
E19	16	16	0	grid2	Grid2
E20	16	24	0	grid2	Grid2
E21	16	32	0	grid2	Grid2
E22	16	40	0	grid2	Grid2
E23	16	48	0	grid2	Grid2
E24	16	56	0	grid2	Grid2
E25	24	56	0	grid2	Grid2
E26	24	48	0	grid2	Grid2
E27	24	40	0	grid2	Grid2
E28	24	32	0	grid2	Grid2
E29	24	24	0	grid2	Grid2
E30	24	16	0	grid2	Grid2
E31	24	8	0	grid2	Grid2
E32	24	0	0	grid2	Grid2
E33	32	0	0	grid2	Grid2
E34	32	8	0	grid2	Grid2
E35	32	16	0	grid2	Grid2
E36	32	24	0	grid2	Grid2
E37	32	32	0	grid2	Grid2
E38	32	40	0	grid2	Grid2
E39	32	48	0	grid2	Grid2
E40	32	56	0	grid2	Grid2
E41	40	56	0	grid2	Grid2
E42	40	48	0	grid2	Grid2
E43	40	40	0	grid2	Grid2
E44	40	32	0	grid2	Grid2
E45	40	24	0	grid2	Grid2
E46	40	16	0	grid2	Grid2
E47	40	8	0	grid2	Grid2
E48	40	0	0	grid2	Grid2
E49	48	0	0	grid2	Grid2
E50	48	8	0	grid2	Grid2
E51	48	16	0	grid2	Grid2
E52	48	24	0	grid2	Grid2
E53	48	32	0	grid2	Grid2
E54	48	40	0	grid2	Grid2
E55	48	48	0	grid2	Grid2
E56	48	56	0	grid2	Grid2
E57	56	56	0	grid2	Grid2
E58	56	48	0	grid2	Grid2
E59	56	40	0	grid2	Grid2
E60	56	32	0	grid2	Grid2
E61	56	24	0	grid2	Grid2
E62	56	16	0	grid2	Grid2
E63	56	8	0	grid2	Grid2
E64	56	0	0	grid2	Grid2
R1	0	100	0	forearm	Grid1
R2	0	100	0	forearm	Grid2
