name	type	comment
SCLK01	SysClock	
BG1	MEG REF	Ref magnetometer
BG2	MEG REF	Ref magnetometer
BG3	MEG REF	Ref magnetometer
BP1	MEG REF	Ref magnetometer
BP2	MEG REF	Ref magnetometer
BP3	MEG REF	Ref magnetometer
BR1	MEG REF	Ref magnetometer
BR2	MEG REF	Ref magnetometer
BR3	MEG REF	Ref magnetometer
G11	MEG REF	Ref gradiometer
G12	MEG REF	Ref gradiometer
G13	MEG REF	Ref gradiometer
G22	MEG REF	Ref gradiometer
G23	MEG REF	Ref gradiometer
P11	MEG REF	Ref gradiometer
P12	MEG REF	Ref gradiometer
P13	MEG REF	Ref gradiometer
P22	MEG REF	Ref gradiometer
P23	MEG REF	Ref gradiometer
Q11	MEG REF	Ref gradiometer
Q12	MEG REF	Ref gradiometer
Q22	MEG REF	Ref gradiometer
Q23	MEG REF	Ref gradiometer
R12	MEG REF	Ref gradiometer
R13	MEG REF	Ref gradiometer
R22	MEG REF	Ref gradiometer
MLC11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC15	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC16	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC17	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC61	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC62	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLC63	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
