name	type	comment
MLF25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF46	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF61	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF62	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF63	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF64	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF65	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF66	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLF67	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLO53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLP57	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT15	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT16	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT26	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT27	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT36	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT37	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT46	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT47	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MLT57	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC15	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC16	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC17	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC61	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC62	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRC63	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF46	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF61	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF62	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF63	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF64	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF65	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF66	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRF67	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRO53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRP57	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT11	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT12	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT13	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT14	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT15	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT16	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT21	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT22	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT23	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT24	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT25	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT26	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT31	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT32	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT33	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT34	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT35	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT36	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT37	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT41	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT42	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT43	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT44	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT45	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT46	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT47	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT51	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT52	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT53	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT54	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT55	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT56	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MRT57	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZC01	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZC02	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZC03	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZC04	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZF01	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZF02	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZF03	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZO01	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZO02	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZO03	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
MZP01	MEG	CTF axial gradiometer size = 18.00 mm base = 50.00 mm
