onset	duration	trial_type	response_time	sample	value
29.7890625000	n/a	stimulus	n/a	7626	128
32.8671875000	n/a	response	n/a	8414	2
151.2265625000	n/a	stimulus	n/a	38714	128
154.0351562500	n/a	response	n/a	39433	2
156.1875000000	n/a	response	n/a	39984	2
175.3750000000	n/a	stimulus	n/a	44896	128
178.5039062500	n/a	response	n/a	45697	2
181.4453125000	n/a	response	n/a	46450	4
255.7382812500	n/a	stimulus	n/a	65469	128
259.1953125000	n/a	response	n/a	66354	2
422.5781250000	n/a	stimulus	n/a	108180	128
425.9687500000	n/a	response	n/a	109048	2
486.0546875000	n/a	stimulus	n/a	124430	128
488.6757812500	n/a	response	n/a	125101	2
571.0195312500	n/a	stimulus	n/a	146181	128
574.0234375000	n/a	response	n/a	146950	2
576.1718750000	n/a	response	n/a	147500	2
693.3906250000	n/a	stimulus	n/a	177508	128
696.4921875000	n/a	response	n/a	178302	2
698.7148437500	n/a	response	n/a	178871	2
743.1914062500	n/a	stimulus	n/a	190257	128
745.8085937500	n/a	response	n/a	190927	2
770.3945312500	n/a	stimulus	n/a	197221	128
773.1718750000	n/a	response	n/a	197932	2
822.3007812500	n/a	stimulus	n/a	210509	128
825.1523437500	n/a	response	n/a	211239	2
827.6992187500	n/a	response	n/a	211891	2
867.8789062500	n/a	stimulus	n/a	222177	128
870.5546875000	n/a	response	n/a	222862	2
918.9062500000	n/a	stimulus	n/a	235240	128
921.5468750000	n/a	response	n/a	235916	2
923.6875000000	n/a	response	n/a	236464	2
1028.9062500000	n/a	stimulus	n/a	263400	128
1031.7656250000	n/a	response	n/a	264132	2
1089.0703125000	n/a	stimulus	n/a	278802	128
1092.4296875000	n/a	response	n/a	279662	2
1094.5937500000	n/a	response	n/a	280216	4
1096.7968750000	n/a	response	n/a	280780	2
1235.8085937500	n/a	stimulus	n/a	316367	128
1238.8125000000	n/a	response	n/a	317136	4
1346.1875000000	n/a	stimulus	n/a	344624	128
1348.8554687500	n/a	response	n/a	345307	4
