name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
G1	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	bad	1.0
G2	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
G3	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G4	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G5	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
G6	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G7	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G8	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G9	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
G10	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
G11	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G12	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G13	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
G14	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G15	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G16	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-superior	good	1.0
G17	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
G18	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
G19	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G20	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G21	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
G22	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G23	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G24	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G25	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
G26	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
G27	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G28	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G29	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
G30	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G31	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G32	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-superior	good	1.0
G33	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
G34	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
G35	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G36	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G37	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-inferior	good	1.0
G38	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G39	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G40	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	good	1.0
G41	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	bad	1.0
G42	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
G43	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	bad	1.0
G44	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G45	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-inferior	good	1.0
G46	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G47	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G48	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-superior	good	1.0
G49	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	bad	1.0
G50	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
G51	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	bad	1.0
G52	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G53	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
G54	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	1.0
G55	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	1.0
G56	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	1.0
G57	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	bad	1.0
G58	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	bad	1.0
G59	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	bad	1.0
G60	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G61	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
G62	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	1.0
G63	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	1.0
G64	ECOG	milliV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	1.0
