name	x	y	z	size	type
G1	501.26008099999996	397.542017	n/a	4	surface
G2	491.431452	351.21428599999996	n/a	4	surface
G3	480.84677400000004	311.147059	n/a	4	surface
G4	474.04233899999997	271.079832	n/a	4	surface
G5	464.969758	232.26470600000002	n/a	4	surface
G6	457.40927400000004	189.693277	n/a	4	surface
G7	451.360887	154.634454	n/a	4	surface
G8	446.068548	119.57563	n/a	4	surface
G9	458.921371	403.802521	n/a	4	surface
G10	449.092742	362.483193	n/a	4	surface
G11	439.264113	322.415966	n/a	4	surface
G12	432.45967699999994	282.348739	n/a	4	surface
G13	421.875	238.52521000000002	n/a	4	surface
G14	415.826613	194.701681	n/a	4	surface
G15	409.77822599999996	157.138655	n/a	4	surface
G16	404.485887	125.83613400000002	n/a	4	surface
G17	418.094758	412.567227	n/a	4	surface
G18	407.510081	371.247899	n/a	4	surface
G19	399.94959700000004	329.928571	n/a	4	surface
G20	390.877016	291.113445	n/a	4	surface
G21	383.316532	246.037815	n/a	4	surface
G22	373.48790299999996	207.222689	n/a	4	surface
G23	367.439516	168.40756299999998	n/a	4	surface
G24	362.147177	129.59243700000002	n/a	4	surface
G25	378.024194	420.079832	n/a	4	surface
G26	368.951613	377.508403	n/a	4	surface
G27	358.366935	338.693277	n/a	4	surface
G28	349.294355	301.130252	n/a	4	surface
G29	340.22177400000004	258.558824	n/a	4	surface
G30	332.66129	214.73529399999998	n/a	4	surface
G31	327.368952	174.66806699999998	n/a	4	surface
G32	320.564516	138.35714299999998	n/a	4	surface
G33	335.685484	428.844538	n/a	4	surface
G34	327.368952	390.02941200000004	n/a	4	surface
G35	320.564516	349.96218500000003	n/a	4	surface
G36	311.491935	306.13865499999997	n/a	4	surface
G37	300.907258	264.819328	n/a	4	surface
G38	292.59072599999996	224.75210099999998	n/a	4	surface
G39	285.030242	184.684874	n/a	4	surface
G40	278.981855	143.365546	n/a	4	surface
G41	295.614919	437.60924400000005	n/a	4	surface
G42	288.810484	396.289916	n/a	4	surface
G43	283.518145	354.97058799999996	n/a	4	surface
G44	272.177419	313.651261	n/a	4	surface
G45	261.592742	274.83613399999996	n/a	4	surface
G46	253.27621000000002	236.021008	n/a	4	surface
G47	244.203629	192.19747900000002	n/a	4	surface
G48	238.155242	152.130252	n/a	4	surface
G49	260.080645	445.121849	n/a	4	surface
G50	251.76411299999998	403.802521	n/a	4	surface
G51	247.227823	361.231092	n/a	4	surface
G52	235.887097	324.920168	n/a	4	surface
G53	225.302419	283.60084	n/a	4	surface
G54	213.20564500000003	242.281513	n/a	4	surface
G55	205.645161	204.718487	n/a	4	surface
G56	201.108871	163.39916000000002	n/a	4	surface
G57	221.522177	455.13865499999997	n/a	4	surface
G58	215.47378999999998	412.567227	n/a	4	surface
G59	211.693548	371.247899	n/a	4	surface
G60	201.108871	327.42437	n/a	4	surface
G61	185.987903	294.869748	n/a	4	surface
G62	172.379032	256.054622	n/a	4	surface
G63	163.306452	212.231092	n/a	4	surface
G64	161.794355	172.16386599999998	n/a	4	surface
