onset	duration	trial_type	trial_phase	trial_num	filt_type	noise_stim	stim_file
433.6506	1.6526000000000067	trial	aft	25	temp	none	ir08_audio.wav
446.5726	1.7947999999999524	trial	bef	26	temp	none	ir08_audio.wav
451.5072	1.7878000000000043	trial	mid	26	norm	none	ir08_audio.wav
456.1686	1.7957999999999856	trial	aft	26	temp	none	ir08_audio.wav
461.1036	2.852800000000002	trial	bef	27	freq	none	ir08_audio.wav
466.264	2.8319999999999936	trial	mid	27	norm	none	ir08_audio.wav
471.5366	2.852999999999952	trial	aft	27	freq	none	ir08_audio.wav
476.8942	2.3496000000000095	trial	bef	28	freq	none	ir08_audio.wav
481.6686	2.3841999999999643	trial	mid	28	norm	none	ir08_audio.wav
486.7478	2.349199999999996	trial	aft	28	freq	none	ir08_audio.wav
491.7646	1.859200000000044	trial	bef	29	temp	none	ir08_audio.wav
496.3548	1.8403999999999883	trial	mid	29	norm	none	ir08_audio.wav
501.5538	1.8593999999999937	trial	aft	29	temp	none	ir08_audio.wav
506.858333749	3.242733649999991	trial	bef	30	freq	mid	ir08_audio.wav
510.814528302	2.778671698000039	trial	mid	30	norm	mid	ir08_audio.wav
516.57782329	3.1997767100000374	trial	aft	30	freq	mid	ir08_audio.wav
529.9256	2.3707999999999174	trial	bef	31	temp	none	ir08_audio.wav
534.721	2.439399999999978	trial	mid	31	norm	none	ir08_audio.wav
539.3286	2.3707999999999174	trial	aft	31	temp	none	ir08_audio.wav
543.6104	2.9125999999999976	trial	bef	32	freq	mid	ir08_audio.wav
548.684	2.7784000000000333	trial	mid	32	norm	mid	ir08_audio.wav
553.8506	2.9131999999999607	trial	aft	32	freq	mid	ir08_audio.wav
558.595	1.609199999999987	trial	bef	33	freq	mid	ir08_audio.wav
563.1102	2.7784000000000333	trial	mid	33	norm	mid	ir08_audio.wav
568.191	1.609199999999987	trial	aft	33	freq	mid	ir08_audio.wav
572.7502	3.144600000000082	trial	bef	34	freq	none	ir08_audio.wav
577.9828	2.6476000000000113	trial	mid	34	norm	none	ir08_audio.wav
583.1836	3.1454000000001088	trial	aft	34	freq	none	ir08_audio.wav
587.9358	2.4422000000000708	trial	bef	35	temp	none	ir08_audio.wav
593.0708	2.4478000000000293	trial	mid	35	norm	none	ir08_audio.wav
598.4976	2.4425999999999704	trial	aft	35	temp	none	ir08_audio.wav
609.803	1.9611999999999625	trial	bef	36	freq	mid	ir08_audio.wav
614.3108	2.7784000000000333	trial	mid	36	norm	mid	ir08_audio.wav
619.5922	1.9611999999999625	trial	aft	36	freq	mid	ir08_audio.wav
624.4244	2.469400000000064	trial	bef	37	temp	none	ir08_audio.wav
629.0772	2.459600000000023	trial	mid	37	norm	none	ir08_audio.wav
634.4068	2.4692000000000007	trial	aft	37	temp	none	ir08_audio.wav
639.0028	3.217800000000011	trial	bef	38	freq	mid	ir08_audio.wav
643.872	2.7786000000000968	trial	mid	38	norm	mid	ir08_audio.wav
648.7284	3.217200000000048	trial	aft	38	freq	mid	ir08_audio.wav
654.145	1.731800000000021	trial	bef	39	freq	none	ir08_audio.wav
659.4774	1.7495999999999867	trial	mid	39	norm	none	ir08_audio.wav
664.5784	1.731200000000058	trial	aft	39	freq	none	ir08_audio.wav
669.5676	2.7466000000000577	trial	bef	40	temp	none	ir08_audio.wav
674.1082	2.712199999999939	trial	mid	40	norm	none	ir08_audio.wav
679.3568	2.746399999999994	trial	aft	40	temp	none	ir08_audio.wav
697.6608	1.8834000000000515	trial	bef	41	freq	mid	ir08_audio.wav
702.4788	2.7788000000000466	trial	mid	41	norm	mid	ir08_audio.wav
707.9648	1.8841999999999643	trial	aft	41	freq	mid	ir08_audio.wav
713.201	2.022999999999911	trial	bef	42	temp	mid	ir08_audio.wav
717.7424	2.7786000000000968	trial	mid	42	norm	mid	ir08_audio.wav
722.8618	2.022799999999961	trial	aft	42	temp	mid	ir08_audio.wav
727.6046	2.234199999999987	trial	bef	43	freq	mid	ir08_audio.wav
732.5552	2.778599999999983	trial	mid	43	norm	mid	ir08_audio.wav
737.5876	2.2344000000000506	trial	aft	43	freq	mid	ir08_audio.wav
742.3558	1.9031999999998561	trial	bef	44	freq	none	ir08_audio.wav
747.3904	1.8999999999999773	trial	mid	44	norm	none	ir08_audio.wav
752.5958	1.9037999999999329	trial	aft	44	freq	none	ir08_audio.wav
757.4438	2.5389999999999873	trial	bef	45	temp	mid	ir08_audio.wav
762.6318	2.77819999999997	trial	mid	45	norm	mid	ir08_audio.wav
768.1348	2.539199999999937	trial	aft	45	temp	mid	ir08_audio.wav
780.6242	2.1316000000000486	trial	bef	46	freq	none	ir08_audio.wav
785.5794	2.1403999999999996	trial	mid	46	norm	none	ir08_audio.wav
790.6714	2.1310000000000855	trial	aft	46	freq	none	ir08_audio.wav
795.312	2.344000000000051	trial	bef	47	freq	mid	ir08_audio.wav
800.2432	2.778599999999983	trial	mid	47	norm	mid	ir08_audio.wav
805.1016	2.3432000000000244	trial	aft	47	freq	mid	ir08_audio.wav
810.2968	2.701400000000035	trial	bef	48	freq	none	ir08_audio.wav
815.2078	2.732599999999934	trial	mid	48	norm	none	ir08_audio.wav
820.5376	2.701599999999985	trial	aft	48	freq	none	ir08_audio.wav
825.8968	2.024599999999964	trial	bef	49	temp	mid	ir08_audio.wav
830.5772	2.7784000000000333	trial	mid	49	norm	mid	ir08_audio.wav
835.3642	2.0242000000000644	trial	aft	49	temp	mid	ir08_audio.wav
840.073	1.9542000000000144	trial	bef	50	freq	none	ir08_audio.wav
845.4838	1.945600000000013	trial	mid	50	norm	none	ir08_audio.wav
850.893	1.9535999999999376	trial	aft	50	freq	none	ir08_audio.wav
871.4864	2.118000000000052	trial	bef	51	freq	mid	ir08_audio.wav
875.8528	2.7782000000000835	trial	mid	51	norm	mid	ir08_audio.wav
881.0184	2.117399999999975	trial	aft	51	freq	mid	ir08_audio.wav
885.8096	1.6555999999999358	trial	bef	52	temp	mid	ir08_audio.wav
890.7298	2.7784000000000333	trial	mid	52	norm	mid	ir08_audio.wav
895.7916	1.6563999999999623	trial	aft	52	temp	mid	ir08_audio.wav
900.2130000000001	2.613399999999956	trial	bef	53	freq	mid	ir08_audio.wav
904.7054	2.7783999999999196	trial	mid	53	norm	mid	ir08_audio.wav
909.487	2.613800000000083	trial	aft	53	freq	mid	ir08_audio.wav
914.1738	1.7339999999999236	trial	bef	54	freq	none	ir08_audio.wav
919.3374	1.717800000000011	trial	mid	54	norm	none	ir08_audio.wav
924.544	1.7326000000000477	trial	aft	54	freq	none	ir08_audio.wav
929.5724	1.5248000000000275	trial	bef	55	freq	none	ir08_audio.wav
934.727	1.5226000000000113	trial	mid	55	norm	none	ir08_audio.wav
940.0058	1.5249999999999773	trial	aft	55	freq	none	ir08_audio.wav
951.2766	2.326400000000035	trial	bef	56	freq	none	ir08_audio.wav
956.6352	2.3513999999998987	trial	mid	56	norm	none	ir08_audio.wav
961.5168	2.326000000000022	trial	aft	56	freq	none	ir08_audio.wav
966.6912	2.8050000000000637	trial	bef	57	temp	mid	ir08_audio.wav
971.4272	2.778599999999983	trial	mid	57	norm	mid	ir08_audio.wav
976.7382	2.80499999999995	trial	aft	57	temp	mid	ir08_audio.wav
