onset	duration	trial_type	response_time	sample	value
12.5976562500	n/a	STATUS	n/a	3225	254
168.6210937500	n/a	stimulus	n/a	43167	128
171.4570312500	n/a	response	n/a	43893	2
174.4335937500	n/a	response	n/a	44655	4
176.6367187500	n/a	response	n/a	45219	2
193.6367187500	n/a	stimulus	n/a	49571	128
197.0859375000	n/a	response	n/a	50454	4
199.2890625000	n/a	response	n/a	51018	2
201.6601562500	n/a	response	n/a	51625	2
263.6562500000	n/a	stimulus	n/a	67496	128
267.5703125000	n/a	response	n/a	68498	2
270.3750000000	n/a	response	n/a	69216	4
272.5585937500	n/a	response	n/a	69775	2
326.5546875000	n/a	stimulus	n/a	83598	128
329.1914062500	n/a	response	n/a	84273	4
331.3007812500	n/a	response	n/a	84813	2
333.4921875000	n/a	response	n/a	85374	2
416.4960937500	n/a	stimulus	n/a	106623	128
419.7148437500	n/a	response	n/a	107447	8
422.3710937500	n/a	response	n/a	108127	2
424.8281250000	n/a	response	n/a	108756	2
462.8320312500	n/a	stimulus	n/a	118485	128
465.4843750000	n/a	response	n/a	119164	4
467.6132812500	n/a	response	n/a	119709	2
469.8085937500	n/a	response	n/a	120271	2
496.8085937500	n/a	stimulus	n/a	127183	128
499.4492187500	n/a	response	n/a	127859	8
501.9140625000	n/a	response	n/a	128490	2
504.6562500000	n/a	response	n/a	129192	2
520.6445312500	n/a	stimulus	n/a	133285	128
524.4960937500	n/a	response	n/a	134271	8
527.4140625000	n/a	response	n/a	135018	2
530.5429687500	n/a	response	n/a	135819	2
558.5351562500	n/a	stimulus	n/a	142985	128
561.3085937500	n/a	response	n/a	143695	8
563.7734375000	n/a	response	n/a	144326	2
566.0195312500	n/a	response	n/a	144901	2
646.0234375000	n/a	stimulus	n/a	165382	128
648.6601562500	n/a	response	n/a	166057	8
650.7968750000	n/a	response	n/a	166604	2
653.0000000000	n/a	response	n/a	167168	2
690.0039062500	n/a	stimulus	n/a	176641	128
692.6250000000	n/a	response	n/a	177312	8
694.7343750000	n/a	response	n/a	177852	2
696.9062500000	n/a	response	n/a	178408	2
793.9140625000	n/a	stimulus	n/a	203242	128
796.5585937500	n/a	response	n/a	203919	8
799.0078125000	n/a	response	n/a	204546	2
801.6640625000	n/a	response	n/a	205226	2
869.6718750000	n/a	stimulus	n/a	222636	128
872.7460937500	n/a	response	n/a	223423	8
874.9921875000	n/a	response	n/a	223998	2
877.2890625000	n/a	response	n/a	224586	2
928.2929687500	n/a	stimulus	n/a	237643	128
930.9375000000	n/a	response	n/a	238320	8
933.0742187500	n/a	response	n/a	238867	2
935.2500000000	n/a	response	n/a	239424	2
1013.2539062500	n/a	stimulus	n/a	259393	128
1017.8164062500	n/a	response	n/a	260561	8
1020.5351562500	n/a	response	n/a	261257	2
1023.0000000000	n/a	response	n/a	261888	2
1112.0078125000	n/a	stimulus	n/a	284674	128
1114.6601562500	n/a	response	n/a	285353	2
1116.7734375000	n/a	response	n/a	285894	4
1118.9687500000	n/a	response	n/a	286456	2
1188.9765625000	n/a	stimulus	n/a	304378	128
1191.6093750000	n/a	response	n/a	305052	4
1193.8007812500	n/a	response	n/a	305613	2
