onset	duration	event_sample	trial_type	event_value	stim_file
22.6645	0	24931	Unfamiliar	13	u046.bmp
25.7209	0	28293	Unfamiliar	14	u046.bmp
28.9618	0	31858	Unfamiliar	13	u022.bmp
32.27	0	35497	Famous	5	f133.bmp
35.5609	0	39117	Famous	6	f133.bmp
38.5673	0	42424	Famous	5	f035.bmp
41.7082	0	45879	Unfamiliar	13	u150.bmp
44.8318	0	49315	Famous	5	f072.bmp
48.1227	0	52935	Scrambled	17	s058.bmp
51.28	0	56408	Unfamiliar	15	u022.bmp
54.5045	0	59955	Scrambled	17	s055.bmp
57.7955	0	63575	Famous	5	f105.bmp
61.0364	0	67140	Famous	6	f105.bmp
64.2436	0	70668	Famous	7	f035.bmp
67.3509	0	74086	Scrambled	17	s040.bmp
70.6082	0	77669	Unfamiliar	15	u150.bmp
73.8655	0	81252	Unfamiliar	13	u059.bmp
76.9391	0	84633	Unfamiliar	14	u059.bmp
80.0464	0	88051	Famous	7	f072.bmp
83.1536	0	91469	Scrambled	17	s051.bmp
86.1773	0	94795	Scrambled	18	s051.bmp
89.3182	0	98250	Scrambled	19	s058.bmp
92.4755	0	101723	Scrambled	17	s064.bmp
95.6491	0	105214	Scrambled	19	s055.bmp
98.8064	0	108687	Famous	5	f038.bmp
102.131	0	112344	Scrambled	17	s118.bmp
105.255	0	115781	Scrambled	18	s118.bmp
108.462	0	119308	Scrambled	19	s040.bmp
111.636	0	122800	Unfamiliar	13	u037.bmp
114.776	0	126254	Unfamiliar	14	u037.bmp
118.035	0	129838	Famous	5	f067.bmp
121.158	0	133274	Unfamiliar	13	u119.bmp
124.415	0	136857	Unfamiliar	14	u119.bmp
130.614	0	143675	Unfamiliar	13	u073.bmp
133.837	0	147221	Famous	7	f038.bmp
136.995	0	150694	Famous	5	f122.bmp
140.168	0	154185	Famous	6	f122.bmp
143.225	0	157548	Scrambled	17	s023.bmp
146.45	0	161095	Scrambled	18	s023.bmp
149.64	0	164604	Scrambled	17	s132.bmp
152.781	0	168059	Scrambled	18	s132.bmp
155.905	0	171495	Famous	7	f067.bmp
159.095	0	175005	Famous	5	f107.bmp
162.169	0	178386	Famous	6	f107.bmp
165.395	0	181934	Famous	5	f120.bmp
168.467	0	185314	Unfamiliar	15	u073.bmp
171.708	0	188879	Unfamiliar	13	u085.bmp
174.899	0	192389	Unfamiliar	13	u044.bmp
177.973	0	195770	Scrambled	17	s147.bmp
181.096	0	199206	Scrambled	17	s043.bmp
184.17	0	202587	Scrambled	18	s043.bmp
187.377	0	206115	Scrambled	17	s047.bmp
190.501	0	209551	Scrambled	18	s047.bmp
193.775	0	213153	Famous	7	f120.bmp
196.866	0	216553	Scrambled	17	s072.bmp
200.006	0	220007	Unfamiliar	15	u085.bmp
203.03	0	223333	Unfamiliar	13	u058.bmp
206.104	0	226714	Unfamiliar	15	u044.bmp
209.412	0	230353	Unfamiliar	13	u130.bmp
212.585	0	233844	Scrambled	19	s147.bmp
215.726	0	237299	Scrambled	17	s104.bmp
218.85	0	240735	Scrambled	17	s138.bmp
222.107	0	244318	Famous	5	f119.bmp
225.348	0	247883	Scrambled	19	s072.bmp
228.505	0	251356	Unfamiliar	13	u012.bmp
231.564	0	254720	Unfamiliar	14	u012.bmp
234.804	0	258284	Unfamiliar	15	u058.bmp
238.027	0	261830	Famous	5	f145.bmp
241.218	0	265340	Unfamiliar	15	u130.bmp
244.359	0	268795	Famous	5	f028.bmp
247.466	0	272213	Famous	6	f028.bmp
250.606	0	275667	Scrambled	19	s104.bmp
253.764	0	279140	Famous	5	f082.bmp
257.021	0	282723	Famous	6	f082.bmp
260.195	0	286215	Scrambled	19	s138.bmp
263.253	0	289578	Scrambled	17	s070.bmp
266.309	0	292940	Famous	7	f119.bmp
269.584	0	296542	Unfamiliar	13	u040.bmp
272.808	0	300089	Unfamiliar	14	u040.bmp
275.948	0	303543	Unfamiliar	13	u091.bmp
279.123	0	307035	Unfamiliar	14	u091.bmp
282.346	0	310581	Famous	7	f145.bmp
285.52	0	314072	Unfamiliar	13	u078.bmp
288.595	0	317454	Unfamiliar	14	u078.bmp
291.718	0	320890	Famous	5	f071.bmp
294.775	0	324253	Unfamiliar	13	u014.bmp
297.999	0	327799	Unfamiliar	14	u014.bmp
