onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
879.7626	0	41	right	2.0	4398813.0	876.6959333333333	879.6959333333333	66.6666666667	879.8309333333333	left_hand.png	raised-right/match-true	2	right	-27.0	4
884.4158	0	42	left	1.0	4422079.0	881.299133333333	884.299133333333	116.666666667	884.4841333333333	right_hand.png	raised-left/match-true	2	left	-46.6	4
889.1362	0	43	left	1.0	4445681.0	885.952866666667	888.952866666667	183.333333333	889.2045333333333	right_hand.png	raised-left/match-true	2	left	-31.0	4
893.7732	0	44	right	2.0	4468866.0	890.6732	893.6732	100.0	893.8415333333332	left_hand.png	raised-right/match-true	2	right	-60.0	4
898.4268	0	45	right	2.0	4492134.0	895.3101333333329	898.3101333333329	116.666666667	898.4951333333332	left_hand.png	raised-right/match-true	2	right	-54.4	4
903.3012	0	46	left	1.0	4516506.0	900.184533333333	903.184533333333	116.666666667	903.3695333333333	right_hand.png	raised-left/match-true	2	left	-25.6	4
907.9846	0	47	right	2.0	4539923.0	904.8346	907.8346	150.0	908.0529333333333	left_hand.png	raised-right/match-true	2	right	-63.4	4
912.604	0	48	right	2.0	4563020.0	909.5206666666668	912.5206666666668	83.3333333333	912.6723333333333	right_hand.png	raised-right/match-false	2	left	-23.6	4
917.3746	0	49	left	1.0	4586873.0	914.3246	917.3246	50.0	917.4429333333333	left_hand.png	raised-left/match-false	2	right	-58.2	4
922.045	0	50	right	2.0	4610225.0	918.911666666667	921.911666666667	133.33333333299998	922.1133333333332	right_hand.png	raised-right/match-false	2	left	-27.4	4
926.8148	0	51	right	2.0	4634074.0	923.6648	926.6648	150.0	926.8831333333333	left_hand.png	raised-right/match-true	2	right	-52.0	4
931.4688	0	52	right	2.0	4657344.0	928.352133333333	931.352133333333	116.666666667	931.5371333333333	left_hand.png	raised-right/match-true	2	right	-46.8	4
936.1224	0	53	right	2.0	4680612.0	933.005733333333	936.005733333333	116.666666667	936.1907333333332	left_hand.png	raised-right/match-true	2	right	-66.8	4
940.7758	0	54	right	2.0	4703879.0	937.659133333333	940.659133333333	116.666666667	940.8441333333333	left_hand.png	raised-right/match-true	2	right	-61.0	4
945.3962	0	55	left	1.0	4726981.0	942.3128666666668	945.3128666666668	83.3333333333	945.4645333333333	left_hand.png	raised-left/match-false	2	right	-27.4	4
950.0666	0	56	left	1.0	4750333.0	946.933266666667	949.933266666667	133.33333333299998	950.1349333333333	left_hand.png	raised-left/match-false	2	right	-59.0	4
954.753	0	57	left	1.0	4773765.0	951.653	954.653	100.0	954.8213333333333	left_hand.png	raised-left/match-false	2	right	-35.0	4
959.3944	0	58	right	2.0	4796972.0	956.2944	959.2944	100.0	959.4627333333333	left_hand.png	raised-right/match-true	2	right	-42.8	4
963.9654	0	59	left	1.0	4819827.0	960.9320666666667	963.9320666666667	33.3333333333	964.0337333333333	right_hand.png	raised-left/match-true	2	left	-31.4	4
968.5638	0	60	left	1.0	4842819.0	965.4971333333333	968.4971333333333	66.6666666667	968.6321333333333	right_hand.png	raised-left/match-true	2	left	-47.4	4
973.201	0	61	right	2.0	4866005.0	970.101	973.101	100.0	973.2693333333333	right_hand.png	raised-right/match-false	2	left	-51.0	4
977.8252	0	62	left	1.0	4889126.0	974.7418666666667	977.7418666666667	83.3333333333	977.8935333333333	right_hand.png	raised-left/match-true	2	left	-67.2	4
982.5082	0	63	right	2.0	4912541.0	979.3582	982.3582	150.0	982.5765333333333	left_hand.png	raised-right/match-true	2	right	-39.8	4
987.095	0	64	left	1.0	4935475.0	984.0450000000001	987.0450000000001	50.0	987.1633333333333	right_hand.png	raised-left/match-true	2	left	-18.6	4
991.8154	0	65	left	1.0	4959077.0	988.6320666666669	991.6320666666669	183.333333333	991.8837333333332	right_hand.png	raised-left/match-true	2	left	-28.6	4
996.4522	0	66	right	2.0	4982261.0	993.3521999999999	996.3521999999999	100.0	996.5205333333332	left_hand.png	raised-right/match-true	2	right	-31.8	4
1001.1394	0	67	left	1.0	5005697.0	997.9894	1000.9894	150.0	1001.2077333333333	right_hand.png	raised-left/match-true	2	left	-38.4	4
1005.8096	0	68	right	2.0	5029048.0	1002.6762666666671	1005.6762666666671	133.33333333299998	1005.8779333333333	left_hand.png	raised-right/match-true	2	right	-45.2	4
1010.5964	0	69	left	1.0	5052982.0	1007.463066666667	1010.463066666667	133.33333333299998	1010.6647333333333	right_hand.png	raised-left/match-true	2	left	-40.0	4
1015.5002	0	70	left	1.0	5077501.0	1012.3502	1015.3502	150.0	1015.5685333333332	left_hand.png	raised-left/match-false	2	right	-33.4	4
1020.158	0	71	left	1.0	5100790.0	1017.041333333333	1020.041333333333	116.666666667	1020.2263333333333	right_hand.png	raised-left/match-true	2	left	-32.0	4
1024.8238	0	72	right	2.0	5124119.0	1021.6904666666669	1024.690466666667	133.33333333299998	1024.8921333333333	left_hand.png	raised-right/match-true	2	right	-38.6	4
1031.6794	0	73	right	2.0	5158397.0	1028.5960666666667	1031.5960666666667	83.3333333333	1031.7477333333334	right_hand.png	raised-right/match-false	2	left	-59.0	4
1036.3164	0	74	left	1.0	5181582.0	1033.2164	1036.2164	100.0	1036.3847333333333	left_hand.png	raised-left/match-false	2	right	-36.8	4
1040.9696	0	75	left	1.0	5204848.0	1037.8529333333329	1040.8529333333329	116.666666667	1041.0379333333333	right_hand.png	raised-left/match-true	2	left	-56.4	4
1045.6412	0	76	right	2.0	5228206.0	1042.507866666667	1045.507866666667	133.33333333299998	1045.7095333333334	right_hand.png	raised-right/match-false	2	left	-26.8	4
1050.2438	0	77	right	2.0	5251219.0	1047.1771333333334	1050.1771333333334	66.6666666667	1050.3121333333333	right_hand.png	raised-right/match-false	2	left	-44.0	4
1054.914	0	78	right	2.0	5274570.0	1051.780666666667	1054.780666666667	133.33333333299998	1054.9823333333334	left_hand.png	raised-right/match-true	2	right	-48.8	4
1059.5174	0	79	left	1.0	5297587.0	1056.4507333333333	1059.4507333333333	66.6666666667	1059.5857333333333	right_hand.png	raised-left/match-true	2	left	-44.2	4
1064.1378	0	80	left	1.0	5320689.0	1061.0544666666667	1064.0544666666667	83.3333333333	1064.2061333333334	right_hand.png	raised-left/match-true	2	left	-56.6	4
1068.7914	0	81	left	1.0	5343957.0	1065.674733333333	1068.674733333333	116.666666667	1068.8597333333335	right_hand.png	raised-left/match-true	2	left	-25.4	4
1073.4452	0	82	right	2.0	5367226.0	1070.328533333333	1073.328533333333	116.666666667	1073.5135333333335	left_hand.png	raised-right/match-true	2	right	-48.2	4
1078.082	0	83	left	1.0	5390410.0	1074.9820000000002	1077.9820000000002	100.0	1078.1503333333335	left_hand.png	raised-left/match-false	2	right	-48.8	4
