onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
11.2776	0	1	right	2	56388	8.1276	11.1276	150.0	11.345933333333333	right_hand.png	raised-right/match-false	1	left	-13.6	0
24.9048	0	2	right	2	124524	21.771466666667003	24.771466666667003	133.33333333299998	24.973133333333337	right_hand.png	raised-right/match-false	1	left	-9.0	2
29.5416	0	3	left	1	147708	26.441599999999998	29.441599999999998	100.0	29.609933333333334	right_hand.png	raised-left/match-true	1	left	-23.8	2
34.1786	0	4	right	2	170893	31.0786	34.0786	100.0	34.24693333333333	left_hand.png	raised-right/match-true	1	right	-28.2	2
38.8816	0	5	left	1	194408	35.714933333333	38.714933333333	166.66666666700002	38.94993333333333	left_hand.png	raised-left/match-false	1	right	-20.8	2
43.4854	0	6	right	2	217427	40.4187333333333	43.4187333333333	66.6666666667	43.55373333333333	right_hand.png	raised-right/match-false	1	left	-16.6	2
48.0722	0	7	left	1	240361	45.022200000000005	48.022200000000005	50.0	48.14053333333333	left_hand.png	raised-left/match-false	1	right	4.6	2
52.7762	0	8	right	2	263881	49.609533333333005	52.609533333333005	166.66666666700002	52.84453333333333	left_hand.png	raised-right/match-true	1	right	-14.6	2
57.4132	0	9	right	2	287066	54.3132	57.3132	100.0	57.48153333333333	right_hand.png	raised-right/match-false	1	left	7.6	2
62.0664	0	10	left	1	310332	58.949733333333	61.949733333333	116.666666667	62.13473333333333	right_hand.png	raised-left/match-true	1	left	-12.0	2
66.7702	0	11	right	2	333851	63.603533333333004	66.603533333333	166.66666666700002	66.83853333333334	right_hand.png	raised-right/match-false	1	left	-5.4	2
79.6468	0	12	right	2	398234	76.5468	79.5468	100.0	79.71513333333334	right_hand.png	raised-right/match-false	1	left	-9.8	4
84.2834	0	13	left	1	421417	81.1834	84.1834	100.0	84.35173333333334	left_hand.png	raised-left/match-false	1	right	-33.8	4
89.00399999999999	0	14	left	1	445020	85.820666666667	88.820666666667	183.333333333	89.07233333333333	right_hand.png	raised-left/match-true	1	left	-26.6	4
93.6908	0	15	right	2	468454	90.54079999999999	93.54079999999999	150.0	93.75913333333334	right_hand.png	raised-right/match-false	1	left	-20.4	4
98.398	0	16	left	1	491990	95.231333333333	98.231333333333	166.66666666700002	98.46633333333334	right_hand.png	raised-left/match-true	1	left	-19.6	4
103.1146	0	17	right	2	515573	99.931266666667	102.931266666667	183.333333333	103.18293333333334	right_hand.png	raised-right/match-false	1	left	-7.4	4
107.8176	0	18	left	1	539088	104.650933333333	107.650933333333	166.66666666700002	107.88593333333334	left_hand.png	raised-left/match-false	1	right	-16.0	4
112.4884	0	19	right	2	562442	109.355066666667	112.355066666667	133.33333333299998	112.55673333333334	right_hand.png	raised-right/match-false	1	left	-27.6	4
117.06	0	20	left	1	585300	114.0266666666667	117.0266666666667	33.3333333333	117.12833333333334	right_hand.png	raised-left/match-true	1	left	-13.2	4
121.6452	0	21	right	2	608226	118.5952	121.5952	50.0	121.71353333333334	right_hand.png	raised-right/match-false	1	left	-12.4	4
126.299	0	22	left	1	631495	123.182333333333	126.182333333333	116.666666667	126.36733333333335	left_hand.png	raised-left/match-false	1	right	-10.6	4
131.0194	0	23	right	2	655097	127.836066666667	130.836066666667	183.333333333	131.08773333333332	right_hand.png	raised-right/match-false	1	left	1.4	4
135.6224	0	24	left	1	678112	132.5557333333333	135.5557333333333	66.6666666667	135.69073333333333	right_hand.png	raised-left/match-true	1	left	-19.2	4
140.3138	0	25	right	2	701569	137.16379999999998	140.16379999999998	150.0	140.38213333333331	left_hand.png	raised-right/match-true	1	right	-0.2	4
144.8796	0	26	left	1	724398	141.8462666666667	144.8462666666667	33.3333333333	144.94793333333334	right_hand.png	raised-left/match-true	1	left	-9.2	4
149.5502	0	27	left	1	747751	146.41686666666698	149.41686666666698	133.33333333299998	149.61853333333332	left_hand.png	raised-left/match-false	1	right	-43.0	4
154.2038	0	28	right	2	771019	151.087133333333	154.087133333333	116.666666667	154.27213333333333	left_hand.png	raised-right/match-true	1	right	-9.8	4
158.7908	0	29	left	1	793954	155.74079999999998	158.74079999999998	50.0	158.85913333333332	right_hand.png	raised-left/match-true	1	left	-19.6	4
163.4608	0	30	right	2	817304	160.327466666667	163.327466666667	133.33333333299998	163.52913333333333	left_hand.png	raised-right/match-true	1	right	-4.8	4
168.1312	0	31	left	1	840656	164.997866666667	167.997866666667	133.33333333299998	168.19953333333333	left_hand.png	raised-left/match-false	1	right	-16.0	4
172.8514	0	32	right	2	864257	169.66806666666702	172.66806666666702	183.333333333	172.91973333333334	left_hand.png	raised-right/match-true	1	right	-24.2	4
